NON $ % + - . 0 1
#NON	b	d	e	c	a	f	g
8.724832214765101	0.015268904589894631	0.15905536614317356	0.229215584131268	0.19076716870172164	0.11662093159192942	0.17942149343701433	0.0133412756012824
9.060402684563758	0.015268216471229452	0.1590555011105062	0.22921575599159869	0.19076689448522324	0.11662139203754669	0.17942171165612636	0.013340888994244278
9.395973154362416	0.015267783783905566	0.1590555865623194	0.22921586965903412	0.1907667447600057	0.11662170134321724	0.1794218513473882	0.013340645230746996
9.731543624161075	0.015267510867638568	0.1590556402298033	0.22921594395876888	0.19076666421092267	0.11662190803751625	0.17942194007284049	0.013340491249472924
10.067114093959733	0.015267336684166076	0.15905567383828464	0.22921599222389877	0.19076662028315416	0.11662204593358676	0.17942199631625733	0.013340392949927126
10.40268456375839	0.015267226017081404	0.15905569481407555	0.2292160234627205	0.19076659745261904	0.11662213777775628	0.17942203182404434	0.013340330417208885
10.738255033557047	0.015267156826469563	0.15905570784833933	0.22921604339629276	0.1907665870029364	0.1166221985027621	0.1794220540047839	0.013340291223080872
11.073825503355705	0.015267113381582025	0.15905571599443008	0.22921605598807052	0.19076658286068576	0.11662223867508045	0.17942206784425643	0.013340266571593578
11.409395973154362	0.015267086957198426	0.1590557207780836	0.2292160636466323	0.19076658203353153	0.11662226449092933	0.17942207605402158	0.01334025157124329
11.74496644295302	0.015267070518449236	0.1590557235076505	0.22921606839141823	0.19076658227801357	0.1166222811654116	0.17942208091227219	0.013340242246145634
12.080536912751679	0.015267059945717636	0.15905572502306808	0.22921607143403136	0.19076658259516274	0.11662229203442638	0.1794220838173122	0.013340236253512147
12.416107382550337	0.015267053074692762	0.15905572585373606	0.2292160734062383	0.19076658282399855	0.11662229914565804	0.17942208556495554	0.013340232356869248
12.751677852348994	0.015267048651870247	0.15905572636859913	0.22921607463104088	0.19076658304794025	0.11662230380991855	0.17942208664510445	0.013340229844231275
13.087248322147651	0.015267045824669914	0.15905572678469893	0.22921607531357366	0.1907665832843597	0.11662230687643463	0.17942208735693177	0.01334022823625745
13.422818791946309	0.015267044018011783	0.15905572716069075	0.22921607563868246	0.19076658350668355	0.11662230889289814	0.17942208784986144	0.013340227209438013
13.758389261744966	0.015267042867813828	0.15905572746367655	0.22921607577552078	0.19076658368771346	0.1166223102076493	0.1794220881830698	0.013340226556957187
14.093959731543626	0.01526704186001543	0.15905572768955475	0.22921607592875629	0.19076658383898568	0.11662231135928154	0.1794220884571448	0.01334022598422798
14.429530201342283	0.015267041063991058	0.15905572783008784	0.22921607607789116	0.1907665839547994	0.11662231227218318	0.17942208865456338	0.013340225531002971
14.76510067114094	0.015267040569036173	0.15905572787467517	0.22921607619653994	0.190766584027818	0.1166223128490313	0.1794220887527716	0.013340225248449767
15.100671140939598	0.015267040375150781	0.1590557278233167	0.2292160762847026	0.19076658405804145	0.11662231308982586	0.17942208875176943	0.01334022513656837
15.436241610738255	0.015267040347818448	0.15905572773178658	0.2292160763474439	0.19076658406472485	0.1166223131426841	0.17942208870289347	0.013340225119320166
15.771812080536913	0.01526704017101622	0.15905572773111643	0.22921607639666244	0.19076658409310476	0.11662231335558175	0.1794220887267502	0.013340225018065671
16.107382550335572	0.015267040101549138	0.15905572771482793	0.22921607642268926	0.1907665841064213	0.11662231344574846	0.17942208872533297	0.013340224977970041
16.44295302013423	0.015267040139417204	0.15905572768292114	0.22921607642552433	0.19076658410467442	0.11662231341318424	0.17942208869864176	0.013340224999033276
16.778523489932887	0.015267040284620417	0.15905572763539602	0.2292160764051676	0.19076658408786415	0.11662231325788908	0.17942208864667664	0.013340225081255371
17.114093959731544	0.015267040220948177	0.15905572759806566	0.2292160764392281	0.19076658410378605	0.1166223133493964	0.17942208863070405	0.013340225044076448
17.449664429530202	0.015267040319072252	0.1590557275886041	0.22921607641469446	0.1907665840883001	0.1166223132356224	0.17942208861020834	0.013340225100068345
17.78523489932886	0.015267040417196327	0.1590557275791425	0.22921607639016084	0.19076658407281416	0.11662231312184838	0.1794220885897126	0.013340225156060242
18.120805369127517	0.015267040515320402	0.1590557275696809	0.2292160763656272	0.19076658405732821	0.11662231300807438	0.17942208856921685	0.013340225212052139
18.456375838926174	0.015267040578443266	0.1590557275636189	0.22921607634994068	0.19076658404725944	0.11662231293474132	0.17942208855610658	0.013340225248074062
18.79194630872483	0.015267040585193398	0.15905572756303232	0.22921607634850322	0.19076658404591545	0.11662231292654222	0.1794220885548913	0.013340225251932467
19.12751677852349	0.015267040591943531	0.1590557275624457	0.22921607634706576	0.19076658404457147	0.11662231291834312	0.17942208855367606	0.013340225255790872
19.46308724832215	0.015267040598693663	0.15905572756185912	0.2292160763456283	0.19076658404322747	0.11662231291014401	0.1794220885524608	0.013340225259649277
19.798657718120808	0.015267040605443797	0.15905572756127254	0.22921607634419083	0.19076658404188349	0.11662231290194491	0.17942208855124556	0.013340225263507682
20.134228187919465	0.01526704061219393	0.15905572756068592	0.22921607634275337	0.1907665840405395	0.1166223128937458	0.1794220885500303	0.013340225267366087
20.469798657718123	0.015267040618944062	0.15905572756009934	0.2292160763413159	0.19076658403919552	0.1166223128855467	0.17942208854881506	0.013340225271224491
20.80536912751678	0.015267040625694195	0.15905572755951272	0.22921607633987845	0.19076658403785154	0.1166223128773476	0.17942208854759978	0.013340225275082896
21.140939597315437	0.015267040632444327	0.15905572755892614	0.229216076338441	0.19076658403650754	0.1166223128691485	0.17942208854638453	0.013340225278941301
21.476510067114095	0.01526704063919446	0.15905572755833952	0.22921607633700353	0.19076658403516356	0.11662231286094939	0.17942208854516928	0.013340225282799706
21.812080536912752	0.015267040645944594	0.15905572755775294	0.22921607633556607	0.19076658403381958	0.11662231285275029	0.17942208854395403	0.013340225286658111
22.14765100671141	0.015267040652694725	0.15905572755716635	0.2292160763341286	0.1907665840324756	0.11662231284455118	0.17942208854273878	0.013340225290516518
22.483221476510067	0.015267040659444859	0.15905572755657973	0.22921607633269114	0.1907665840311316	0.11662231283635208	0.1794220885415235	0.013340225294374923
22.818791946308725	0.01526704066619499	0.15905572755599315	0.22921607633125368	0.1907665840297876	0.11662231282815298	0.17942208854030825	0.013340225298233328
23.154362416107382	0.015267040672945124	0.15905572755540653	0.22921607632981622	0.19076658402844363	0.11662231281995387	0.179422088539093	0.013340225302091733
23.48993288590604	0.015267040679695256	0.15905572755481995	0.22921607632837876	0.19076658402709964	0.11662231281175477	0.17942208853787775	0.013340225305950137
23.8255033557047	0.01526704068644539	0.15905572755423336	0.2292160763269413	0.19076658402575566	0.11662231280355567	0.1794220885366625	0.013340225309808542
24.161073825503358	0.015267040693195523	0.15905572755364675	0.22921607632550384	0.19076658402441166	0.11662231279535656	0.17942208853544725	0.013340225313666947
24.496644295302016	0.015267040699945654	0.15905572755306016	0.22921607632406638	0.19076658402306768	0.11662231278715747	0.17942208853423197	0.013340225317525352
24.832214765100673	0.015267040706695788	0.15905572755247355	0.22921607632262891	0.1907665840217237	0.11662231277895836	0.17942208853301672	0.013340225321383757
25.16778523489933	0.01526704071344592	0.15905572755188696	0.22921607632119145	0.19076658402037971	0.11662231277075925	0.17942208853180147	0.013340225325242162
25.503355704697988	0.015267040720196053	0.15905572755130035	0.229216076319754	0.19076658401903573	0.11662231276256016	0.17942208853058622	0.013340225329100567
25.838926174496645	0.015267040726946185	0.15905572755071376	0.22921607631831653	0.19076658401769173	0.11662231275436105	0.17942208852937097	0.013340225332958974
26.174496644295303	0.015267040733696318	0.15905572755012717	0.22921607631687907	0.19076658401634775	0.11662231274616194	0.1794220885281557	0.013340225336817379
