NON $ % + - . 0 1 2 3
#NON	g	d	f	c	b	e	h	a	i
3.691275167785235	0.3244345084825369	0.013742349716268629	0.18305468860073962	0.2210959880217444	0.22720567832690874	0.18773384308274416	0.056820861260620255	0.22937729123921619	0.27344874889629317
4.026845637583893	0.3243859941116661	0.013501207029985217	0.18296099000037025	0.22107455058513903	0.22718147584855022	0.18767855894845947	0.05120431048619608	0.22923986025838117	0.27334244344888065
4.3624161073825505	0.32436109493911086	0.01335823425147956	0.1829143331162554	0.2210625766287674	0.22716840328797344	0.1876517192588029	0.047139357637357555	0.22916644966554045	0.2732894064971677
4.697986577181208	0.32434819141330035	0.013273317431133488	0.18289109954925045	0.22105595760467034	0.22716134205876312	0.18763850385243785	0.044204205895112265	0.22912721848264725	0.27326277210677685
5.033557046979866	0.32434145022351635	0.013222844880882987	0.1828795132778996	0.2210523243067895	0.22715752792096935	0.18763191040963317	0.04208889561458437	0.22910624478127292	0.27324931175402034
5.369127516778524	0.3243379045996218	0.01319283974517912	0.18287372009635625	0.221050339530296	0.22715546768094938	0.18762858023566117	0.04056682996382452	0.2290950272746275	0.2732424668039863
5.704697986577181	0.32433602965799024	0.01317500533433886	0.18287081379683584	0.22104925901421826	0.22715435492419903	0.18762687989684237	0.03947305624661914	0.22908902601078282	0.27323896568792366
6.0402684563758395	0.32433503315525425	0.013164406976548823	0.18286934835376387	0.22104867200654812	0.22715375369712434	0.18762600238372415	0.038687896392268786	0.2290858128738873	0.2732371632593126
6.375838926174497	0.3243345021166648	0.013158111510413935	0.18286860699376842	0.22104835366607314	0.2271534289742446	0.18762554650738228	0.0381247691021596	0.2290840926818637	0.27323623157179355
6.7114093959731544	0.3243342181735548	0.013154373483172868	0.18286822986576082	0.22104818124221645	0.22715325357195243	0.18762530770895794	0.0377211822275487	0.22908317129420785	0.27323574726365324
7.046979865771813	0.3243340661612436	0.013152154708908636	0.18286803728196632	0.22104808788951036	0.2271531588346539	0.18762518219116855	0.037432108567973243	0.22908267767971632	0.2732354947123773
7.38255033557047	0.3243339843523795	0.013150837964985212	0.1828679381323552	0.22104803741398887	0.2271531076245004	0.18762511536645068	0.0372251555173384	0.22908241288306866	0.2732353618990743
7.718120805369128	0.324333940978567	0.013150058137435253	0.1828678879828206	0.22104801021328982	0.22715308015267346	0.18762508076468076	0.037077064315946026	0.22908227205154516	0.2732352933533495
8.053691275167786	0.32433391703137593	0.013149594984574313	0.18286786079593073	0.22104799543578377	0.2271530651398876	0.187625061336373	0.036971125243532625	0.22908219544805217	0.2732352557308103
8.389261744966444	0.32433390457550104	0.01314932091907112	0.18286784770908987	0.22104798751851015	0.2271530571508723	0.1876250516880666	0.036895362456520746	0.22908215510982347	0.2732352369270646
8.724832214765101	0.32433389767642673	0.013149158175456333	0.18286783998373568	0.22104798312408516	0.22715305275101694	0.1876250462501671	0.036841192803710884	0.2290821329383216	0.27323522631932695
9.060402684563758	0.32433389389180395	0.013149061814139537	0.18286783615806332	0.22104798081638208	0.22715305038597988	0.18762504318739148	0.036802469535039725	0.22908212110473003	0.27323522065359646
9.395973154362416	0.32433389186526446	0.013149004738282233	0.18286783413804886	0.22104797956317157	0.22715304910874642	0.1876250415715574	0.036774792569276335	0.22908211475356277	0.27323521765382475
9.731543624161075	0.32433389077160335	0.013148970936491713	0.18286783313213956	0.2210479788949061	0.2271530484193007	0.1876250407048202	0.036755013190055356	0.2290821113464275	0.27323521606547657
10.067114093959733	0.32433389018102526	0.01314895092417945	0.1828678325354815	0.2210479785246576	0.2271530480464043	0.18762504023443347	0.03674087950223304	0.22908210951225952	0.2732352152013364
10.40268456375839	0.32433388986491246	0.013148939084495836	0.18286783222862915	0.22104797832553308	0.22715304784528348	0.1876250399865151	0.03673078273763213	0.22908210852859343	0.2732352147440123
10.738255033557047	0.3243338896931356	0.013148932076884013	0.1828678320571797	0.22104797821700906	0.22715304773650502	0.18762503985042656	0.036723570148549683	0.2290821079989791	0.273235214495839
11.073825503355705	0.32433388960090126	0.013148927922615641	0.18286783197511103	0.22104797815950794	0.22715304767760855	0.18762503977886683	0.036718415706505525	0.2290821077137302	0.27323521436452236
11.409395973154362	0.3243338895503251	0.01314892545052954	0.1828678319236024	0.22104797812698446	0.22715304764546482	0.18762503973904784	0.0367147296452802	0.229082107558682	0.2732352142923282
11.74496644295302	0.3243338895234427	0.01314892400378892	0.18286783189786782	0.22104797811014038	0.22715304762863756	0.18762503971752148	0.036712098219491396	0.22908210747803154	0.27323521425479214
12.080536912751679	0.324333889510379	0.013148923166767579	0.18286783189377154	0.2210479781029979	0.22715304762014052	0.18762503970799566	0.03671022182153873	0.2290821074376858	0.27323521423708225
12.416107382550337	0.3243338895027504	0.013148922654131876	0.18286783188694178	0.22104797809786805	0.2271530476149013	0.18762503970268138	0.03670887994209959	0.22908210741263602	0.2732352142257247
12.751677852348994	0.32433388949777464	0.013148922346521328	0.18286783187552483	0.22104797809367405	0.22715304761186886	0.1876250396983289	0.03670792123801569	0.22908210739809493	0.2732352142184683
13.087248322147651	0.3243338894954376	0.013148922172749416	0.18286783187790645	0.22104797809317583	0.22715304761067825	0.18762503969629243	0.03670723616233668	0.22908210739264057	0.27323521421633423
13.422818791946309	0.32433388949541997	0.013148922077254443	0.18286783189949665	0.22104797809662755	0.22715304761040384	0.18762503969756253	0.03670674809013136	0.22908210739168297	0.27323521421750757
13.758389261744966	0.32433388949546876	0.013148922012742106	0.18286783190801756	0.22104797809766588	0.22715304760975907	0.18762503969876015	0.036706399594824135	0.22908210738851836	0.27323521421631336
14.093959731543626	0.324333889494362	0.013148921966981496	0.18286783188263908	0.22104797809267768	0.22715304760891147	0.1876250396970522	0.036706150301905834	0.22908210738409826	0.2732352142125374
14.429530201342283	0.3243338894924993	0.013148921940758068	0.1828678318431261	0.2210479780854402	0.22715304760853502	0.18762503969323419	0.036705971956488594	0.22908210738213386	0.27323521420980384
14.76510067114094	0.3243338894917196	0.013148921931550263	0.1828678318456319	0.2210479780859895	0.2271530476089059	0.18762503969203928	0.036705844721695455	0.22908210738425955	0.27323521421190217
15.100671140939598	0.3243338894928933	0.013148921924743769	0.18286783190358227	0.22104797809646315	0.22715304760908378	0.18762503969561434	0.036705753918554664	0.2290821073853608	0.27323521421487307
15.436241610738255	0.32433388949559844	0.01314892191625828	0.18286783197856743	0.22104797810998333	0.22715304760871197	0.18762503970162994	0.03670568924566321	0.2290821073833523	0.27323521421470653
15.771812080536913	0.3243338894987283	0.013148921905272197	0.18286783202608933	0.22104797811852567	0.2271530476077929	0.18762503970684782	0.0367056429466874	0.22908210737819412	0.273235214209778
16.107382550335572	0.32433388949987635	0.013148921899936869	0.18286783199318674	0.2210479781125456	0.22715304760730243	0.1876250397062341	0.036705609471965106	0.22908210737532092	0.27323521420438296
16.44295302013423	0.32433388949773156	0.013148921900585909	0.18286783188484654	0.22104797809276325	0.22715304760749275	0.1876250396994231	0.0367055853022177	0.2290821073762949	0.2732352142021663
16.778523489932887	0.3243338894924354	0.013148921904525048	0.18286783175060928	0.22104797806805088	0.22715304760822533	0.1876250396895751	0.03670556763806717	0.22908210738049703	0.27323521420559277
17.114093959731544	0.3243338894861484	0.01314892190854212	0.1828678316481951	0.22104797804909676	0.22715304760901645	0.18762503968125094	0.036705555738362886	0.22908210738516802	0.2732352142125173
17.449664429530202	0.32433388948347874	0.01314892190846391	0.18286783168210288	0.22104797805548188	0.22715304760915153	0.1876250396823986	0.03670554689274208	0.22908210738612508	0.2732352142181992
17.78523489932886	0.3243338894852126	0.013148921906423722	0.18286783183872402	0.22104797808498539	0.22715304760879645	0.18762503969186486	0.03670554082354821	0.229082107384163	0.27323521422078045
18.120805369127517	0.3243338894902224	0.013148921904783	0.18286783205501325	0.22104797812586596	0.22715304760838018	0.1876250397041959	0.036705536577485265	0.22908210738169735	0.2732352142200558
18.456375838926174	0.32433388949729713	0.013148921904262777	0.18286783228740822	0.22104797816985117	0.22715304760808186	0.18762503971605832	0.03670553368891739	0.2290821073797821	0.2732352142164838
18.79194630872483	0.3243338895033816	0.013148921904757218	0.18286783245162924	0.22104797820067335	0.22715304760805485	0.18762503972172043	0.036705531575165214	0.22908210737944246	0.2732352142119407
19.12751677852349	0.32433388950504927	0.01314892190563335	0.182867832438983	0.2210479781977656	0.2271530476082249	0.18762503971810612	0.03670553003420553	0.22908210738035156	0.2732352142087159
19.46308724832215	0.3243338895081911	0.013148921906366955	0.18286783249937189	0.22104797820898656	0.22715304760831728	0.18762503971883546	0.036705528704325995	0.2290821073807727	0.27323521420554403
19.798657718120808	0.3243338895112259	0.013148921906920321	0.18286783257215147	0.22104797822277364	0.22715304760835925	0.1876250397211853	0.03670552761481071	0.229082107380906	0.27323521420304986
20.134228187919465	0.3243338895110737	0.013148921907222555	0.1828678325391158	0.22104797821658856	0.22715304760840485	0.18762503971983857	0.03670552682366638	0.22908210738114515	0.2732352142024459
20.469798657718123	0.3243338895077348	0.01314892190727366	0.18286783240026483	0.22104797819043132	0.22715304760845406	0.18762503971479524	0.036705526330892996	0.22908210738149007	0.2732352142037322
20.80536912751678	0.32433388950171027	0.013148921907104476	0.18286783217312552	0.2210479781476075	0.22715304760850524	0.18762503970666677	0.03670552610850064	0.229082107381919	0.2732352142066321
21.140939597315437	0.324333889500617	0.01314892190718358	0.18286783212397925	0.22104797813833726	0.22715304760853364	0.1876250397047433	0.036705525731246934	0.22908210738210003	0.27323521420694385
21.476510067114095	0.3243338894993142	0.013148921907194714	0.18286783207310578	0.22104797812872573	0.22715304760855595	0.18762503970275468	0.03670552548613906	0.22908210738225718	0.2732352142075033
21.812080536912752	0.32433388949780184	0.013148921907137881	0.18286783202050508	0.22104797811877286	0.2271530476085722	0.1876250397007009	0.03670552537317703	0.2290821073823904	0.2732352142083105
22.14765100671141	0.32433388949608005	0.013148921907013084	0.18286783196617717	0.22104797810847868	0.22715304760858235	0.187625039698582	0.03670552539236082	0.22908210738249973	0.2732352142093654
