NON $ % + -
#NON	a	c	d	b
27.181208053691275	0.13550546274257239	0.10002316673983233	0.19086628976004708	0.13893891627922955
27.516778523489933	0.1355054627569543	0.10002316675791245	0.1908662897739295	0.13893891629256472
27.85234899328859	0.13550546276952138	0.100023166773711	0.19086628978606002	0.1389389163042458
28.18791946308725	0.13550546277265088	0.10002316677764501	0.19086628978908038	0.13893891630732555
28.52348993288591	0.13550546277578038	0.10002316678157905	0.19086628979210074	0.1389389163104053
28.859060402684566	0.1355054627789099	0.10002316678551307	0.1908662897951211	0.13893891631348507
29.194630872483224	0.1355054627820394	0.1000231667894471	0.19086628979814146	0.13893891631656485
29.53020134228188	0.1355054627851689	0.10002316679338112	0.19086628980116185	0.1389389163196446
29.86577181208054	0.13550546278829842	0.10002316679731516	0.19086628980418222	0.13893891632272437
30.201342281879196	0.13550546279142792	0.10002316680124917	0.19086628980720258	0.13893891632580413
30.536912751677853	0.1355054627945574	0.10002316680518321	0.19086628981022294	0.1389389163288839
30.87248322147651	0.13550546279768694	0.10002316680911723	0.1908662898132433	0.13893891633196365
31.20805369127517	0.13550546280081643	0.10002316681305126	0.19086628981626366	0.1389389163350434
31.543624161073826	0.13550546280394596	0.10002316681698528	0.19086628981928402	0.13893891633812316
31.879194630872483	0.13550546280707546	0.10002316682091932	0.1908662898223044	0.13893891634120295
32.214765100671144	0.135505462808923	0.10002316682324182	0.19086628982408751	0.13893891634302186
32.5503355704698	0.13550546280900766	0.10002316682334826	0.19086628982416923	0.13893891634310698
32.88590604026846	0.13550546280909234	0.1000231668234547	0.19086628982425094	0.13893891634319214
33.22147651006711	0.13550546280917702	0.10002316682356115	0.19086628982433265	0.13893891634327726
