NON $ % + - . 0 1 2 3 4 5 6 7 8
#NON	a	c	i	j	f	k	m	g	b	h	d	l	n	e
11.409395973154362	0.04730849978673485	0.21065951571557534	0.1766164143082428	0.14433496168538218	0.2092906072272957	0.181165905265872	0.02628003010172905	0.19622051950275235	0.20204815386607672	0.16162759291910822	0.15744334881933084	0.21448541476009295	0.20576067400776346	0.15055603469148524
11.74496644295302	0.04730850001167856	0.21065951566753224	0.17661641306499945	0.14433487872929768	0.20929017612222633	0.18116590501084837	0.026280030429559027	0.1962201338646317	0.20204815273269675	0.16162759162495494	0.15744334984232755	0.21448541444268895	0.205760674606168	0.15055602813577035
12.080536912751679	0.04730849993803746	0.2106595154762879	0.17661641274611628	0.14433482361819547	0.20928988426238657	0.18116590490831963	0.026280030418097164	0.19621987482684403	0.202048152416765	0.1616275913195383	0.15744334992444156	0.2144854142896326	0.20576067460352315	0.15055602424176637
12.416107382550337	0.04730849967974711	0.21065951530074925	0.17661641318767402	0.14433478709745343	0.20928968679968668	0.18116590484062353	0.026280030222380967	0.1962197009342542	0.20204815275593865	0.16162759174231203	0.1574433493993943	0.21448541418242786	0.20576067434929926	0.1505560219331322
12.751677852348994	0.0473084996486458	0.21065951525336243	0.17661641314577906	0.1443347626955328	0.20928955311533945	0.18116590480153905	0.02628003021506417	0.19621958415372293	0.2020481527054905	0.161627591694611	0.15744334939340185	0.2144854141275531	0.20576067435333703	0.1505560205914802
13.087248322147651	0.047308499622400545	0.21065951522343662	0.17661641314601373	0.1443347464035604	0.20928946235188772	0.18116590477983652	0.026280030202723497	0.1962195054858215	0.20204815269689372	0.16162759169081367	0.15744334936714374	0.21448541409686675	0.20576067434397274	0.1505560198000825
13.422818791946309	0.04730849961120182	0.21065951520748818	0.17661641313814394	0.14433473554039647	0.20928940082249659	0.18116590476798267	0.026280030198639538	0.19621945258192244	0.2020481526857026	0.16162759168125942	0.15744334935940094	0.2144854140800091	0.20576067434128012	0.150556019337124
13.758389261744966	0.04730849959916074	0.21065951519647388	0.1766164131495018	0.1443347282866793	0.20928935897952342	0.18116590476177222	0.026280030190782025	0.19621941690691422	0.20204815269257428	0.1616275916912288	0.15744334933994386	0.21448541407103758	0.20576067433181092	0.15055601907028882
14.093959731543626	0.04730849958772453	0.21065951518909737	0.17661641317022908	0.14433472366432934	0.2092893316743688	0.18116590475914554	0.026280030181580715	0.1962193938792576	0.20204815270857102	0.1616275917108247	0.1574433493158886	0.2144854140671339	0.20576067431954584	0.15055601893386064
14.429530201342283	0.04730849957891223	0.21065951518421885	0.17661641318875604	0.14433472066263053	0.20928931357963995	0.18116590475795652	0.026280030174046926	0.1962193787622766	0.2020481527233169	0.16162759172849406	0.15744334929593243	0.21448541406535498	0.20576067430930067	0.15055601886003506
14.76510067114094	0.0473084995756743	0.21065951518185538	0.1766164131936941	0.14433471860290595	0.20928930104946938	0.1811659047569373	0.026280030171593343	0.1962193683461938	0.20204815272694102	0.16162759173305272	0.1574433492896443	0.21448541406394533	0.20576067430617484	0.15055601880848196
15.100671140939598	0.047308499579155665	0.21065951518219203	0.17661641318147533	0.14433471718088223	0.20928929236748467	0.18116590475589436	0.026280030175357242	0.19621936115334515	0.2020481527164436	0.1616275917210733	0.1574433493001317	0.2144854140625936	0.20576067431166306	0.1505560187689368
15.436241610738255	0.04730849958937701	0.21065951518520484	0.1766164131522586	0.1443347161943897	0.20928928634626873	0.18116590475491176	0.026280030185280502	0.1962193561788232	0.2020481526920046	0.16162759169277158	0.1574433493271845	0.2144854140613589	0.20576067432549439	0.1505560187387725
15.771812080536913	0.04730849960330031	0.21065951518983317	0.17661641311465487	0.14433471551121585	0.2092892821610871	0.18116590475425234	0.026280030198377328	0.1962193527384875	0.2020481526608347	0.16162759165652715	0.1574433493625993	0.2144854140605246	0.20576067434328846	0.15055601871949098
