NON $ % + - . 0 1
#NON	a	b	f	d	g	e	c
18.181818181818183	0.044826958249497756	0.15421048600705414	0.02800219271475508	0.02314481356645409	0.19427271245422312	0.21480987953517422	0.11337328589812765
18.68686868686869	0.044826958250726315	0.15421048601034762	0.02800219227551383	0.023144812886930346	0.19427271243730376	0.21480987953142489	0.11337328506947782
19.191919191919194	0.04482695825131439	0.15421048601194443	0.028002192011135445	0.023144812477870664	0.1942727124284422	0.21480987952896136	0.11337328456978626
19.6969696969697	0.04482695825162114	0.154210486012826	0.028002191841742213	0.023144812215717386	0.1942727124291831	0.2148098795272557	0.1133732842491774
20.202020202020204	0.0448269582520247	0.1542104860138846	0.028002191640057746	0.023144811903664245	0.19427271241584046	0.21480987952533523	0.11337328386773692
20.70707070707071	0.04482695825231919	0.15421048601466245	0.02800219148950283	0.02314481167077695	0.19427271240729516	0.2148098795239408	0.11337328358291131
21.212121212121215	0.044826958252504635	0.15421048601515946	0.02800219139007747	0.0231448115170555	0.19427271240354718	0.2148098795230724	0.11337328339470057
21.71717171717172	0.04482695825258102	0.1542104860153757	0.028002191341781668	0.0231448114424999	0.19427271240459654	0.21480987952273004	0.11337328330310471
22.222222222222225	0.04482695825254834	0.15421048601531115	0.028002191344615422	0.023144811447110145	0.19427271241044322	0.21480987952291372	0.11337328330812374
22.72727272727273	0.04482695825240661	0.15421048601496581	0.028002191398578728	0.023144811530886236	0.1942727124210872	0.21480987952362343	0.11337328340975764
23.232323232323235	0.044826958252361084	0.15421048601486154	0.028002191411644724	0.023144811551267255	0.19427271242596575	0.21480987952386166	0.11337328343422262
23.73737373737374	0.04482695825237834	0.1542104860149134	0.028002191398796252	0.023144811531463475	0.19427271242679847	0.2148098795237908	0.11337328340981234
24.242424242424242	0.04482695825237257	0.15421048601490323	0.02800219139851289	0.023144811531084476	0.19427271242800212	0.214809879523828	0.11337328340919173
24.747474747474747	0.04482695825234375	0.15421048601483092	0.028002191410794634	0.02314481155013026	0.19427271242957667	0.21480987952397315	0.11337328343236078
