,,,Slide ID,d,b,a,e,c
,,,Antibody Name,d,b,a,e,c
,,,HUGO ID,d,b,a,e,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,35.85858585858586,0.04627611395242048,0.2858428176477719,0.23871404112233469,0.2766530541603237,0.21591438009230532
C1,no,Insulin,36.36363636363637,0.04627611396750307,0.2858428176709446,0.23871404116361167,0.27665305421951264,0.21591438009915218
C1,no,Insulin,36.86868686868687,0.04627611397086059,0.28584281767610203,0.2387140411728007,0.27665305423269454,0.21591438010067482
C1,no,Insulin,37.37373737373738,0.04627611397327932,0.28584281767981706,0.2387140411794206,0.2766530542421929,0.21591438010177116
C1,no,Insulin,37.87878787878788,0.04627611397569805,0.2858428176835321,0.23871404118604048,0.27665305425169123,0.2159143801028675
C1,no,Insulin,38.38383838383839,0.04627611397811678,0.2858428176872471,0.23871404119266038,0.2766530542611896,0.21591438010396383
C1,no,Insulin,38.88888888888889,0.04627611398053551,0.2858428176909621,0.23871404119928025,0.2766530542706879,0.21591438010506017
C1,no,Insulin,39.3939393939394,0.04627611398295424,0.2858428176946771,0.23871404120590015,0.2766530542801863,0.21591438010615652
C1,no,Insulin,39.8989898989899,0.04627611398537297,0.28584281769839215,0.23871404121252002,0.2766530542896847,0.21591438010725283
C1,no,Insulin,40.40404040404041,0.0462761139877917,0.2858428177021072,0.23871404121913992,0.276653054299183,0.21591438010834918
C1,no,Insulin,40.909090909090914,0.046276113990210435,0.2858428177058222,0.2387140412257598,0.27665305430868137,0.21591438010944553
C1,no,Insulin,41.41414141414142,0.04627611399262917,0.28584281770953723,0.2387140412323797,0.2766530543181797,0.21591438011054184
C1,no,Insulin,41.919191919191924,0.0462761139950479,0.28584281771325226,0.23871404123899956,0.27665305432767806,0.2159143801116382
C1,no,Insulin,42.42424242424243,0.04627611399746663,0.2858428177169673,0.23871404124561946,0.2766530543371764,0.21591438011273453
C1,no,Insulin,42.929292929292934,0.046276113999885356,0.2858428177206823,0.23871404125223933,0.27665305434667475,0.21591438011383085
C1,no,Insulin,43.43434343434344,0.046276114001779306,0.28584281772359127,0.23871404125742293,0.27665305435411225,0.2159143801146893
C1,no,Insulin,43.939393939393945,0.04627611400185126,0.2858428177237018,0.23871404125761989,0.27665305435439497,0.2159143801147219
C1,no,Insulin,44.44444444444445,0.04627611400192322,0.2858428177238123,0.2387140412578168,0.27665305435467774,0.2159143801147545
C1,no,Insulin,44.949494949494955,0.04627611400199517,0.28584281772392284,0.23871404125801376,0.27665305435496046,0.21591438011478709
C1,no,Insulin,45.45454545454546,0.046276114002067124,0.2858428177240333,0.23871404125821072,0.2766530543552432,0.2159143801148197
C1,no,Insulin,45.959595959595966,0.04627611400213908,0.2858428177241438,0.23871404125840767,0.2766530543555259,0.21591438011485228
C1,no,Insulin,46.46464646464647,0.04627611400221104,0.28584281772425435,0.2387140412586046,0.27665305435580867,0.2159143801148849
C1,no,Insulin,46.969696969696976,0.04627611400228299,0.2858428177243649,0.23871404125880155,0.2766530543560914,0.21591438011491748
C1,no,Insulin,47.47474747474748,0.04627611400235495,0.2858428177244754,0.2387140412589985,0.2766530543563741,0.21591438011495007
C1,no,Insulin,47.979797979797986,0.046276114002426906,0.28584281772458586,0.23871404125919543,0.2766530543566568,0.21591438011498268
C1,no,Insulin,48.484848484848484,0.046276114002498855,0.2858428177246964,0.23871404125939238,0.2766530543569396,0.21591438011501526
C1,no,Insulin,48.98989898989899,0.04627611400257081,0.2858428177248069,0.23871404125958934,0.2766530543572223,0.21591438011504788
C1,no,Insulin,49.494949494949495,0.04627611400264277,0.28584281772491743,0.2387140412597863,0.27665305435750503,0.21591438011508046
C1,no,Insulin,50.0,0.046276114002714724,0.2858428177250279,0.23871404125998322,0.27665305435778775,0.21591438011511307
