,,,Slide ID,a,d,b,c
,,,Antibody Name,a,d,b,c
,,,HUGO ID,a,d,b,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,22.72727272727273,0.12472815131921625,0.20468952666076964,0.12642884735278062,0.21220119188048156
C1,no,Insulin,23.232323232323235,0.1247281513162488,0.2046895266617819,0.12642884734483215,0.2122011918782137
C1,no,Insulin,23.73737373737374,0.12472815131328135,0.20468952666279416,0.12642884733688367,0.21220119187594585
C1,no,Insulin,24.242424242424242,0.12472815131031391,0.2046895266638064,0.1264288473289352,0.212201191873678
C1,no,Insulin,24.747474747474747,0.12472815130734646,0.20468952666481868,0.12642884732098672,0.21220119187141015
C1,no,Insulin,25.252525252525253,0.12472815130437902,0.20468952666583096,0.12642884731303825,0.2122011918691423
C1,no,Insulin,25.757575757575758,0.12472815130141157,0.2046895266668432,0.12642884730508977,0.21220119186687444
C1,no,Insulin,26.262626262626263,0.12472815129844413,0.20468952666785548,0.12642884729714132,0.2122011918646066
C1,no,Insulin,26.767676767676768,0.12472815129547668,0.20468952666886772,0.12642884728919285,0.21220119186233874
C1,no,Insulin,27.272727272727273,0.12472815129250923,0.20468952666988,0.12642884728124437,0.21220119186007091
C1,no,Insulin,27.77777777777778,0.12472815128954179,0.20468952667089224,0.1264288472732959,0.21220119185780306
C1,no,Insulin,28.282828282828284,0.12472815128657434,0.20468952667190451,0.12642884726534742,0.2122011918555352
C1,no,Insulin,28.78787878787879,0.1247281512836069,0.2046895266729168,0.12642884725739895,0.21220119185326736
C1,no,Insulin,29.292929292929294,0.12472815128063945,0.20468952667392903,0.12642884724945047,0.2122011918509995
C1,no,Insulin,29.7979797979798,0.124728151277672,0.2046895266749413,0.126428847241502,0.21220119184873165
C1,no,Insulin,30.303030303030305,0.12472815127470456,0.20468952667595355,0.12642884723355355,0.2122011918464638
C1,no,Insulin,30.80808080808081,0.12472815127173711,0.20468952667696583,0.12642884722560507,0.21220119184419595
C1,no,Insulin,31.313131313131315,0.12472815126876967,0.20468952667797807,0.1264288472176566,0.2122011918419281
C1,no,Insulin,31.81818181818182,0.12472815126580222,0.20468952667899035,0.12642884720970812,0.21220119183966024
