,,,Slide ID,d,b,f,a,c,e
,,,Antibody Name,d,b,f,a,c,e
,,,HUGO ID,d,b,f,a,c,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,25.252525252525253,0.3141229127862157,0.037568770463627464,0.2143295313342739,0.2144222150112754,0.27926705104373656,0.2465903017924794
C1,no,Insulin,25.757575757575758,0.31412291278654686,0.03756877046374929,0.21432953133433988,0.21442221501147463,0.2792670510979489,0.24659030176234795
C1,no,Insulin,26.262626262626263,0.3141229127866788,0.03756877046379886,0.21432953133437949,0.21442221501155384,0.27926705113903605,0.2465903017648516
C1,no,Insulin,26.767676767676768,0.3141229127868107,0.03756877046384844,0.2143295313344191,0.21442221501163308,0.2792670511801232,0.24659030176735527
C1,no,Insulin,27.272727272727273,0.3141229127869426,0.03756877046389801,0.2143295313344587,0.21442221501171232,0.2792670512212103,0.24659030176985894
C1,no,Insulin,27.77777777777778,0.3141229127870745,0.03756877046394758,0.2143295313344983,0.21442221501179157,0.27926705126229745,0.2465903017723626
C1,no,Insulin,28.282828282828284,0.31412291278719023,0.03756877046399108,0.21432953133453309,0.21442221501186107,0.2792670512983814,0.2465903017745553
C1,no,Insulin,28.78787878787879,0.3141229127871937,0.03756877046399239,0.2143295313345341,0.21442221501186315,0.2792670512997082,0.2465903017745876
C1,no,Insulin,29.292929292929294,0.3141229127871972,0.037568770463993685,0.21432953133453514,0.21442221501186523,0.2792670513010349,0.24659030177461994
C1,no,Insulin,29.7979797979798,0.3141229127872006,0.03756877046399498,0.21432953133453617,0.2144222150118673,0.2792670513023616,0.24659030177465224
C1,no,Insulin,30.303030303030305,0.31412291278720406,0.03756877046399628,0.2143295313345372,0.2144222150118694,0.27926705130368834,0.24659030177468458
C1,no,Insulin,30.80808080808081,0.31412291278720755,0.037568770463997585,0.21432953133453822,0.21442221501187148,0.2792670513050151,0.24659030177471689
C1,no,Insulin,31.313131313131315,0.314122912787211,0.03756877046399888,0.21432953133453922,0.21442221501187356,0.27926705130634183,0.24659030177474922
C1,no,Insulin,31.81818181818182,0.31412291278721444,0.03756877046400018,0.21432953133454025,0.21442221501187564,0.27926705130766855,0.24659030177478153
C1,no,Insulin,32.323232323232325,0.31412291278721793,0.037568770464001484,0.21432953133454127,0.21442221501187772,0.27926705130899526,0.24659030177481384
C1,no,Insulin,32.82828282828283,0.3141229127872214,0.03756877046400278,0.2143295313345423,0.2144222150118798,0.27926705131032203,0.24659030177484617
C1,no,Insulin,33.333333333333336,0.3141229127872248,0.03756877046400408,0.21432953133454333,0.21442221501188188,0.27926705131164875,0.24659030177487848
C1,no,Insulin,33.83838383838384,0.3141229127872283,0.037568770464005384,0.21432953133454435,0.21442221501188397,0.27926705131297547,0.24659030177491081
C1,no,Insulin,34.343434343434346,0.31412291278723176,0.03756877046400668,0.21432953133454538,0.21442221501188605,0.2792670513143022,0.24659030177494312
C1,no,Insulin,34.84848484848485,0.31412291278723525,0.03756877046400798,0.21432953133454638,0.21442221501188813,0.27926705131562896,0.24659030177497546
C1,no,Insulin,35.35353535353536,0.3141229127872387,0.03756877046400928,0.2143295313345474,0.2144222150118902,0.2792670513169557,0.24659030177500776
C1,no,Insulin,35.85858585858586,0.31412291278724214,0.03756877046401058,0.21432953133454843,0.2144222150118923,0.2792670513182824,0.24659030177504007
C1,no,Insulin,36.36363636363637,0.31412291278724563,0.03756877046401188,0.21432953133454946,0.21442221501189437,0.2792670513196091,0.2465903017750724
