NON $ % + - . 0 1 2 3
#NON	e	h	g	f	d	c	i	b	a
14.141414141414142	0.03273276550932194	0.04937959092705324	0.0016783485969209327	0.013234193204298713	0.0007284566485030647	0.000535729469836807	0.012333931602493428	0.00045793751844056284	0.007718636948236557
14.646464646464647	0.03260148317575222	0.04923279004091412	0.0016670244293038909	0.013165043824177505	0.0007239433514707389	0.0005314813654141393	0.012276719216461056	0.00045429940467431144	0.007688813137723408
15.151515151515152	0.03249616526423765	0.0491149554334768	0.001657976895688773	0.013109700452967749	0.000720335105876161	0.0005280926306144437	0.012230902329137419	0.000451396023050406	0.007664910236401721
15.656565656565657	0.03241167179859137	0.04902037436720573	0.001650741877565679	0.013065383411779463	0.0007174482345776945	0.0005253861316490395	0.012194196586859692	0.0004490763732740879	0.007645748016662221
16.161616161616163	0.03234387962392771	0.04894445853712993	0.0016449515808807935	0.013029878572517046	0.0007151369162499391	0.0005232221194528315	0.012164779027307534	0.0004472211957122066	0.007630382487870654
16.666666666666668	0.03228948454745473	0.048883525532864375	0.0016403147756521824	0.013001422758874103	0.0007132854552420073	0.0005214904976832038	0.012141195013774246	0.00044573641044766486	0.0076180588455818325
17.171717171717173	0.03224583677472661	0.048834617936550806	0.0016366001128460127	0.012978609541707098	0.000711801801081339	0.0005201041418069925	0.012122282636368959	0.000444547478463993	0.007608173079852131
17.67676767676768	0.03221081153746522	0.04879536233254471	0.0016336232324655252	0.0129603163459834	0.0007106125493986953	0.0005189937331586642	0.012107114162336468	0.0004435950592124989	0.007600242169759865
18.181818181818183	0.03218270447890013	0.04876385432017544	0.001631236855077887	0.01294564551306738	0.0007096590439776175	0.0005181039417818585	0.012094947570720521	0.0004428317806093373	0.0075938793138680205
18.68686868686869	0.03216014802856936	0.0487385649109163	0.0016293232636761476	0.012933877342191829	0.0007088943515243074	0.0005173906429096844	0.012085187044308861	0.00044221985506878573	0.007588773882142292
19.191919191919194	0.03214204506736673	0.04871826610823213	0.0016277884500291396	0.01292443567777631	0.00070828095287022	0.0005168186818748874	0.012077355191601408	0.00044172915271182834	0.007584676781837352
19.6969696969697	0.032127515700254954	0.04870197236822132	0.0016265572879648068	0.01291685995453277	0.0007077888592830611	0.0005163599884840564	0.01207107052100167	0.00044133560064217283	0.007581388695533645
20.202020202020204	0.03211585436060601	0.04868889360971262	0.0016255696141799579	0.012910781394419727	0.0007073940595118346	0.0005159920778852509	0.012066027608448503	0.00044101991953837216	0.007578749981294112
20.70707070707071	0.03210649576496994	0.04867839682943582	0.0016247772643098004	0.012905904354458401	0.0007070773220715488	0.0005156969612965152	0.012061981380170783	0.0004407666885298529	0.007576632589422959
21.212121212121215	0.032098985575475	0.04866997285416412	0.0016241415799842127	0.012901991144077486	0.0007068231992487496	0.0005154602195602575	0.012058734641097163	0.0004405635428639416	0.007574933481481223
21.71717171717172	0.03209295840934561	0.04866321222622872	0.0016236315177293626	0.012898850984775202	0.0007066192905025339	0.00051527027390478	0.012056129200196034	0.0004404005517824759	0.007573569937148091
22.222222222222225	0.03208812101665763	0.048657786071003135	0.0016232221871285372	0.012896330635058734	0.0007064556432127848	0.0005151178523159888	0.012054037861971827	0.0004402697604768036	0.007572475470985621
22.72727272727273	0.03208423772201477	0.0486534299264409	0.0016228936306917202	0.012894307435643635	0.0007063242833342764	0.0005149955185156229	0.012052358979133513	0.0004401647849248392	0.007571596837766005
