NON $ % + - . 0
#NON	b	e	d	a	c	f
14.141414141414142	0.07652673061247633	0.08398228103432374	0.13077763569207468	0.07074113167756067	0.020133001345676582	0.1401983247308826
14.646464646464647	0.07652464821589303	0.08398034898767766	0.1307759865753083	0.07073919115811736	0.020132180469065616	0.14019682104311176
15.151515151515152	0.0765232045221229	0.08397901271896192	0.1307748341899588	0.0707378473301352	0.02013160991368442	0.14019576806493209
15.656565656565657	0.07652220287380236	0.08397808142708237	0.1307740434374271	0.07073691313105634	0.020131216000996138	0.14019504621668524
16.161616161616163	0.07652150606624462	0.08397743067695693	0.1307735028002067	0.07073626184889116	0.020130943297274644	0.1401945560775769
16.666666666666668	0.07652102417692284	0.08397698568470677	0.13077311580671475	0.07073581375948414	0.020130752372600674	0.14019420225057816
17.171717171717173	0.07652069072791765	0.08397667580322213	0.13077285247348333	0.0707355028199367	0.020130621166224518	0.14019396184317043
17.67676767676768	0.07652045830189871	0.0839764595151411	0.130772669978075	0.0707352859415411	0.020130529847937617	0.1401937958570831
18.181818181818183	0.07652029708326888	0.0839763097186468	0.13077254275881242	0.07073513561345031	0.020130466400417574	0.14019367994343848
18.68686868686869	0.07652018485505226	0.08397620552564859	0.13077245396436327	0.07073503100550654	0.020130422194132393	0.14019359896896227
19.191919191919194	0.07652010774236416	0.08397613401076223	0.1307723927446304	0.07073495916429469	0.020130391784118226	0.14019354307969076
19.6969696969697	0.07652005452584912	0.08397608469470356	0.13077235039900106	0.07073490960284276	0.020130370780433657	0.14019350439563055
20.202020202020204	0.07652001757309133	0.08397605045723737	0.13077232098213107	0.07073487519110083	0.020130356192631958	0.14019347752399183
20.70707070707071	0.07651999225743039	0.08397602701068493	0.1307723008109931	0.07073485162017577	0.020130346194717166	0.14019345909978212
21.212121212121215	0.0765199746840537	0.08397601074857322	0.1307722867744653	0.07073483526420977	0.0201303392481249	0.14019344627505273
21.71717171717172	0.0765199624283215	0.0839759994309543	0.13077227692144544	0.07073482386840048	0.020130334392598984	0.14019343725721306
22.222222222222225	0.07651995390025557	0.08397599150942904	0.13077227018117243	0.07073481591762167	0.020130331035325733	0.14019343111287963
22.72727272727273	0.0765199477226058	0.0839759855533031	0.1307722658641602	0.07073481005828751	0.020130328704352825	0.14019342731479184
23.232323232323235	0.07651994259062538	0.0839759807090492	0.13077226200764352	0.07073480523831076	0.020130326719836514	0.14019342384597142
23.73737373737374	0.07651993874599473	0.08397597710375453	0.13077225905745515	0.07073480163830392	0.020130325222113356	0.14019342117748235
24.242424242424242	0.07651993633399963	0.0839759748159539	0.1307722572759283	0.0707347993678251	0.02013032429455358	0.1401934195857606
24.747474747474747	0.07651993502105046	0.08397597354500978	0.13077225637460738	0.07073479812011953	0.020130323801541096	0.14019341880071587
25.252525252525253	0.07651993354451685	0.08397597215301468	0.1307722552616932	0.07073479673412603	0.020130323229771513	0.14019341780006175
25.757575757575758	0.07651993273675539	0.08397597139010486	0.13077225465692627	0.07073479597524432	0.020130322917627556	0.14019341725771428
26.262626262626263	0.07651993259776611	0.08397597125628033	0.13077225456030664	0.07073479584347442	0.020130322865109223	0.1401934171736735
26.767676767676768	0.07651993156812989	0.08397597028274795	0.13077225379252774	0.07073479487564618	0.020130322467724608	0.1401934164862463
27.272727272727273	0.07651993198175035	0.08397597067212052	0.13077225410595092	0.07073479526363917	0.020130322628157688	0.1401934167685979
27.77777777777778	0.0765199323953708	0.08397597106149308	0.13077225441937407	0.07073479565163214	0.020130322788590768	0.14019341705094948
28.282828282828284	0.076519932797326	0.08397597143985351	0.13077225472403742	0.07073479602866853	0.020130322944513446	0.1401934173254306
28.78787878787879	0.07651993289046077	0.08397597152668373	0.13077225479679713	0.0707347961156456	0.02013032298103001	0.1401934173915529
29.292929292929294	0.07651993298359555	0.08397597161351396	0.13077225486955688	0.07073479620262269	0.02013032301754657	0.14019341745767516
29.7979797979798	0.07651993307673033	0.08397597170034417	0.1307722549423166	0.07073479628959976	0.020130323054063134	0.14019341752379744
30.303030303030305	0.0765199331698651	0.08397597178717439	0.13077225501507633	0.07073479637657684	0.020130323090579695	0.1401934175899197
30.80808080808081	0.07651993326299988	0.08397597187400462	0.13077225508783605	0.07073479646355392	0.02013032312709626	0.14019341765604199
31.313131313131315	0.07651993335613466	0.08397597196083482	0.13077225516059576	0.070734796550531	0.02013032316361282	0.14019341772216426
31.81818181818182	0.07651993344926944	0.08397597204766505	0.1307722552333555	0.07073479663750808	0.020130323200129384	0.14019341778828653
32.323232323232325	0.07651993354240422	0.08397597213449527	0.13077225530611522	0.07073479672448515	0.020130323236645944	0.14019341785440884
32.82828282828283	0.076519933635539	0.08397597222132548	0.13077225537887494	0.07073479681146223	0.020130323273162505	0.1401934179205311
33.333333333333336	0.07651993367818413	0.08397597226104427	0.13077225541229254	0.07073479685126971	0.02013032328990128	0.14019341795092596
33.83838383838384	0.07651993369923403	0.08397597228061275	0.13077225542888293	0.07073479687090199	0.020130323298180788	0.14019341796603968
34.343434343434346	0.07651993372028394	0.08397597230018124	0.1307722554454733	0.07073479689053429	0.020130323306460297	0.14019341798115342
34.84848484848485	0.07651993374133384	0.08397597231974974	0.13077225546206367	0.07073479691016657	0.020130323314739802	0.14019341799626714
