NON $ % + - . 0
#NON	b	f	a	e	d	c
10.504201680672269	5.289205773120709e-06	0.2866613739523886	0.2584575595852548	0.2700940016027435	1.3245008015387378e-05	0.15750172710015042
10.92436974789916	3.5550684703090843e-06	0.2872467124813989	0.2588487905642099	0.27033785062719207	8.796442789399085e-06	0.15749996196626107
11.344537815126051	2.391952763018667e-06	0.2877300555406019	0.2591698544601049	0.27053731659881175	5.852474395039451e-06	0.15749875847028108
11.764705882352942	1.6111307285825497e-06	0.2881290362520886	0.2594332788692171	0.27070052614216417	3.90056875778222e-06	0.157497937908681
12.184873949579831	1.0864368690089653e-06	0.28845831275133704	0.25964939497362166	0.27083411832279436	2.6040732783559665e-06	0.15749737843443923
12.605042016806722	7.33486929269659e-07	0.2887300423166544	0.2598267057206991	0.2709435142163735	1.741401971563736e-06	0.15749699697197558
13.025210084033613	4.958054400828679e-07	0.28895428907953	0.25997219836179225	0.2710331387268218	1.1664140844972016e-06	0.1574967368815507
13.445378151260504	3.3556350887745677e-07	0.28913937356568375	0.260091608634811	0.2711066034248717	7.825337378580168e-07	0.15749655954442315
13.865546218487395	2.2740285829111543e-07	0.28929216586273204	0.2601896402459868	0.2711668555559573	5.258263705685879e-07	0.15749643863114574
14.285714285714286	1.5430690084868812e-07	0.2894183340306903	0.26027014843384944	0.2712163005469896	3.5388606698482173e-07	0.1574963561888557
14.705882352941178	1.0484592159468636e-07	0.2895225519222831	0.26033629190215773	0.2712569020637119	2.385394895873191e-07	0.15749629997694917
15.126050420168067	7.133547173690164e-08	0.2896086707038421	0.2603906574110172	0.2712902632241086	1.6103922635180353e-07	0.1574962616502777
15.546218487394958	4.860157398756921e-08	0.2896798637721943	0.26043536366132	0.27131769350501556	1.088854576552658e-07	0.15749623551754435
15.966386554621849	3.3158311755975597e-08	0.2897387451860317	0.26047214565068133	0.27134026276419454	7.373486594298424e-08	0.15749621769921396
16.386554621848738	2.264870733922454e-08	0.2897874740506509	0.2605024282289255	0.27135884790482934	4.9996474363593795e-08	0.15749620554440696
16.80672268907563	1.5489908005953304e-08	0.2898278220152107	0.2605273732209547	0.27137416242293216	3.394799419685857e-08	0.15749619725642452
17.22689075630252	1.0618746974981177e-08	0.2898612358007384	0.26054792442147356	0.27138678548966433	2.3109574278278305e-08	0.1574961916187601
17.647058823529413	7.29154739510477e-09	0.2898889186488581	0.2605648664050314	0.2713971981712029	1.575926067646767e-08	0.15749618777444196
18.067226890756302	4.997719147075379e-09	0.2899119097666497	0.2605788693808668	0.2714058114107911	1.0725907076096308e-08	0.15749618513207622
18.487394957983195	3.4485266820059965e-09	0.28993091449250064	0.2605903863972866	0.27141290562166237	7.3512540581669096e-09	0.15749618335559898
18.907563025210084	2.3734119745095673e-09	0.28994675588497326	0.26059993555221367	0.27141878752864734	5.025415409272162e-09	0.15749618213018263
19.327731092436974	1.6353791513468497e-09	0.2899599279400383	0.26060783508534263	0.27142365878390085	3.4398453372137163e-09	0.15749618129518494
19.747899159663866	1.1329212787088713e-09	0.2899708503756426	0.26061435434118635	0.2714276860978047	2.3678698379306622e-09	0.1574961807318002
20.168067226890756	7.845732922200089e-10	0.2899799373921382	0.2606197536609397	0.27143102485363835	1.629261033815814e-09	0.1574961803449997
20.58823529411765	5.439888819124908e-10	0.2899874965095914	0.26062422498925175	0.27143379450642335	1.1223596007647536e-09	0.15749618008087193
