,,,Slide ID,c,f,a,e,b,d
,,,Antibody Name,c,f,a,e,b,d
,,,HUGO ID,c,f,a,e,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,30.303030303030305,0.21098967918776068,0.22252623595171944,0.1719623770272638,0.19189758038635205,0.20427626782927094,0.19018798322943717
C1,no,Insulin,30.80808080808081,0.21098967918776496,0.22252623595172938,0.17196237702835973,0.1918975803860886,0.20427626783038547,0.19018798322944153
C1,no,Insulin,31.313131313131315,0.2109896791877692,0.22252623595173934,0.1719623770294557,0.19189758038582513,0.2042762678315,0.1901879832294459
C1,no,Insulin,31.81818181818182,0.21098967918777348,0.2225262359517493,0.17196237703055164,0.19189758038556168,0.20427626783261454,0.19018798322945027
C1,no,Insulin,32.323232323232325,0.21098967918777775,0.22252623595175927,0.1719623770316476,0.19189758038529822,0.20427626783372907,0.19018798322945465
C1,no,Insulin,32.82828282828283,0.210989679187782,0.2225262359517692,0.17196237703274353,0.19189758038503477,0.2042762678348436,0.190187983229459
C1,no,Insulin,33.333333333333336,0.21098967918778627,0.22252623595177917,0.1719623770338395,0.1918975803847713,0.20427626783595812,0.19018798322946337
C1,no,Insulin,33.83838383838384,0.21098967918779055,0.22252623595178914,0.17196237703493544,0.19189758038450785,0.20427626783707264,0.19018798322946776
C1,no,Insulin,34.343434343434346,0.21098967918779482,0.22252623595179907,0.17196237703603137,0.1918975803842444,0.20427626783818717,0.1901879832294721
C1,no,Insulin,34.84848484848485,0.21098967918779907,0.22252623595180904,0.17196237703712733,0.19189758038398094,0.2042762678393017,0.1901879832294765
C1,no,Insulin,35.35353535353536,0.21098967918780334,0.222526235951819,0.17196237703822329,0.1918975803837175,0.20427626784041625,0.19018798322948086
C1,no,Insulin,35.85858585858586,0.21098967918780762,0.22252623595182894,0.17196237703931924,0.19189758038345403,0.20427626784153077,0.19018798322948524
C1,no,Insulin,36.36363636363637,0.2109896791878119,0.2225262359518389,0.17196237704041517,0.19189758038319057,0.2042762678426453,0.1901879832294896
C1,no,Insulin,36.86868686868687,0.21098967918781614,0.22252623595184887,0.17196237704151113,0.19189758038292712,0.20427626784375982,0.19018798322949396
C1,no,Insulin,37.37373737373738,0.2109896791878204,0.22252623595185883,0.17196237704260708,0.19189758038266366,0.20427626784487435,0.19018798322949834
C1,no,Insulin,37.87878787878788,0.21098967918782469,0.22252623595186877,0.171962377043703,0.1918975803824002,0.20427626784598887,0.1901879832295027
C1,no,Insulin,38.38383838383839,0.21098967918782893,0.22252623595187873,0.17196237704479897,0.19189758038213675,0.20427626784710343,0.19018798322950708
C1,no,Insulin,38.88888888888889,0.2109896791878332,0.2225262359518887,0.17196237704589493,0.1918975803818733,0.20427626784821795,0.19018798322951144
C1,no,Insulin,39.3939393939394,0.21098967918783748,0.22252623595189863,0.17196237704699088,0.19189758038160984,0.20427626784933248,0.1901879832295158
C1,no,Insulin,39.8989898989899,0.21098967918784176,0.2225262359519086,0.1719623770480868,0.19189758038134638,0.204276267850447,0.19018798322952019
C1,no,Insulin,40.40404040404041,0.210989679187846,0.22252623595191856,0.17196237704918277,0.19189758038108293,0.20427626785156153,0.19018798322952454
C1,no,Insulin,40.909090909090914,0.21098967918785028,0.22252623595192852,0.17196237705027873,0.19189758038081947,0.20427626785267605,0.19018798322952893
C1,no,Insulin,41.41414141414142,0.21098967918785455,0.22252623595193846,0.17196237705137465,0.19189758038055602,0.2042762678537906,0.1901879832295333
C1,no,Insulin,41.919191919191924,0.2109896791878588,0.22252623595194843,0.1719623770524706,0.19189758038029256,0.20427626785490513,0.19018798322953767
C1,no,Insulin,42.42424242424243,0.21098967918786307,0.2225262359519584,0.17196237705356657,0.1918975803800291,0.20427626785601966,0.19018798322954203
C1,no,Insulin,42.929292929292934,0.21098967918786735,0.22252623595196833,0.17196237705466252,0.19189758037976565,0.20427626785713418,0.1901879832295464
C1,no,Insulin,43.43434343434344,0.21098967918787162,0.2225262359519783,0.17196237705575845,0.1918975803795022,0.2042762678582487,0.19018798322955077
C1,no,Insulin,43.939393939393945,0.21098967918787587,0.22252623595198825,0.1719623770568544,0.19189758037923874,0.20427626785936323,0.19018798322955513
C1,no,Insulin,44.44444444444445,0.21098967918788014,0.22252623595199822,0.17196237705795037,0.19189758037897528,0.20427626786047778,0.19018798322955952
