NON $ % + - . 0 1 2
#NON	e	c	d	b	a	g	f	h
11.616161616161618	0.12102064250661576	0.13312020070694955	0.01694722705866476	1.1649093552273317e-07	0.009924124983389276	0.17272618537525192	0.19108336723793723	0.06478380920188834
12.121212121212121	0.12097576987616467	0.13303107960601618	0.016928733676135364	5.946066253252741e-08	0.009906487446583505	0.17263948393266484	0.19103122728021507	0.06470321875765471
12.626262626262626	0.1209428623911869	0.1329657142714276	0.016915182459485735	3.025477736746122e-08	0.00989357371954851	0.17257590319689722	0.19099258134330943	0.0646441732149481
13.131313131313131	0.1209187379666968	0.13291778003923727	0.016905250477227067	1.5433916219807966e-08	0.009884116346331696	0.1725292736065177	0.19096400559339233	0.06460090824378054
13.636363636363637	0.1209010552924585	0.13288263485702898	0.01689797246817731	7.875718444664573e-09	0.009877189096276474	0.1724950864359495	0.19094291681105902	0.06456920522640572
14.141414141414142	0.12088809481789399	0.1328568677468348	0.0168926387597283	4.018531255051351e-09	0.00987211410883718	0.172470021844456	0.1909273759714989	0.06454597200620564
14.646464646464647	0.12087859554277565	0.13283797695132482	0.016888729753889754	2.0470748070937354e-09	0.009868395575594525	0.17245164624176504	0.19091593668114337	0.06452894451415064
15.151515151515152	0.1208716319228353	0.132824125522358	0.016885864274949244	1.0385543893254148e-09	0.009865670199962751	0.17243817250396762	0.1909075226643386	0.06451646243941947
15.656565656565657	0.12086653098286056	0.13281397707230758	0.016883765270430062	5.429417404528357e-10	0.009863674133546031	0.1724283005576428	0.1909013422828669	0.06450731913412971
16.161616161616163	0.1208627925625007	0.1328065383008201	0.01688222703343726	2.8188829385920084e-10	0.00986221136528825	0.1724210649936195	0.19089680348583662	0.06450061799397565
16.666666666666668	0.12086005256956586	0.13280108564825982	0.016881099697951953	1.4265690724623304e-10	0.009861139341503853	0.17241576160412722	0.19089347161089903	0.06449570650494406
17.171717171717173	0.12085804424570847	0.13279708818322544	0.01688027306187061	7.994447784449657e-11	0.00986035357051229	0.1724118719916943	0.19089102599731844	0.0644921061854259
17.67676767676768	0.12085657351202625	0.13279416009875003	0.01687966727353828	5.439984173242065e-11	0.009859778089870137	0.17240902090422933	0.19088923278245107	0.06448946925340926
18.181818181818183	0.12085549568597302	0.13279201482175895	0.016879223746110082	2.9644986100895016e-11	0.009859356448997224	0.172406933794939	0.19088791809194203	0.06448753724146658
18.68686868686869	0.12085470514408847	0.13279044239375226	0.01687889984699284	9.569397344269963e-12	0.009859047395959598	0.17240541090247516	0.1908869541965099	0.064486121005672
19.191919191919194	0.12085412604178594	0.13278928971186793	0.01687866285658535	7.452671838382719e-12	0.009858820876250635	0.17240429769787138	0.19088624723069347	0.06448508288801717
19.6969696969697	0.12085370255971478	0.13278844519414504	0.01687848729089854	9.451806007603886e-12	0.009858654938486464	0.17240347122431596	0.1908857287772921	0.06448432258048274
20.202020202020204	0.12085339140012205	0.13278782610965162	0.016878358634235088	4.234818332726191e-12	0.009858533291282497	0.17240286335127877	0.19088534894449796	0.06448376509885868
20.70707070707071	0.12085316346366783	0.13278737238555188	0.016878265136597313	2.33006424129104e-12	0.009858444132941388	0.17240242411070678	0.19088507041816297	0.06448335651947941
21.212121212121215	0.12085299628244026	0.13278703950443627	0.01687819610465093	1.2028879146587162e-12	0.009858378726153348	0.17240209879449986	0.1908848660380833	0.06448305678776545
21.71717171717172	0.12085287377161141	0.13278679560424161	0.016878145659356435	6.122485492789668e-13	0.009858330802160736	0.17240186124995177	0.19088471626986028	0.06448283716428561
22.222222222222225	0.12085278312679333	0.132786615133228	0.016878108354527226	3.075597884275688e-13	0.009858295341896193	0.1724016856619027	0.19088460543670563	0.06448267465817371
22.72727272727273	0.12085271736691806	0.13278648419914568	0.016878081314050514	1.8581689441371365e-13	0.00985826961540361	0.17240155847405783	0.19088452501516612	0.06448255675909369
23.232323232323235	0.12085266934280645	0.13278638857352498	0.01687806159487388	1.4456283839361213e-13	0.009858250826727576	0.1724014658453533	0.19088446627499908	0.06448247065438766
23.73737373737374	0.12085263439501613	0.1327863189836122	0.016878047277311112	1.253696668078297e-13	0.009858237153761993	0.17240139875213728	0.1908844235259272	0.06448240799386257
24.242424242424242	0.1208526088487907	0.13278626811643754	0.016878036840518366	9.314034802496966e-14	0.009858227159502912	0.1724013500212305	0.19088439227934165	0.0644823621919482
24.747474747474747	0.12085258999288476	0.1327862305760236	0.016878029137885282	5.181062426293184e-14	0.009858219783598217	0.17240131413971094	0.19088436922063137	0.06448232838892122
25.252525252525253	0.12085257608595358	0.13278620289385037	0.01687802342430687	1.9527145146448808e-14	0.009858214344457557	0.17240128746133754	0.19088435221740566	0.06448230346131276
25.757575757575758	0.12085256590811569	0.13278618263822953	0.01687801918158159	3.5654446574235895e-15	0.009858210364334132	0.17240126742733666	0.1908843397750323	0.06448228522006184
26.262626262626263	0.12085255849292477	0.1327861678786404	0.01687801601219902	1.3233141501295557e-15	0.009858207464158556	0.17240125196619133	0.19088433070760746	0.06448227192861941
26.767676767676768	0.12085255293124343	0.13278615679986144	0.0168780136158279	1.1355428563602963e-15	0.009858205287558876	0.1724012398282912	0.19088432390107574	0.06448226195411327
27.272727272727273	0.12085254841199734	0.1327861478002489	0.01687801169172351	1.1151729533861953e-15	0.009858203519348985	0.17240123034948174	0.19088431837198566	0.06448225385084305
27.77777777777778	0.12085254522526206	0.13278614145414833	0.016878010381263735	8.717823937919722e-16	0.009858202272501672	0.17240122415301182	0.1908843144731356	0.06448224813680539
28.282828282828284	0.12085254289825471	0.13278613682016938	0.016878009444881138	5.9458333607775e-16	0.009858201362046147	0.17240121984704201	0.1908843116261604	0.06448224396435048
28.78787878787879	0.12085254106406626	0.13278613316773422	0.01687800869665644	4.304162294902299e-16	0.009858200644433527	0.17240121635141806	0.19088430938221246	0.06448224067564917
29.292929292929294	0.1208525400066228	0.13278613106218765	0.016878008280460006	2.6565117266560554e-16	0.009858200230746593	0.1724012145019983	0.19088430808862455	0.064482238779751
29.7979797979798	0.12085253850960906	0.13278612808123796	0.016878007676618973	1.0009246534426449e-16	0.009858199645064418	0.1724012117237282	0.1908843062572164	0.06448223609564813
30.303030303030305	0.12085253842461408	0.13278612791212932	0.01687800764577761	6.943658038185672e-17	0.009858199611838737	0.1724012116066756	0.19088430615331048	0.06448223594335148
