NON $ % + -
#NON	a	b	c	d
20.70707070707071	0.16953287882637066	0.14971134032979405	0.2408093417284111	0.15864767443492617
21.212121212121215	0.16953287882523033	0.14971134042011605	0.2408093417465779	0.15864767443410888
21.71717171717172	0.16953287882514262	0.14971134038725173	0.2408093417414394	0.15864767443405703
22.222222222222225	0.1695328788249541	0.14971134038347111	0.2408093417413334	0.15864767443394223
22.72727272727273	0.16953287882466478	0.1497113404087742	0.24080934174625993	0.1586476744337645
23.232323232323235	0.16953287882427467	0.14971134046316098	0.24080934175621896	0.15864767443352387
23.73737373737374	0.16953287882378373	0.14971134054663146	0.2408093417712105	0.1586476744332203
24.242424242424242	0.16953287882300483	0.1497113406104409	0.24080934178403143	0.1586476744327199
24.747474747474747	0.16953287882297885	0.1497113406351487	0.24080934178795163	0.15864767443271907
25.252525252525253	0.16953287882295284	0.14971134065985656	0.24080934179187183	0.1586476744327182
25.757575757575758	0.16953287882292684	0.1497113406845644	0.24080934179579203	0.15864767443271738
26.262626262626263	0.16953287882290083	0.14971134070927225	0.24080934179971222	0.15864767443271655
26.767676767676768	0.16953287882287482	0.14971134073398007	0.24080934180363242	0.15864767443271569
27.272727272727273	0.16953287882286902	0.14971134073976103	0.24080934180454455	0.15864767443271555
27.77777777777778	0.1695328788228686	0.14971134074046574	0.24080934180464988	0.1586476744327156
28.282828282828284	0.1695328788228682	0.14971134074117048	0.24080934180475524	0.15864767443271563
28.78787878787879	0.16953287882286777	0.1497113407418752	0.2408093418048606	0.15864767443271569
29.292929292929294	0.16953287882286736	0.1497113407425799	0.24080934180496594	0.1586476744327157
29.7979797979798	0.16953287882286694	0.14971134074328463	0.2408093418050713	0.15864767443271577
30.303030303030305	0.16953287882286652	0.14971134074398934	0.24080934180517663	0.1586476744327158
30.80808080808081	0.1695328788228661	0.14971134074469405	0.240809341805282	0.15864767443271585
31.313131313131315	0.1695328788228657	0.14971134074539877	0.24080934180538735	0.1586476744327159
31.81818181818182	0.16953287882286527	0.14971134074610348	0.24080934180549268	0.15864767443271593
32.323232323232325	0.16953287882286486	0.1497113407468082	0.24080934180559804	0.158647674432716
32.82828282828283	0.16953287882286444	0.1497113407475129	0.24080934180570338	0.15864767443271602
33.333333333333336	0.16953287882286402	0.14971134074821763	0.24080934180580874	0.15864767443271607
33.83838383838384	0.1695328788228636	0.14971134074892234	0.2408093418059141	0.1586476744327161
34.343434343434346	0.1695328788228632	0.14971134074962705	0.24080934180601943	0.15864767443271616
34.84848484848485	0.16953287882286278	0.14971134075033177	0.2408093418061248	0.1586476744327162
35.35353535353536	0.16953287882286236	0.14971134075103648	0.24080934180623012	0.15864767443271624
35.85858585858586	0.16953287882286192	0.1497113407517412	0.24080934180633548	0.1586476744327163
36.36363636363637	0.1695328788228615	0.1497113407524459	0.24080934180644084	0.15864767443271632
36.86868686868687	0.16953287882286108	0.14971134075315062	0.24080934180654617	0.15864767443271638
37.37373737373738	0.16953287882286067	0.14971134075385534	0.24080934180665153	0.1586476744327164
37.87878787878788	0.16953287882286025	0.14971134075456005	0.24080934180675687	0.15864767443271646
38.38383838383839	0.16953287882285983	0.14971134075526477	0.24080934180686223	0.1586476744327165
38.88888888888889	0.16953287882285942	0.14971134075596948	0.2408093418069676	0.15864767443271655
39.3939393939394	0.169532878822859	0.14971134075667422	0.24080934180707292	0.1586476744327166
39.8989898989899	0.16953287882285858	0.14971134075737894	0.24080934180717828	0.15864767443271663
40.40404040404041	0.16953287882285817	0.14971134075808365	0.24080934180728364	0.15864767443271668
40.909090909090914	0.16953287882285775	0.14971134075878836	0.24080934180738897	0.1586476744327167
41.41414141414142	0.16953287882285734	0.14971134075949308	0.24080934180749433	0.15864767443271677
41.919191919191924	0.16953287882285692	0.1497113407601978	0.24080934180759966	0.1586476744327168
42.42424242424243	0.1695328788228565	0.1497113407609025	0.24080934180770502	0.15864767443271685
42.929292929292934	0.1695328788228561	0.14971134076160722	0.24080934180781038	0.15864767443271688
43.43434343434344	0.16953287882285567	0.14971134076231193	0.24080934180791572	0.15864767443271693
43.939393939393945	0.16953287882285525	0.14971134076301665	0.24080934180802108	0.158647674432717
44.44444444444445	0.16953287882285484	0.14971134076372136	0.2408093418081264	0.15864767443271702
