,,,Slide ID,b,e,f,g,d,a,c
,,,Antibody Name,b,e,f,g,d,a,c
,,,HUGO ID,b,e,f,g,d,a,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,6.0606060606060606,0.2934789645865286,0.1901993417128049,0.40876318755517943,0.3572965782071157,0.2671203741186152,0.7108149091652359,0.17455923788494435
C1,no,Insulin,6.565656565656566,0.29347990260009205,0.19021081585327856,0.40876354183092867,0.35729657629781847,0.2670239081757931,0.7108151408583891,0.17449976905369155
C1,no,Insulin,7.070707070707071,0.29348028029118045,0.19021758837987238,0.408763666180127,0.3572965868257737,0.2669668080459667,0.710815205125061,0.17446454912713205
C1,no,Insulin,7.575757575757576,0.2934804304150201,0.1902215897592314,0.40876370884777175,0.3572965947409516,0.26693300161098066,0.7108152205376265,0.17444368950702444
C1,no,Insulin,8.080808080808081,0.2934804899134909,0.19022395308496134,0.4087637225880367,0.3572965968912833,0.26691298931130814,0.7108152240729776,0.17443133776911704
C1,no,Insulin,8.585858585858587,0.29348051190709457,0.1902253533000755,0.4087637276304108,0.3572966008695578,0.2669011420790557,0.7108152230140667,0.17442402541611102
C1,no,Insulin,9.090909090909092,0.2934805218718678,0.19022617706765224,0.40876372782616416,0.3572965980451169,0.2668941292229173,0.7108152237235142,0.17441969483325562
C1,no,Insulin,9.595959595959597,0.2934805240148721,0.19022666989974546,0.40876372956110374,0.357296601306405,0.2668899765479946,0.7108152230032712,0.17441713236623838
C1,no,Insulin,10.101010101010102,0.29348052593497753,0.19022695751809238,0.4087637288445039,0.35729659948842885,0.26688751912253,0.7108152232293531,0.17441561434351877
C1,no,Insulin,10.606060606060607,0.2934805263992966,0.19022712884954124,0.4087637288734825,0.3572965996066289,0.2668860641164438,0.7108152230922811,0.17441471598133615
C1,no,Insulin,11.111111111111112,0.2934805265541511,0.19022723034659733,0.40876372888623264,0.3572965996710803,0.2668852030045056,0.710815223036879,0.1744141843154331
C1,no,Insulin,11.616161616161618,0.29348052660321855,0.19022729043484676,0.4087637288929378,0.35729659969601435,0.2668846929803555,0.7108152230220903,0.174413869416905
C1,no,Insulin,12.121212121212121,0.2934805266284746,0.19022732612375018,0.40876372888926055,0.35729659969739125,0.266884389854228,0.7108152230124374,0.17441368224991274
C1,no,Insulin,12.626262626262626,0.2934805266318066,0.19022734730525745,0.4087637288902874,0.35729659970102456,0.2668842101405277,0.7108152230121976,0.174413571290204
C1,no,Insulin,13.131313131313131,0.29348052662985125,0.19022735960327228,0.4087637288904755,0.35729659970213995,0.2668841059741379,0.7108152230136452,0.17441350697630514
C1,no,Insulin,13.636363636363637,0.2934805266299734,0.1902273667148429,0.408763728889561,0.35729659970132743,0.2668840457382538,0.7108152230134056,0.17441346978357614
C1,no,Insulin,14.141414141414142,0.2934805266333038,0.19022737097498651,0.4087637288891427,0.3572965997008444,0.2668840094737751,0.710815223011566,0.1744134473894638
C1,no,Insulin,14.646464646464647,0.293480526636448,0.19022737356720376,0.40876372889008233,0.3572965997017185,0.26688398717902273,0.7108152230102507,0.17441343362156433
C1,no,Insulin,15.151515151515152,0.2934805266368273,0.19022737513393057,0.40876372889133555,0.3572965997029355,0.2668839735900668,0.7108152230105689,0.17441342523136266
C1,no,Insulin,15.656565656565657,0.2934805266352813,0.19022737608497292,0.4087637288914222,0.3572965997031548,0.26688396542553233,0.7108152230115955,0.17441342019189804
C1,no,Insulin,16.161616161616163,0.2934805266342883,0.19022737668034095,0.40876372889024587,0.3572965997023458,0.26688396054399954,0.7108152230118555,0.17441341717900422
C1,no,Insulin,16.666666666666668,0.2934805266350048,0.19022737706392637,0.4087637288891736,0.3572965997016473,0.26688395760730443,0.7108152230110627,0.17441341536543667
C1,no,Insulin,17.171717171717173,0.29348052663624075,0.1902273773010824,0.40876372888942664,0.35729659970190336,0.26688395583169466,0.7108152230103164,0.17441341426797405
C1,no,Insulin,17.67676767676768,0.2934805266363359,0.19022737742490037,0.4087637288906137,0.35729659970266175,0.2668839547583917,0.7108152230105792,0.17441341360465704
C1,no,Insulin,18.181818181818183,0.2934805266353268,0.19022737746914284,0.40876372889128193,0.3572965997029002,0.2668839541108439,0.7108152230114512,0.1744134132051673
C1,no,Insulin,18.68686868686869,0.29348052663445534,0.190227377505809,0.40876372889188944,0.3572965997031373,0.26688395358592665,0.7108152230122075,0.17441341288135198
C1,no,Insulin,19.191919191919194,0.2934805266338325,0.19022737755910565,0.408763728893087,0.3572965997038359,0.2668839530815005,0.7108152230129292,0.1744134125698139
C1,no,Insulin,19.6969696969697,0.2934805266335402,0.19022737759780803,0.40876372889371476,0.3572965997042181,0.26688395273175314,0.7108152230132837,0.17441341235381813
C1,no,Insulin,20.202020202020204,0.29348052663357843,0.19022737762191608,0.4087637288937729,0.35729659970428396,0.26688395253668457,0.7108152230132709,0.17441341223336468
C1,no,Insulin,20.70707070707071,0.2934805266339472,0.19022737763142986,0.40876372889326135,0.3572965997040334,0.26688395249629476,0.7108152230128908,0.17441341220845352
