,,,Slide ID,a,d,b,c
,,,Antibody Name,a,d,b,c
,,,HUGO ID,a,d,b,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,22.72727272727273,0.9999999999999885,0.7905781513499172,0.3208604747142949,0.18029728844767082
C1,no,Insulin,23.232323232323235,0.9999999999999933,0.7905781513313358,0.3208604747537909,0.18029728844459691
C1,no,Insulin,23.73737373737374,0.9999999999999959,0.7905781513216436,0.3208604747743868,0.18029728844299495
C1,no,Insulin,24.242424242424242,0.999999999999996,0.790578151321079,0.3208604747755755,0.18029728844290446
C1,no,Insulin,24.747474747474747,0.999999999999996,0.7905781513205145,0.32086047477676416,0.18029728844281395
C1,no,Insulin,25.252525252525253,0.9999999999999961,0.7905781513199499,0.3208604747779529,0.18029728844272347
C1,no,Insulin,25.757575757575758,0.9999999999999962,0.7905781513193854,0.32086047477914154,0.18029728844263296
C1,no,Insulin,26.262626262626263,0.9999999999999962,0.7905781513188208,0.32086047478033025,0.18029728844254247
C1,no,Insulin,26.767676767676768,0.9999999999999963,0.7905781513182563,0.32086047478151897,0.18029728844245196
C1,no,Insulin,27.272727272727273,0.9999999999999964,0.7905781513176917,0.3208604747827076,0.18029728844236148
C1,no,Insulin,27.77777777777778,0.9999999999999966,0.7905781513171272,0.32086047478389634,0.180297288442271
C1,no,Insulin,28.282828282828284,0.9999999999999966,0.7905781513165626,0.32086047478508506,0.1802972884421805
C1,no,Insulin,28.78787878787879,0.9999999999999967,0.7905781513159981,0.3208604747862737,0.18029728844209
C1,no,Insulin,29.292929292929294,0.9999999999999968,0.7905781513154335,0.32086047478746244,0.1802972884419995
C1,no,Insulin,29.7979797979798,0.9999999999999968,0.7905781513148691,0.32086047478865115,0.180297288441909
C1,no,Insulin,30.303030303030305,0.9999999999999969,0.7905781513143045,0.3208604747898398,0.1802972884418185
C1,no,Insulin,30.80808080808081,0.999999999999997,0.79057815131374,0.3208604747910285,0.18029728844172802
C1,no,Insulin,31.313131313131315,0.9999999999999971,0.7905781513131754,0.32086047479221724,0.1802972884416375
C1,no,Insulin,31.81818181818182,0.9999999999999971,0.7905781513126109,0.3208604747934059,0.18029728844154702
C1,no,Insulin,32.323232323232325,0.9999999999999972,0.7905781513120463,0.3208604747945946,0.1802972884414565
C1,no,Insulin,32.82828282828283,0.9999999999999973,0.7905781513114818,0.3208604747957833,0.18029728844136603
C1,no,Insulin,33.333333333333336,0.9999999999999973,0.7905781513109172,0.320860474796972,0.18029728844127554
C1,no,Insulin,33.83838383838384,0.9999999999999974,0.7905781513103527,0.3208604747981607,0.18029728844118503
C1,no,Insulin,34.343434343434346,0.9999999999999976,0.7905781513097881,0.32086047479934937,0.18029728844109455
C1,no,Insulin,34.84848484848485,0.9999999999999977,0.7905781513092236,0.3208604748005381,0.18029728844100404
C1,no,Insulin,35.35353535353536,0.9999999999999977,0.790578151308659,0.3208604748017268,0.18029728844091356
C1,no,Insulin,35.85858585858586,0.9999999999999978,0.7905781513080946,0.32086047480291546,0.18029728844082304
C1,no,Insulin,36.36363636363637,0.9999999999999979,0.7905781513075301,0.3208604748041042,0.18029728844073256
C1,no,Insulin,36.86868686868687,0.9999999999999979,0.7905781513069655,0.3208604748052929,0.18029728844064205
C1,no,Insulin,37.37373737373738,0.999999999999998,0.790578151306401,0.32086047480648155,0.18029728844055157
C1,no,Insulin,37.87878787878788,0.9999999999999981,0.7905781513058364,0.32086047480767027,0.18029728844046106
C1,no,Insulin,38.38383838383839,0.9999999999999982,0.7905781513052719,0.320860474808859,0.18029728844037057
C1,no,Insulin,38.88888888888889,0.9999999999999982,0.7905781513047073,0.32086047481004765,0.1802972884402801
C1,no,Insulin,39.3939393939394,0.9999999999999983,0.7905781513041428,0.32086047481123636,0.18029728844018958
C1,no,Insulin,39.8989898989899,0.9999999999999984,0.7905781513035782,0.320860474812425,0.1802972884400991
C1,no,Insulin,40.40404040404041,0.9999999999999984,0.7905781513030137,0.32086047481361374,0.18029728844000859
C1,no,Insulin,40.909090909090914,0.9999999999999986,0.7905781513024491,0.32086047481480245,0.1802972884399181
C1,no,Insulin,41.41414141414142,0.9999999999999987,0.7905781513018847,0.3208604748159911,0.1802972884398276
C1,no,Insulin,41.919191919191924,0.9999999999999988,0.7905781513013201,0.32086047481717983,0.1802972884397371
C1,no,Insulin,42.42424242424243,0.9999999999999988,0.7905781513007556,0.32086047481836855,0.1802972884396466
C1,no,Insulin,42.929292929292934,0.9999999999999989,0.790578151300191,0.3208604748195572,0.1802972884395561
C1,no,Insulin,43.43434343434344,0.999999999999999,0.7905781512996265,0.3208604748207459,0.1802972884394656
C1,no,Insulin,43.939393939393945,0.9999999999999991,0.790578151299062,0.32086047482193464,0.18029728843937512
C1,no,Insulin,44.44444444444445,0.9999999999999991,0.7905781512984974,0.3208604748231233,0.18029728843928464
C1,no,Insulin,44.949494949494955,0.9999999999999992,0.7905781512979329,0.320860474824312,0.18029728843919413
C1,no,Insulin,45.45454545454546,0.9999999999999993,0.7905781512973683,0.32086047482550073,0.18029728843910364
C1,no,Insulin,45.959595959595966,0.9999999999999993,0.7905781512968038,0.3208604748266894,0.18029728843901313
C1,no,Insulin,46.46464646464647,0.9999999999999994,0.7905781512962392,0.3208604748278781,0.18029728843892265
C1,no,Insulin,46.969696969696976,0.9999999999999996,0.7905781512956747,0.32086047482906677,0.18029728843883214
C1,no,Insulin,47.47474747474748,0.9999999999999997,0.7905781512951102,0.3208604748302555,0.18029728843874165
C1,no,Insulin,47.979797979797986,0.9999999999999997,0.7905781512945457,0.3208604748314442,0.18029728843865114
C1,no,Insulin,48.484848484848484,0.9999999999999998,0.7905781512939811,0.32086047483263286,0.18029728843856066
C1,no,Insulin,48.98989898989899,0.9999999999999999,0.7905781512934166,0.3208604748338216,0.18029728843847015
C1,no,Insulin,49.494949494949495,0.9999999999999999,0.790578151293157,0.3208604748343681,0.18029728843842857
C1,no,Insulin,50.0,1.0,0.7905781512931399,0.3208604748344039,0.18029728843842588
