NON $ % + -
#NON	b	c	a	d
26.767676767676768	0.004690695763704232	0.254466958364636	0.2201469152524925	0.028943348235645226
27.272727272727273	0.004690695767144267	0.25446695836410327	0.22014691525208036	0.02894334823598519
27.77777777777778	0.004690695767356513	0.2544669583640747	0.2201469152520571	0.028943348236003703
28.282828282828284	0.00469069576756876	0.2544669583640461	0.22014691525203386	0.028943348236022216
28.78787878787879	0.004690695767781007	0.2544669583640175	0.2201469152520106	0.02894334823604073
29.292929292929294	0.004690695767993253	0.2544669583639889	0.22014691525198735	0.028943348236059242
29.7979797979798	0.0046906957682055	0.2544669583639603	0.2201469152519641	0.028943348236077755
30.303030303030305	0.004690695768417747	0.2544669583639317	0.22014691525194086	0.02894334823609627
30.80808080808081	0.004690695768629994	0.2544669583639031	0.2201469152519176	0.028943348236114785
31.313131313131315	0.00469069576884224	0.2544669583638745	0.22014691525189434	0.028943348236133298
31.81818181818182	0.004690695769054487	0.2544669583638459	0.22014691525187108	0.02894334823615181
32.323232323232325	0.004690695769266734	0.25446695836381733	0.22014691525184782	0.028943348236170324
32.82828282828283	0.00469069576947898	0.25446695836378874	0.2201469152518246	0.02894334823618884
33.333333333333336	0.0046906957696912265	0.25446695836376015	0.22014691525180133	0.028943348236207353
33.83838383838384	0.004690695769903473	0.25446695836373157	0.22014691525177807	0.028943348236225866
34.343434343434346	0.004690695770115719	0.254466958363703	0.2201469152517548	0.02894334823624438
34.84848484848485	0.004690695770327966	0.25446695836367433	0.22014691525173158	0.028943348236262892
35.35353535353536	0.004690695770540213	0.25446695836364575	0.22014691525170832	0.028943348236281405
35.85858585858586	0.004690695770752459	0.25446695836361716	0.22014691525168506	0.02894334823629992
36.36363636363637	0.004690695770964706	0.25446695836358857	0.2201469152516618	0.028943348236318434
36.86868686868687	0.004690695771176953	0.25446695836356	0.22014691525163857	0.028943348236336947
37.37373737373738	0.0046906957713892	0.2544669583635314	0.2201469152516153	0.02894334823635546
37.87878787878788	0.004690695771601446	0.2544669583635028	0.22014691525159205	0.028943348236373973
38.38383838383839	0.004690695771813693	0.2544669583634742	0.2201469152515688	0.028943348236392486
