,,,Slide ID,e,g,d,b,f,a,c
,,,Antibody Name,e,g,d,b,f,a,c
,,,HUGO ID,e,g,d,b,f,a,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,10.606060606060607,0.028022725450233665,0.10525255807241138,0.07247593902274016,0.17033314210210765,0.12455677602014245,0.12847383318330077,0.04363002298946188
C1,no,Insulin,11.111111111111112,0.02801812172925547,0.1052397354261055,0.07244632412880214,0.17031974784442075,0.12453523923981842,0.12845721086553893,0.043620061519527145
C1,no,Insulin,11.616161616161618,0.028015070149594028,0.10523124569977879,0.07242656405936417,0.170310874756597,0.12452096742477187,0.12844619133091503,0.04361346066013332
C1,no,Insulin,12.121212121212121,0.02801304778710837,0.10522560030914345,0.07241339130713592,0.17030498099016245,0.12451151354946867,0.1284389018495798,0.043609087712108134
C1,no,Insulin,12.626262626262626,0.02801170784408757,0.10522187530411659,0.07240461515427361,0.1703010874109009,0.12450524753301298,0.128434062024453,0.04360619005340841
C1,no,Insulin,13.131313131313131,0.028010819928184223,0.10521940507346797,0.07239877214922694,0.17029850589110115,0.12450109590133439,0.12843085630503956,0.043604270148769976
C1,no,Insulin,13.636363636363637,0.028010231446490338,0.10521776637173536,0.07239488277080364,0.17029679387334457,0.12449834415183096,0.12842873199855837,0.04360299769917404
C1,no,Insulin,14.141414141414142,0.028009840976993206,0.10521667943520756,0.07239229289062023,0.17029565813948402,0.1244965187532387,0.12842732286740585,0.043602153531863155
C1,no,Insulin,14.646464646464647,0.028009582792301136,0.10521596070047604,0.07239057459645018,0.17029490715415926,0.12449531181737429,0.12842639118732904,0.0436015953760356
C1,no,Insulin,15.151515151515152,0.028009412633924823,0.10521548697785989,0.07238943865980076,0.17029441218809346,0.12449451637629086,0.12842577716300832,0.043601227523220716
C1,no,Insulin,15.656565656565657,0.028009298769291223,0.1052151699328073,0.07238867671593752,0.1702940809671471,0.12449398400953933,0.12842536618283587,0.0436009813485579
C1,no,Insulin,16.161616161616163,0.028009223435684908,0.10521496027375062,0.07238817146229423,0.1702938618832601,0.12449363191078541,0.1284250943890411,0.04360081850814424
C1,no,Insulin,16.666666666666668,0.028009173710550492,0.10521482188860831,0.07238783727706022,0.17029371723028905,0.12449339960526584,0.12842491512446202,0.043600711048696075
C1,no,Insulin,17.171717171717173,0.02800914057417147,0.10521472950615544,0.0723876141364809,0.17029362069463747,0.12449324471315608,0.12842479562266754,0.04360063941743593
C1,no,Insulin,17.67676767676768,0.028009118411538858,0.10521466756551226,0.07238746446717498,0.17029355606309923,0.12449314089059105,0.12842471545776457,0.04360059145276263
C1,no,Insulin,18.181818181818183,0.02800910372451044,0.10521462657956979,0.07238736490300403,0.1702935133849968,0.12449307189887115,0.1284246620448056,0.04360055962118496
C1,no,Insulin,18.68686868686869,0.028009094006979318,0.10521459989295369,0.0723872990883459,0.1702934855431502,0.12449302643585654,0.1284246267565646,0.04360053860642375
C1,no,Insulin,19.191919191919194,0.028009087779629373,0.10521458328992551,0.07238725747854524,0.1702934680106952,0.12449299786275442,0.12842460468116823,0.04360052527659795
C1,no,Insulin,19.6969696969697,0.02800908333973029,0.10521457151583716,0.07238722871658052,0.1702934552500845,0.12449297827734714,0.12842458999534498,0.043600515962209124
C1,no,Insulin,20.202020202020204,0.02800907990550687,0.10521456214395696,0.07238720581861428,0.1702934453123332,0.12449296258935755,0.1284245780174391,0.04360050862716295
C1,no,Insulin,20.70707070707071,0.028009077663891442,0.10521455571119717,0.07238719041492851,0.1702934386283421,0.12449295198750834,0.12842456984817546,0.043600503751273126
C1,no,Insulin,21.212121212121215,0.0280090767177676,0.10521455251306293,0.07238718340279585,0.17029343543526973,0.1244929471260473,0.1284245660933698,0.04360050159861892
C1,no,Insulin,21.71717171717172,0.028009075715645926,0.10521454947725464,0.0723871762574963,0.1702934323560106,0.12449294218266585,0.1284245622354633,0.04360049936924566
C1,no,Insulin,22.222222222222225,0.02800907524899713,0.1052145479483446,0.07238717270981915,0.1702934308685334,0.12449293970546017,0.12842456025153676,0.043600498288535655
C1,no,Insulin,22.72727272727273,0.028009074443434392,0.10521454525921921,0.07238716655166869,0.17029342825655874,0.12449293540192403,0.12842455681246065,0.0436004964162595
C1,no,Insulin,23.232323232323235,0.028009074917264756,0.10521454659525292,0.07238716969047446,0.17029342968303476,0.1244929375499276,0.12842455842241865,0.04360049742440646
C1,no,Insulin,23.73737373737374,0.028009075391095116,0.10521454793128665,0.07238717282928023,0.17029343110951078,0.12449293969793118,0.12842456003237668,0.043600498432553425
C1,no,Insulin,24.242424242424242,0.028009075749979972,0.1052145489543168,0.07238717522793761,0.1702934321949636,0.12449294134207273,0.1284245612703003,0.043600499200316466
C1,no,Insulin,24.747474747474747,0.028009075662179195,0.10521454876099491,0.07238717475033084,0.17029343195517826,0.12449294102817403,0.1284245610624741,0.0436004990339321
C1,no,Insulin,25.252525252525253,0.028009075574378418,0.10521454856767301,0.07238717427272408,0.1702934317153929,0.12449294071427532,0.12842456085464793,0.04360049886754774
C1,no,Insulin,25.757575757575758,0.02800907548657764,0.10521454837435112,0.0723871737951173,0.17029343147560758,0.12449294040037662,0.12842456064682176,0.043600498701163386
C1,no,Insulin,26.262626262626263,0.028009075506730107,0.1052145484425144,0.07238717393575533,0.17029343154674104,0.12449294049678819,0.12842456071696073,0.04360049874529301
C1,no,Insulin,26.767676767676768,0.02800907556587338,0.1052145486051215,0.07238717429969246,0.17029343173017292,0.12449294074139658,0.12842456088749582,0.043600498865456555
C1,no,Insulin,27.272727272727273,0.02800907562501665,0.10521454876772861,0.0723871746636296,0.17029343191360477,0.12449294098600497,0.1284245610580309,0.04360049898562011
C1,no,Insulin,27.77777777777778,0.028009075669047666,0.10521454888963248,0.07238717493702516,0.17029343205024772,0.12449294117012583,0.12842456118736928,0.04360049907556745
C1,no,Insulin,28.282828282828284,0.02800907567108753,0.10521454889843777,0.07238717495884053,0.17029343205688227,0.12449294118617513,0.1284245612022379,0.04360049908155557
C1,no,Insulin,28.78787878787879,0.028009075673127395,0.10521454890724305,0.0723871749806559,0.17029343206351683,0.12449294120222441,0.12842456121710655,0.04360049908754369
C1,no,Insulin,29.292929292929294,0.02800907567516726,0.10521454891604834,0.07238717500247127,0.17029343207015138,0.12449294121827371,0.12842456123197515,0.04360049909353181
C1,no,Insulin,29.7979797979798,0.028009075677207125,0.10521454892485362,0.07238717502428664,0.1702934320767859,0.124492941234323,0.1284245612468438,0.04360049909951993
C1,no,Insulin,30.303030303030305,0.02800907567924699,0.1052145489336589,0.07238717504610201,0.17029343208342046,0.1244929412503723,0.12842456126171242,0.04360049910550805
C1,no,Insulin,30.80808080808081,0.028009075681286855,0.10521454894246418,0.07238717506791738,0.170293432090055,0.12449294126642159,0.12842456127658103,0.04360049911149617
C1,no,Insulin,31.313131313131315,0.02800907568332672,0.10521454895126947,0.07238717508973275,0.17029343209668957,0.12449294128247089,0.12842456129144966,0.04360049911748429
C1,no,Insulin,31.81818181818182,0.028009075685366584,0.10521454896007475,0.07238717511154812,0.1702934321033241,0.12449294129852018,0.12842456130631827,0.0436004991234724
C1,no,Insulin,32.323232323232325,0.02800907568740645,0.10521454896888004,0.07238717513336348,0.17029343210995865,0.12449294131456946,0.1284245613211869,0.04360049912946052
C1,no,Insulin,32.82828282828283,0.028009075688402968,0.10521454897281272,0.07238717514299564,0.17029343211315262,0.12449294132155468,0.12842456132744517,0.04360049913217883
C1,no,Insulin,33.333333333333336,0.028009075688948733,0.10521454897464032,0.07238717514736435,0.17029343211486017,0.12449294132462398,0.12842456132998353,0.043600499133484495
C1,no,Insulin,33.83838383838384,0.028009075689494498,0.10521454897646791,0.07238717515173307,0.17029343211656775,0.12449294132769329,0.12842456133252186,0.043600499134790166
C1,no,Insulin,34.343434343434346,0.028009075690040262,0.1052145489782955,0.07238717515610177,0.17029343211827533,0.12449294133076258,0.12842456133506022,0.04360049913609583
C1,no,Insulin,34.84848484848485,0.028009075690586027,0.10521454898012311,0.07238717516047048,0.17029343211998288,0.12449294133383187,0.12842456133759858,0.0436004991374015
C1,no,Insulin,35.35353535353536,0.028009075691131792,0.1052145489819507,0.07238717516483918,0.17029343212169046,0.12449294133690118,0.12842456134013694,0.043600499138707165
C1,no,Insulin,35.85858585858586,0.028009075691677557,0.1052145489837783,0.0723871751692079,0.17029343212339804,0.12449294133997048,0.12842456134267527,0.043600499140012836
C1,no,Insulin,36.36363636363637,0.02800907569222332,0.10521454898560591,0.07238717517357661,0.1702934321251056,0.12449294134303977,0.12842456134521363,0.0436004991413185
C1,no,Insulin,36.86868686868687,0.028009075692769086,0.1052145489874335,0.07238717517794531,0.17029343212681317,0.12449294134610907,0.128424561347752,0.04360049914262417
C1,no,Insulin,37.37373737373738,0.028009075693244793,0.1052145489890258,0.07238717518175165,0.17029343212830128,0.12449294134878308,0.12842456134996305,0.04360049914376193
