,,,Slide ID,c,b,d,e,a,f
C1,no,Insulin,8.585858585858587,0.1410373363699564,0.03189012485763689,0.16296517832186622,0.07395180586213254,0.03439432797710948,0.06313123086824823
C1,no,Insulin,9.090909090909092,0.1409482257831118,0.03186972412214833,0.16292047861496198,0.07386101796483747,0.03437946334055138,0.06310212758283694
C1,no,Insulin,9.595959595959597,0.14089096040375315,0.031856796062830345,0.1628921306953776,0.07380364835413489,0.03437003776466854,0.06308367083065913
C1,no,Insulin,10.101010101010102,0.14085423331110505,0.03184860126913831,0.16287414981046364,0.07376738269773706,0.03436406023055835,0.06307196269540465
C1,no,Insulin,10.606060606060607,0.14083071717160153,0.03184340536684623,0.16286274263678177,0.07374444921504116,0.03436026860472069,0.06306453378815198
C1,no,Insulin,11.111111111111112,0.14081566939722484,0.03184010751303758,0.162855498858449,0.07372992992358075,0.03435786118116232,0.0630598153701681
C1,no,Insulin,11.616161616161618,0.1408060587382044,0.03183801582704475,0.16285090231714197,0.07372074341212967,0.03435633375115663,0.06305682067267868
C1,no,Insulin,12.121212121212121,0.14079992542877515,0.03183668851252873,0.16284798430388658,0.07371492742104171,0.034355364206048095,0.06305491913410215
C1,no,Insulin,12.626262626262626,0.14079601149692078,0.031835845489001376,0.16284613024630273,0.07371124157110648,0.03435474824821795,0.06305371067038587
C1,no,Insulin,13.131313131313131,0.14079351884154942,0.0318353108221643,0.16284495388442063,0.0737089089230839,0.0343543574779854,0.06305294378366437
C1,no,Insulin,13.636363636363637,0.14079193201582002,0.03183497153708369,0.16284420717617154,0.07370743166413116,0.03435410945279781,0.06305245687178179
C1,no,Insulin,14.141414141414142,0.14079092042641456,0.03183475574343698,0.16284373217084264,0.07370649380965096,0.0343539516832247,0.06305214703383721
C1,no,Insulin,14.646464646464647,0.14079027634856844,0.031834618673344445,0.16284343026678405,0.07370589914929539,0.03435385143107574,0.0630519501251347
C1,no,Insulin,15.151515151515152,0.14078986748877936,0.03183453182779712,0.16284323882324966,0.0737055229833751,0.03435378790037877,0.06305182528076778
C1,no,Insulin,15.656565656565657,0.14078960706458662,0.03183447656401522,0.1628431170578149,0.07370528397936077,0.034353747497773354,0.06305174579423897
C1,no,Insulin,16.161616161616163,0.1407894390862527,0.03183444091380371,0.16284303874140502,0.07370513008948021,0.03435372143209774,0.06305169456088147
C1,no,Insulin,16.666666666666668,0.14078933165445992,0.031834418126128645,0.16284298867450223,0.07370503194652901,0.0343537046975584,0.06305166186479687
C1,no,Insulin,17.171717171717173,0.14078926347281398,0.031834403722142,0.1628429565807546,0.07370496987001998,0.03435369407812336,0.0630516411186294
C1,no,Insulin,17.67676767676768,0.14078922064599708,0.03183439475863347,0.16284293602313002,0.07370493097784213,0.034353687539180444,0.06305162800394908
C1,no,Insulin,18.181818181818183,0.1407891944682875,0.03183438933638198,0.16284292346161644,0.07370490724843323,0.03435368377129412,0.06305161988152662
C1,no,Insulin,18.68686868686869,0.14078917814671735,0.03183438593297592,0.1628429162095817,0.07370489245857545,0.03435368160104323,0.06305161477535888
C1,no,Insulin,19.191919191919194,0.1407891675311847,0.03183438360203071,0.16284291238085336,0.0737048828377122,0.034353680116266515,0.0630516115533382
C1,no,Insulin,19.6969696969697,0.14078916033291336,0.031834381858397764,0.16284291023929298,0.07370487633677916,0.03435367863107868,0.06305160962341773
C1,no,Insulin,20.202020202020204,0.14078915548639706,0.03183438062138784,0.16284290804963386,0.07370487199714028,0.034353677001490245,0.06305160855444557
C1,no,Insulin,20.70707070707071,0.1407891521296195,0.03183437985404573,0.16284290551158942,0.07370486899845831,0.034353675765379094,0.06305160778163531
C1,no,Insulin,21.212121212121215,0.14078914953644805,0.0318343792596532,0.16284290448980426,0.07370486665856714,0.03435367525743322,0.06305160705536941
C1,no,Insulin,21.71717171717172,0.1407891480964343,0.03183437903232148,0.16284290372043558,0.07370486534176923,0.03435367532091017,0.06305160647765602
C1,no,Insulin,22.222222222222225,0.1407891475177367,0.031834379059065734,0.16284290317247516,0.07370486479285615,0.03435367574038839,0.06305160604593246
C1,no,Insulin,22.72727272727273,0.140789146812982,0.03183437895762988,0.16284290274101446,0.07370486414839379,0.03435367578704291,0.06305160575152854
C1,no,Insulin,23.232323232323235,0.14078914657163719,0.031834378956222806,0.16284290248868447,0.07370486392385683,0.03435367589598608,0.06305160559962042
C1,no,Insulin,23.73737373737374,0.14078914615000052,0.031834378959588405,0.1628429020404199,0.07370486353015186,0.034353676107803786,0.06305160532381288
C1,no,Insulin,24.242424242424242,0.1407891464022746,0.03183437901012236,0.16284290213669222,0.07370486376015674,0.03435367612422013,0.06305160540926055
C1,no,Insulin,24.747474747474747,0.14078914665454872,0.03183437906065631,0.16284290223296455,0.07370486399016163,0.03435367614063647,0.06305160549470822
C1,no,Insulin,25.252525252525253,0.14078914687018773,0.03183437910388725,0.1628429023156882,0.07370486418673239,0.03435367615503535,0.06305160556761605
C1,no,Insulin,25.757575757575758,0.14078914690906016,0.03183437911188073,0.16284290233303875,0.07370486422198148,0.03435367615969986,0.06305160558001834
C1,no,Insulin,26.262626262626263,0.14078914694793257,0.03183437911987422,0.1628429023503893,0.07370486425723057,0.03435367616436436,0.06305160559242062
C1,no,Insulin,26.767676767676768,0.140789146986805,0.0318343791278677,0.16284290236773988,0.07370486429247965,0.03435367616902887,0.06305160560482292
C1,no,Insulin,27.272727272727273,0.14078914702567744,0.031834379135861186,0.16284290238509042,0.07370486432772874,0.03435367617369337,0.06305160561722521
C1,no,Insulin,27.77777777777778,0.14078914706454984,0.031834379143854674,0.16284290240244098,0.07370486436297782,0.03435367617835788,0.0630516056296275
C1,no,Insulin,28.282828282828284,0.14078914710342227,0.031834379151848155,0.16284290241979152,0.0737048643982269,0.03435367618302238,0.0630516056420298
C1,no,Insulin,28.78787878787879,0.1407891471422947,0.03183437915984164,0.16284290243714208,0.073704864433476,0.034353676187686887,0.06305160565443209
C1,no,Insulin,29.292929292929294,0.1407891471811671,0.031834379167835124,0.16284290245449265,0.07370486446872508,0.03435367619235139,0.06305160566683439
C1,no,Insulin,29.7979797979798,0.14078914722003955,0.03183437917582861,0.1628429024718432,0.07370486450397416,0.034353676197015896,0.06305160567923668
C1,no,Insulin,30.303030303030305,0.14078914725891198,0.0318343791838221,0.16284290248919375,0.07370486453922326,0.0343536762016804,0.06305160569163897
C1,no,Insulin,30.80808080808081,0.14078914729778438,0.03183437919181558,0.1628429025065443,0.07370486457447234,0.034353676206344906,0.06305160570404127
C1,no,Insulin,31.313131313131315,0.14078914733665682,0.03183437919980907,0.16284290252389486,0.07370486460972142,0.03435367621100941,0.06305160571644355
C1,no,Insulin,31.81818181818182,0.14078914734822276,0.03183437920220229,0.16284290252914296,0.07370486462019553,0.034353676212503625,0.06305160572009277
C1,no,Insulin,32.323232323232325,0.140789147354165,0.031834379203442155,0.16284290253189856,0.07370486462556726,0.034353676213344925,0.0630516057219393
C1,no,Insulin,32.82828282828283,0.14078914736010723,0.03183437920468202,0.16284290253465417,0.07370486463093899,0.034353676214186224,0.06305160572378583
C1,no,Insulin,33.333333333333336,0.14078914736604944,0.03183437920592188,0.16284290253740977,0.07370486463631072,0.034353676215027516,0.06305160572563236
C1,no,Insulin,33.83838383838384,0.1407891473719917,0.03183437920716174,0.16284290254016537,0.07370486464168245,0.034353676215868816,0.0630516057274789
C1,no,Insulin,34.343434343434346,0.1407891473779339,0.031834379208401604,0.16284290254292097,0.07370486464705418,0.034353676216710115,0.06305160572932542
C1,no,Insulin,34.84848484848485,0.14078914738387616,0.03183437920964147,0.16284290254567657,0.07370486465242593,0.034353676217551414,0.06305160573117195
C1,no,Insulin,35.35353535353536,0.14078914738981838,0.03183437921088133,0.16284290254843217,0.07370486465779766,0.03435367621839271,0.06305160573301848
C1,no,Insulin,35.85858585858586,0.1407891473957606,0.03183437921212119,0.16284290255118775,0.07370486466316939,0.03435367621923401,0.063051605734865
C1,no,Insulin,36.36363636363637,0.14078914740170284,0.03183437921336105,0.16284290255394335,0.07370486466854112,0.03435367622007531,0.06305160573671154
C1,no,Insulin,36.86868686868687,0.14078914740764506,0.03183437921460091,0.16284290255669895,0.07370486467391285,0.03435367622091661,0.06305160573855806
C1,no,Insulin,37.37373737373738,0.1407891474135873,0.03183437921584077,0.16284290255945455,0.07370486467928458,0.0343536762217579,0.0630516057404046
C1,no,Insulin,37.87878787878788,0.14078914741670362,0.03183437921649112,0.16284290256089998,0.0737048646821016,0.0343536762221997,0.06305160574137274
C1,no,Insulin,38.38383838383839,0.14078914741684054,0.03183437921651991,0.16284290256096398,0.07370486468222509,0.0343536762222203,0.0630516057414148
C1,no,Insulin,38.88888888888889,0.14078914741697743,0.0318343792165487,0.162842902561028,0.07370486468234859,0.034353676222240885,0.06305160574145686
C1,no,Insulin,39.3939393939394,0.14078914741711435,0.03183437921657749,0.16284290256109202,0.07370486468247207,0.03435367622226147,0.06305160574149893
C1,no,Insulin,39.8989898989899,0.14078914741725124,0.03183437921660627,0.16284290256115605,0.07370486468259556,0.03435367622228207,0.06305160574154098
C1,no,Insulin,40.40404040404041,0.14078914741738813,0.03183437921663506,0.16284290256122008,0.07370486468271904,0.034353676222302655,0.06305160574158304
C1,no,Insulin,40.909090909090914,0.14078914741752505,0.03183437921666385,0.1628429025612841,0.07370486468284254,0.03435367622232325,0.0630516057416251
C1,no,Insulin,41.41414141414142,0.14078914741766194,0.03183437921669264,0.16284290256134812,0.07370486468296603,0.03435367622234384,0.06305160574166715
C1,no,Insulin,41.919191919191924,0.14078914741779885,0.03183437921672143,0.16284290256141212,0.07370486468308951,0.03435367622236443,0.06305160574170922
C1,no,Insulin,42.42424242424243,0.14078914741793574,0.03183437921675022,0.16284290256147615,0.073704864683213,0.03435367622238502,0.06305160574175128
C1,no,Insulin,42.929292929292934,0.14078914741807266,0.03183437921677901,0.16284290256154016,0.0737048646833365,0.03435367622240561,0.06305160574179333
C1,no,Insulin,43.43434343434344,0.14078914741820955,0.0318343792168078,0.1628429025616042,0.07370486468345998,0.0343536762224262,0.0630516057418354
C1,no,Insulin,43.939393939393945,0.14078914741834647,0.031834379216836586,0.16284290256166822,0.07370486468358346,0.03435367622244679,0.06305160574187746
C1,no,Insulin,44.44444444444445,0.14078914741848336,0.031834379216865376,0.16284290256173223,0.07370486468370695,0.034353676222467384,0.06305160574191952
C1,no,Insulin,44.949494949494955,0.14078914741862025,0.031834379216894165,0.16284290256179626,0.07370486468383043,0.03435367622248797,0.06305160574196157
C1,no,Insulin,45.45454545454546,0.14078914741875717,0.03183437921692295,0.16284290256186026,0.07370486468395393,0.03435367622250857,0.06305160574200364
C1,no,Insulin,45.959595959595966,0.14078914741889406,0.03183437921695174,0.1628429025619243,0.07370486468407741,0.034353676222529154,0.0630516057420457
C1,no,Insulin,46.46464646464647,0.14078914741903098,0.03183437921698053,0.16284290256198833,0.0737048646842009,0.03435367622254974,0.06305160574208775
C1,no,Insulin,46.969696969696976,0.14078914741916787,0.031834379217009316,0.16284290256205233,0.07370486468432438,0.03435367622257034,0.06305160574212981
C1,no,Insulin,47.47474747474748,0.1407891474193048,0.031834379217038106,0.16284290256211637,0.07370486468444788,0.034353676222590925,0.06305160574217188
C1,no,Insulin,47.979797979797986,0.14078914741944168,0.031834379217066895,0.16284290256218037,0.07370486468457137,0.03435367622261152,0.06305160574221394
C1,no,Insulin,48.484848484848484,0.14078914741957857,0.031834379217095685,0.1628429025622444,0.07370486468469485,0.03435367622263211,0.06305160574225599
C1,no,Insulin,48.98989898989899,0.1407891474197155,0.031834379217124474,0.16284290256230843,0.07370486468481834,0.0343536762226527,0.06305160574229805
C1,no,Insulin,49.494949494949495,0.14078914741985238,0.031834379217153264,0.16284290256237244,0.07370486468494183,0.03435367622267329,0.06305160574234012
C1,no,Insulin,50.0,0.1407891474199893,0.03183437921718205,0.16284290256243647,0.07370486468506532,0.03435367622269388,0.06305160574238217
