NON $ % + - .
#NON	a	c	e	b	d
28.282828282828284	0.11384458797481614	0.10828086232541007	0.012605829534519782	0.040402699574336655	0.08586344008804783
28.78787878787879	0.11384458798726725	0.1082808623371253	0.012605829546661862	0.04040269959394038	0.08586344010059634
29.292929292929294	0.11384458799646006	0.10828086234577482	0.012605829555627827	0.04040269960841577	0.0858634401098611
29.7979797979798	0.11384458799680663	0.1082808623461009	0.012605829555970649	0.04040269960896774	0.08586344011021058
30.303030303030305	0.11384458799715319	0.108280862346427	0.012605829556313472	0.040402699609519706	0.08586344011056006
30.80808080808081	0.11384458799749976	0.10828086234675309	0.012605829556656293	0.040402699610071674	0.08586344011090953
31.313131313131315	0.11384458799784632	0.10828086234707919	0.012605829556999114	0.04040269961062364	0.085863440111259
31.81818181818182	0.11384458799819289	0.10828086234740529	0.012605829557341935	0.04040269961117561	0.08586344011160849
32.323232323232325	0.11384458799853944	0.10828086234773138	0.012605829557684758	0.04040269961172758	0.08586344011195796
32.82828282828283	0.11384458799888601	0.10828086234805748	0.01260582955802758	0.04040269961227955	0.08586344011230744
33.333333333333336	0.11384458799923257	0.10828086234838358	0.012605829558370401	0.040402699612831515	0.08586344011265691
33.83838383838384	0.11384458799957914	0.10828086234870966	0.012605829558713222	0.04040269961338348	0.0858634401130064
34.343434343434346	0.1138445879999257	0.10828086234903576	0.012605829559056043	0.04040269961393545	0.08586344011335587
34.84848484848485	0.11384458800027226	0.10828086234936186	0.012605829559398866	0.04040269961448742	0.08586344011370535
35.35353535353536	0.11384458800061882	0.10828086234968795	0.012605829559741688	0.04040269961503939	0.08586344011405482
35.85858585858586	0.11384458800096539	0.10828086235001405	0.012605829560084509	0.040402699615591356	0.08586344011440429
36.36363636363637	0.11384458800131195	0.10828086235034014	0.01260582956042733	0.040402699616143324	0.08586344011475378
36.86868686868687	0.11384458800165852	0.10828086235066624	0.012605829560770153	0.04040269961669529	0.08586344011510325
37.37373737373738	0.11384458800200507	0.10828086235099234	0.012605829561112974	0.04040269961724726	0.08586344011545273
37.87878787878788	0.11384458800235164	0.10828086235131842	0.012605829561455796	0.04040269961779923	0.0858634401158022
38.38383838383839	0.1138445880026982	0.10828086235164452	0.012605829561798617	0.0404026996183512	0.08586344011615168
38.88888888888889	0.11384458800304477	0.10828086235197062	0.01260582956214144	0.040402699618903165	0.08586344011650116
39.3939393939394	0.11384458800339133	0.10828086235229671	0.012605829562484261	0.04040269961945513	0.08586344011685064
39.8989898989899	0.1138445880037379	0.10828086235262281	0.012605829562827083	0.0404026996200071	0.08586344011720011
40.40404040404041	0.11384458800408445	0.10828086235294891	0.012605829563169904	0.04040269962055907	0.08586344011754958
40.909090909090914	0.11384458800443102	0.108280862353275	0.012605829563512727	0.04040269962111104	0.08586344011789906
41.41414141414142	0.11384458800477758	0.1082808623536011	0.012605829563855548	0.040402699621663006	0.08586344011824854
41.919191919191924	0.11384458800512415	0.10828086235392718	0.01260582956419837	0.040402699622214974	0.08586344011859802
42.42424242424243	0.1138445880054707	0.10828086235425328	0.01260582956454119	0.040402699622766935	0.08586344011894749
42.929292929292934	0.11384458800581727	0.10828086235457939	0.012605829564884014	0.040402699623318904	0.08586344011929697
43.43434343434344	0.11384458800616383	0.10828086235490547	0.012605829565226835	0.04040269962387087	0.08586344011964644
43.939393939393945	0.1138445880065104	0.10828086235523157	0.012605829565569656	0.04040269962442284	0.08586344011999592
44.44444444444445	0.11384458800685696	0.10828086235555767	0.012605829565912477	0.04040269962497481	0.0858634401203454
44.949494949494955	0.11384458800720353	0.10828086235588376	0.0126058295662553	0.040402699625526776	0.08586344012069487
45.45454545454546	0.11384458800755008	0.10828086235620986	0.012605829566598122	0.040402699626078745	0.08586344012104435
45.959595959595966	0.11384458800789665	0.10828086235653596	0.012605829566940943	0.04040269962663071	0.08586344012139382
46.46464646464647	0.11384458800824321	0.10828086235686205	0.012605829567283764	0.04040269962718268	0.08586344012174331
46.969696969696976	0.11384458800858978	0.10828086235718815	0.012605829567626585	0.04040269962773465	0.08586344012209278
47.47474747474748	0.11384458800893633	0.10828086235751425	0.012605829567969408	0.04040269962828662	0.08586344012244226
47.979797979797986	0.1138445880092829	0.10828086235784033	0.01260582956831223	0.040402699628838586	0.08586344012279173
48.484848484848484	0.11384458800962946	0.10828086235816643	0.01260582956865505	0.040402699629390554	0.0858634401231412
48.98989898989899	0.11384458800997603	0.10828086235849252	0.012605829568997872	0.04040269962994252	0.08586344012349069
49.494949494949495	0.11384458801032259	0.10828086235881862	0.012605829569340695	0.04040269963049449	0.08586344012384016
50.0	0.11384458801066916	0.10828086235914472	0.012605829569683516	0.04040269963104646	0.08586344012418964
