NON $ % + - .
#NON	a	d	b	c	e
26.262626262626263	0.13162073451616435	0.159362079382154	0.11757955964528996	0.17446471971695526	0.14802250800075684
26.767676767676768	0.13162073451625847	0.15936207938218974	0.11757955964531885	0.17446471972639144	0.14802250800066685
27.272727272727273	0.13162073451625933	0.1593620793821902	0.1175795596453192	0.17446471972666946	0.1480225080006662
27.77777777777778	0.1316207345162602	0.15936207938219066	0.11757955964531955	0.1744647197269475	0.14802250800066552
28.282828282828284	0.13162073451626105	0.15936207938219113	0.1175795596453199	0.17446471972722555	0.14802250800066485
28.78787878787879	0.1316207345162619	0.15936207938219157	0.11757955964532024	0.17446471972750358	0.1480225080006642
29.292929292929294	0.1316207345162628	0.15936207938219202	0.11757955964532059	0.1744647197277816	0.14802250800066352
29.7979797979798	0.13162073451626366	0.1593620793821925	0.11757955964532094	0.17446471972805963	0.14802250800066286
30.303030303030305	0.13162073451626452	0.15936207938219293	0.11757955964532127	0.17446471972833766	0.14802250800066222
30.80808080808081	0.13162073451626538	0.1593620793821934	0.11757955964532162	0.17446471972861569	0.14802250800066155
31.313131313131315	0.13162073451626624	0.15936207938219385	0.11757955964532196	0.17446471972889374	0.14802250800066089
31.81818181818182	0.13162073451626713	0.15936207938219432	0.11757955964532231	0.17446471972917177	0.14802250800066022
32.323232323232325	0.131620734516268	0.15936207938219477	0.11757955964532266	0.1744647197294498	0.14802250800065955
32.82828282828283	0.13162073451626885	0.15936207938219524	0.117579559645323	0.17446471972972782	0.1480225080006589
33.333333333333336	0.1316207345162697	0.15936207938219568	0.11757955964532335	0.17446471973000585	0.14802250800065822
33.83838383838384	0.13162073451627057	0.15936207938219615	0.1175795596453237	0.1744647197302839	0.14802250800065755
34.343434343434346	0.13162073451627146	0.1593620793821966	0.11757955964532404	0.17446471973056193	0.1480225080006569
34.84848484848485	0.13162073451627232	0.15936207938219707	0.11757955964532439	0.17446471973083996	0.14802250800065622
35.35353535353536	0.13162073451627318	0.1593620793821975	0.11757955964532474	0.174464719731118	0.14802250800065556
35.85858585858586	0.13162073451627404	0.15936207938219799	0.11757955964532509	0.17446471973139602	0.1480225080006549
36.36363636363637	0.1316207345162749	0.15936207938219843	0.11757955964532542	0.17446471973167405	0.14802250800065422
36.86868686868687	0.13162073451627576	0.1593620793821989	0.11757955964532577	0.1744647197319521	0.14802250800065356
37.37373737373738	0.13162073451627665	0.15936207938219935	0.11757955964532611	0.17446471973223013	0.1480225080006529
37.87878787878788	0.1316207345162775	0.15936207938219982	0.11757955964532646	0.17446471973250816	0.14802250800065223
38.38383838383839	0.13162073451627837	0.15936207938220026	0.1175795596453268	0.17446471973278618	0.14802250800065156
38.88888888888889	0.13162073451627923	0.15936207938220073	0.11757955964532715	0.1744647197330642	0.1480225080006509
39.3939393939394	0.1316207345162801	0.15936207938220118	0.1175795596453275	0.17446471973334224	0.14802250800065023
39.8989898989899	0.13162073451628098	0.15936207938220165	0.11757955964532785	0.1744647197336203	0.14802250800064956
40.40404040404041	0.13162073451628184	0.1593620793822021	0.1175795596453282	0.17446471973389832	0.1480225080006489
40.909090909090914	0.1316207345162827	0.15936207938220254	0.11757955964532854	0.17446471973417635	0.14802250800064823
41.41414141414142	0.13162073451628356	0.159362079382203	0.11757955964532889	0.17446471973445438	0.14802250800064756
41.919191919191924	0.13162073451628442	0.15936207938220345	0.11757955964532922	0.1744647197347324	0.1480225080006469
42.42424242424243	0.1316207345162853	0.15936207938220392	0.11757955964532957	0.17446471973501046	0.14802250800064626
42.929292929292934	0.13162073451628617	0.15936207938220437	0.11757955964532991	0.1744647197352885	0.1480225080006456
43.43434343434344	0.13162073451628703	0.15936207938220484	0.11757955964533026	0.17446471973556651	0.14802250800064493
43.939393939393945	0.1316207345162879	0.15936207938220529	0.11757955964533061	0.17446471973584454	0.14802250800064426
44.44444444444445	0.13162073451628875	0.15936207938220576	0.11757955964533096	0.17446471973612257	0.1480225080006436
44.949494949494955	0.13162073451628964	0.1593620793822062	0.1175795596453313	0.1744647197364006	0.14802250800064293
45.45454545454546	0.1316207345162905	0.15936207938220667	0.11757955964533165	0.17446471973667865	0.14802250800064226
45.959595959595966	0.13162073451629136	0.15936207938220712	0.117579559645332	0.17446471973695668	0.1480225080006416
46.46464646464647	0.13162073451629222	0.1593620793822076	0.11757955964533234	0.1744647197372347	0.14802250800064093
46.969696969696976	0.13162073451629308	0.15936207938220803	0.11757955964533269	0.17446471973751274	0.14802250800064026
47.47474747474748	0.13162073451629394	0.1593620793822085	0.11757955964533304	0.17446471973779076	0.1480225080006396
47.979797979797986	0.13162073451629483	0.15936207938220895	0.11757955964533337	0.1744647197380688	0.14802250800063893
48.484848484848484	0.1316207345162957	0.15936207938220942	0.11757955964533372	0.17446471973834685	0.14802250800063826
48.98989898989899	0.13162073451629655	0.15936207938220986	0.11757955964533406	0.17446471973862487	0.1480225080006376
49.494949494949495	0.1316207345162974	0.15936207938221034	0.11757955964533441	0.1744647197389029	0.14802250800063693
50.0	0.13162073451629827	0.15936207938221078	0.11757955964533476	0.17446471973918093	0.14802250800063627
