NON $ % + -
#NON	a	c	b	d
28.282828282828284	0.14046935436984725	0.161817733194082	0.12389318833361161	0.20850839302876797
28.78787878787879	0.14046935441256023	0.1618177330585174	0.12389318819457792	0.20850839310602828
29.292929292929294	0.14046935443023773	0.16181773299133448	0.12389318812564933	0.20850839315594064
29.7979797979798	0.1404693544228797	0.16181773299253324	0.12389318812682583	0.20850839317850503
30.303030303030305	0.14046935439048616	0.16181773306211367	0.12389318819810742	0.20850839317372147
30.80808080808081	0.14046935436432761	0.16181773311844808	0.1238931882558173	0.20850839317025308
31.313131313131315	0.14046935437666994	0.1618177330773106	0.12389318821361518	0.20850839319767528
31.81818181818182	0.14046935438310265	0.16181773305462893	0.12389318819033902	0.20850839321528075
32.323232323232325	0.14046935438362582	0.16181773305040315	0.12389318818598882	0.20850839322306944
32.82828282828283	0.1404693543782394	0.16181773306463318	0.12389318820056458	0.20850839322104134
33.333333333333336	0.1404693543669434	0.16181773309731906	0.1238931882340663	0.20850839320919648
33.83838383838384	0.14046935434973784	0.1618177331484608	0.12389318828649397	0.20850839318753484
34.343434343434346	0.1404693543266227	0.1618177332180584	0.1238931883578476	0.2085083931560564
34.84848484848485	0.1404693543075714	0.16181773326948193	0.12389318841052088	0.20850839315391972
35.35353535353536	0.14046935429939567	0.16181773329463395	0.1238931884363143	0.20850839313814806
35.85858585858586	0.14046935429121996	0.16181773331978594	0.12389318846210773	0.20850839312237637
36.36363636363637	0.14046935428304425	0.16181773334493793	0.12389318848790117	0.2085083931066047
36.86868686868687	0.14046935427486854	0.16181773337008992	0.12389318851369459	0.20850839309083302
37.37373737373738	0.1404693542666928	0.16181773339524194	0.12389318853948801	0.20850839307506136
37.87878787878788	0.1404693542585171	0.16181773342039393	0.12389318856528143	0.2085083930592897
38.38383838383839	0.14046935425034138	0.16181773344554592	0.12389318859107486	0.208508393043518
38.88888888888889	0.14046935424286372	0.1618177334685397	0.123893188614655	0.2085083930290977
39.3939393939394	0.14046935424255988	0.1618177334693542	0.12389318861549022	0.20850839302856464
39.8989898989899	0.140469354242256	0.16181773347016873	0.12389318861632545	0.2085083930280316
40.40404040404041	0.14046935424195214	0.16181773347098324	0.12389318861716068	0.20850839302749852
40.909090909090914	0.14046935424164828	0.16181773347179776	0.12389318861799592	0.20850839302696547
41.41414141414142	0.14046935424134444	0.16181773347261227	0.12389318861883114	0.2085083930264324
41.919191919191924	0.14046935424104057	0.16181773347342682	0.12389318861966638	0.20850839302589935
42.42424242424243	0.1404693542407367	0.16181773347424133	0.12389318862050161	0.20850839302536628
42.929292929292934	0.14046935424043283	0.16181773347505585	0.12389318862133684	0.20850839302483323
43.43434343434344	0.140469354240129	0.16181773347587036	0.12389318862217207	0.20850839302430016
43.939393939393945	0.14046935423982512	0.16181773347668488	0.1238931886230073	0.2085083930237671
44.44444444444445	0.14046935423952125	0.1618177334774994	0.12389318862384253	0.20850839302323404
44.949494949494955	0.1404693542392174	0.1618177334783139	0.12389318862467776	0.208508393022701
45.45454545454546	0.14046935423891355	0.16181773347912842	0.12389318862551299	0.20850839302216792
45.959595959595966	0.14046935423860968	0.16181773347994294	0.12389318862634822	0.20850839302163487
46.46464646464647	0.1404693542383058	0.16181773348075748	0.12389318862718346	0.2085083930211018
46.969696969696976	0.14046935423800194	0.161817733481572	0.12389318862801868	0.20850839302056876
47.47474747474748	0.1404693542376981	0.1618177334823865	0.12389318862885391	0.20850839302003568
47.979797979797986	0.14046935423739423	0.16181773348320103	0.12389318862968915	0.20850839301950264
48.484848484848484	0.14046935423709037	0.16181773348401554	0.12389318863052438	0.2085083930189696
48.98989898989899	0.1404693542367865	0.16181773348483006	0.1238931886313596	0.20850839301843652
49.494949494949495	0.14046935423648266	0.16181773348564457	0.12389318863219484	0.20850839301790347
50.0	0.1404693542361788	0.1618177334864591	0.12389318863303007	0.2085083930173704
