,,,Slide ID,G7,G11,G10,G2,G3,G8,G1,G9,G6,G5,G4
,,,Antibody Name,G7,G11,G10,G2,G3,G8,G1,G9,G6,G5,G4
,,,HUGO ID,G7,G11,G10,G2,G3,G8,G1,G9,G6,G5,G4
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,4.040404040404041,0.0064949036703209305,0.2340200650408598,0.4712862105460687,0.3939946070456602,0.2878590463017523,0.02749486573450032,0.3283640820969921,0.028109622100457685,0.02007681838880071,0.14872386757394124,0.007878880286048367
C1,no,Insulin,4.545454545454546,0.005576383055216593,0.22686751575128195,0.4653034655451504,0.3908351860228228,0.2787765454383533,0.023493843895621872,0.32831706540418204,0.025317233437843367,0.017911344277983993,0.14996479030978815,0.006573884786866565
C1,no,Insulin,5.050505050505051,0.004990929480103802,0.22207416968640153,0.4610556629973265,0.3885613849191545,0.27246863668299537,0.02078660659604407,0.32829855993971374,0.02343569535092567,0.01647391579459021,0.1509276264850626,0.005766379458742961
C1,no,Insulin,5.555555555555556,0.004609296267242189,0.21885069808539784,0.4580743541486889,0.3869468597115946,0.26810317315101784,0.018957377486158417,0.32829127612709447,0.022161823987201658,0.015508785720285637,0.15164300971242792,0.005251560510314476
C1,no,Insulin,6.0606060606060606,0.0043565656993535574,0.21667772696847154,0.4559985679883485,0.3858113544565541,0.2650886766406349,0.017720694796074493,0.3282884091425146,0.02129596119208464,0.014855886103087877,0.15216081684913138,0.004916033465753562
C1,no,Insulin,6.565656565656566,0.004187317638260688,0.2152104784356533,0.4545612517788975,0.38501813251605077,0.26301003996729855,0.016883259639481448,0.32828728065519935,0.02070559439727765,0.01441197450666918,0.15252941377219548,0.004693848839189569
C1,no,Insulin,7.070707070707071,0.004073076458345255,0.21421863109762168,0.45356984342897333,0.3844666611634392,0.26157807522440535,0.01631501116712519,0.32828683658653135,0.02030211701999083,0.014109116559511338,0.15278892472801628,0.004545042051248856
C1,no,Insulin,7.575757575757576,0.0039955349495736136,0.213547640564908,0.4528878330911275,0.384084556930242,0.26059224801813474,0.015928603424660202,0.32828666187675576,0.020025893554911862,0.013902007059796337,0.15297028213830274,0.004444581563268986
C1,no,Insulin,8.080808080808081,0.003942696846778267,0.21309346849585037,0.4524195248579381,0.38382043001139265,0.2599138652762297,0.015665318856816907,0.3282865929517994,0.01983655562632489,0.013760144036132002,0.15309638158443595,0.004376378348446448
C1,no,Insulin,8.585858585858587,0.003906592408734583,0.2127859405723774,0.45209835519698666,0.3836381567057711,0.2594471535166766,0.01548560308777679,0.32828656587903216,0.01970664495966397,0.01366285762360235,0.15318375621772487,0.004329893933234798
C1,no,Insulin,9.090909090909092,0.0038818754756148608,0.2125776575570678,0.45187828222222787,0.3835125136940899,0.2591261388157347,0.015362746111809858,0.32828655523381045,0.019617456794603125,0.013596089499660815,0.15324415355298965,0.00429812652554081
