,,,Slide ID,G11,G9,G1,G3,G6,G2,G12,G7,G10,G4,G8,G5
,,,Antibody Name,G11,G9,G1,G3,G6,G2,G12,G7,G10,G4,G8,G5
,,,HUGO ID,G11,G9,G1,G3,G6,G2,G12,G7,G10,G4,G8,G5
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,10.101010101010102,0.30320157501064443,0.321368219587985,0.32072635485684503,0.7591757400993681,0.6977598330604493,0.1784207397915199,0.31596674457073487,0.6468031588265523,0.419122271787304,0.6378708104775329,0.6906873497616548,0.619379412856545
C1,no,Insulin,10.606060606060607,0.30320157697641537,0.3213682216466184,0.32072635424129525,0.7591779906881615,0.6977598315002437,0.17842034052151237,0.3159667533549428,0.6468031569902647,0.41912217915484845,0.6378708104652282,0.6906873471375128,0.6193794120860925
C1,no,Insulin,11.111111111111112,0.303201577448847,0.3213682217315352,0.32072635388320453,0.7591792342640185,0.6977598315190758,0.1784201243495688,0.31596675780976835,0.6468031567147952,0.4191221297514859,0.637870810467992,0.6906873466126349,0.6193794120100397
C1,no,Insulin,11.616161616161618,0.30320157764388317,0.32136822169462453,0.32072635369102387,0.7591799222198203,0.6977598316022676,0.17842000716285386,0.3159667601518572,0.6468031566882664,0.419122103404084,0.637870810468522,0.6906873464689358,0.6193794120026638
C1,no,Insulin,12.121212121212121,0.30320157777506873,0.32136822173247254,0.32072635359465973,0.75918030419223,0.6977598316020899,0.17841994340171533,0.31596676141262336,0.6468031566723441,0.4191220893094669,0.6378708104685905,0.6906873463767819,0.6193794119871912
C1,no,Insulin,12.626262626262626,0.3032015778258436,0.32136822171486895,0.3207263535502285,0.7591805127517444,0.697759831635349,0.17841990938845884,0.3159667620714741,0.6468031566930478,0.41912208193339334,0.6378708104686072,0.6906873463659707,0.6193794119915823
C1,no,Insulin,13.131313131313131,0.30320157784840024,0.32136822169711476,0.3207263535324644,0.759180624421865,0.6977598316609048,0.1784198916269116,0.3159667624123926,0.6468031567133699,0.41912207816224273,0.6378708104685891,0.690687346373087,0.6193794119972372
C1,no,Insulin,13.636363636363637,0.3032015778789726,0.32136822171954743,0.3207263535266264,0.759180687389922,0.6977598316487389,0.17841988174188494,0.3159667626105549,0.6468031567056896,0.41912207608649016,0.6378708104685925,0.6906873463509617,0.619379411991238
C1,no,Insulin,14.141414141414142,0.3032015779257561,0.32136822178681346,0.3207263535257771,0.7591807237469924,0.6977598315969986,0.1784198760721009,0.3159667627348418,0.6468031566687219,0.4191220749040917,0.6378708104686392,0.6906873462910692,0.6193794119724961
C1,no,Insulin,14.646464646464647,0.3032015779720242,0.32136822186390335,0.3207263535261004,0.7591807443938129,0.6977598315357078,0.178419872893486,0.3159667628098088,0.6468031566270225,0.4191220742507609,0.6378708104686873,0.6906873462241336,0.6193794119513856
C1,no,Insulin,15.151515151515152,0.3032015779926662,0.321368221899165,0.3207263535261871,0.7591807559539492,0.6977598315080739,0.17841987114744548,0.31596676284911385,0.6468031566111414,0.4191220738974759,0.6378708104686884,0.6906873461949062,0.6193794119421593
C1,no,Insulin,15.656565656565657,0.3032015779749088,0.3213682218622565,0.32072635352620915,0.7591807624478644,0.69775983153943,0.17841987018346606,0.315966762863462,0.6468031566341962,0.4191220737013667,0.6378708104686533,0.6906873462266707,0.6193794119526068
C1,no,Insulin,16.161616161616163,0.3032015779304287,0.32136822177135377,0.3207263535264383,0.759180766121311,0.6977598316149676,0.17841986964510417,0.3159667628630656,0.6468031566817389,0.41912207358788195,0.6378708104686398,0.6906873463003168,0.6193794119773873
C1,no,Insulin,16.666666666666668,0.30320157789054386,0.32136822168767215,0.32072635352676304,0.7591807682000146,0.6977598316843197,0.1784198693442483,0.3159667628590482,0.646803156720999,0.4191220735226743,0.6378708104686793,0.6906873463640265,0.6193794119999408
C1,no,Insulin,17.171717171717173,0.3032015778643098,0.32136822163264395,0.32072635352705814,0.7591807698416161,0.6977598317299533,0.1784198691073374,0.3159667628572704,0.6468031567472734,0.4191220734722143,0.6378708104686983,0.6906873464066134,0.6193794120147701
C1,no,Insulin,17.67676767676768,0.30320157785398144,0.3213682216109237,0.3207263535273125,0.7591807710847285,0.6977598317480329,0.17841986892856246,0.31596676285840164,0.6468031567583907,0.4191220734356625,0.637870810468695,0.6906873464244369,0.6193794120206325
C1,no,Insulin,18.181818181818183,0.3032015778663883,0.3213682216355834,0.32072635352751977,0.7591807717235295,0.6977598317277462,0.17841986883861263,0.31596676286343567,0.6468031567463346,0.419122073420144,0.6378708104686897,0.6906873464052665,0.6193794120139565
C1,no,Insulin,18.68686868686869,0.30320157790153035,0.32136822170662294,0.3207263535276799,0.7591807717580193,0.6977598316690932,0.1784198688374879,0.3159667628723724,0.646803156711105,0.4191220734256588,0.6378708104686821,0.6906873463491022,0.6193794119947422
C1,no,Insulin,19.191919191919194,0.3032015779217786,0.3213682217474917,0.3207263535277956,0.7591807718595734,0.6977598316353615,0.17841986882546257,0.31596676287776,0.6468031566908417,0.41912207342666397,0.6378708104686778,0.6906873463167986,0.6193794119836891
