,,,Slide ID,c,b,a,d
,,,Antibody Name,c,b,a,d
,,,HUGO ID,c,b,a,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,19.191919191919194,7.391919452495048e-05,3.1865219402586516e-08,2.1977611032042712e-08,1.597639514488023e-08
C1,no,Insulin,19.6969696969697,6.382449555585605e-05,2.461972152976516e-08,1.6587301898557698e-08,1.2131352890037736e-08
C1,no,Insulin,20.202020202020204,5.5328730766651485e-05,1.9151096881254033e-08,1.2611285590692274e-08,9.277478376413988e-09
C1,no,Insulin,20.70707070707071,4.8167722387391674e-05,1.500019644316393e-08,9.657895272830532e-09,7.145383581500079e-09
C1,no,Insulin,21.212121212121215,4.210533641915666e-05,1.183667260695821e-08,7.457574218485695e-09,5.547428892188591e-09
C1,no,Insulin,21.71717171717172,3.69522012059792e-05,9.408906820895517e-09,5.805950829432197e-09,4.3410296944818965e-09
C1,no,Insulin,22.222222222222225,3.255272448505836e-05,7.529601544206159e-09,4.5540925446050275e-09,3.421666591897844e-09
C1,no,Insulin,22.72727272727273,2.8779244876140727e-05,6.063552085392477e-09,3.5969540729593456e-09,2.715154695761987e-09
C1,no,Insulin,23.232323232323235,2.5535563263491417e-05,4.9137555610867506e-09,2.8605953653623665e-09,2.168976197014703e-09
C1,no,Insulin,23.73737373737374,2.274878205812149e-05,4.00691887161123e-09,2.289622844753388e-09,1.7436679084964957e-09
C1,no,Insulin,24.242424242424242,2.0335743854074634e-05,3.286113946290712e-09,1.8437472971895316e-09,1.4101088934287387e-09
C1,no,Insulin,24.747474747474747,1.8227234584579152e-05,2.709325936707292e-09,1.494105532504144e-09,1.1472684656186308e-09
C1,no,Insulin,25.252525252525253,1.6379765072853547e-05,2.2457065333797886e-09,1.218628394244939e-09,9.39177035885672e-10
C1,no,Insulin,25.757575757575758,1.4764987234581117e-05,1.872196973115611e-09,1.0003059597379583e-09,7.73592150818174e-10
C1,no,Insulin,26.262626262626263,1.3355311544484023e-05,1.5702749731686764e-09,8.261822543245068e-10,6.410967913611274e-10
C1,no,Insulin,26.767676767676768,1.212561042757941e-05,1.3272966990100817e-09,6.88365818419002e-10,5.358127258545451e-10
C1,no,Insulin,27.272727272727273,1.1050913568510439e-05,1.1292795365877278e-09,5.777110343322962e-10,4.509951108403964e-10
C1,no,Insulin,27.77777777777778,1.0106309751342637e-05,9.673127521219884e-10,4.885458084624483e-10,3.8242272829141395e-10
C1,no,Insulin,28.282828282828284,9.267566782180306e-06,8.33036804819212e-10,4.1565631506284775e-10,3.261960599576586e-10
C1,no,Insulin,28.78787878787879,8.522961502345967e-06,7.194492912699758e-10,3.5448453188731195e-10,2.7893600866665033e-10
C1,no,Insulin,29.292929292929294,7.867726505523424e-06,6.239210419364376e-10,3.0341781997388056e-10,2.394157358050151e-10
C1,no,Insulin,29.7979797979798,7.280300325248748e-06,5.431895238523314e-10,2.607785531750719e-10,2.0632889112259363e-10
C1,no,Insulin,30.303030303030305,6.748771989336633e-06,4.744272174008171e-10,2.2495256881085242e-10,1.784448598122938e-10
C1,no,Insulin,30.80808080808081,6.262830953367177e-06,4.1579846879245714e-10,1.949652036587153e-10,1.550108194671458e-10
C1,no,Insulin,31.313131313131315,5.822679253970712e-06,3.6598133062224583e-10,1.6986275958163305e-10,1.35330020936744e-10
C1,no,Insulin,31.81818181818182,5.425101215906496e-06,3.2354581140864715e-10,1.4872980022250967e-10,1.1871841930376694e-10
C1,no,Insulin,32.323232323232325,5.069538231034412e-06,2.8742172733304566e-10,1.3082606605552144e-10,1.0462967268093747e-10
C1,no,Insulin,32.82828282828283,4.750635151236257e-06,2.5655160925551015e-10,1.1561762095860976e-10,9.264620140860373e-11
C1,no,Insulin,33.333333333333336,4.46338090992293e-06,2.2995428487846983e-10,1.0260107125227607e-10,8.237627739395311e-11
C1,no,Insulin,33.83838383838384,4.202130054737437e-06,2.0683382805017405e-10,9.141324720206499e-11,7.352983196734888e-11
C1,no,Insulin,34.343434343434346,3.9640143590516866e-06,1.8682493101516363e-10,8.179312934931079e-11,6.591312267808211e-11
C1,no,Insulin,34.84848484848485,3.743191523055494e-06,1.691772572509241e-10,7.341332431012223e-11,5.926194556513888e-11
C1,no,Insulin,35.35353535353536,3.535729909244993e-06,1.5348797626199064e-10,6.611448557177307e-11,5.3443945897138903e-11
C1,no,Insulin,35.85858585858586,3.34973314084932e-06,1.3961053251424657e-10,5.966302115396899e-11,4.830152359213666e-11
C1,no,Insulin,36.36363636363637,3.1846996898482953e-06,1.2750443714849308e-10,5.409710945852513e-11,4.385433031674273e-11
C1,no,Insulin,36.86868686868687,3.0363860269036844e-06,1.1683107133344532e-10,4.919041954632332e-11,3.993380984563101e-11
C1,no,Insulin,37.37373737373738,2.905679449732122e-06,1.0765387175644871e-10,4.496091084800732e-11,3.655559273294397e-11
C1,no,Insulin,37.87878787878788,2.7884683064431813e-06,9.970218035772014e-11,4.130197928529932e-11,3.3632093842043333e-11
C1,no,Insulin,38.38383838383839,2.678597799472454e-06,9.261308739151573e-11,3.808356652114429e-11,3.105426551289713e-11
C1,no,Insulin,38.88888888888889,2.5729852169499893e-06,8.625627949493746e-11,3.525578189946506e-11,2.8780689507293478e-11
C1,no,Insulin,39.3939393939394,2.471252882148107e-06,8.048580204756546e-11,3.273047184906725e-11,2.6743734896495065e-11
C1,no,Insulin,39.8989898989899,2.369480613313372e-06,7.510102394114035e-11,3.0436980161069477e-11,2.488358410074262e-11
C1,no,Insulin,40.40404040404041,2.2733707356983574e-06,7.020528346715817e-11,2.8365204707857236e-11,2.3200752819939434e-11
C1,no,Insulin,40.909090909090914,2.1839187219363276e-06,6.574679792869224e-11,2.6472932762412493e-11,2.1663956300318544e-11
C1,no,Insulin,41.41414141414142,2.101986707348392e-06,6.170412496020509e-11,2.4748198697628963e-11,2.0264426544956458e-11
C1,no,Insulin,41.919191919191924,2.0301017041051986e-06,5.811082678912629e-11,2.319165541261031e-11,1.9005262656927704e-11
C1,no,Insulin,42.42424242424243,1.9684203488772083e-06,5.494923461733881e-11,2.179512576985404e-11,1.78801257071756e-11
C1,no,Insulin,42.929292929292934,1.912756734806636e-06,5.210114672915843e-11,2.053686504163679e-11,1.6866953934365608e-11
C1,no,Insulin,43.43434343434344,1.862557983031333e-06,4.955390878468539e-11,1.9420223219793122e-11,1.5967320422656543e-11
C1,no,Insulin,43.939393939393945,1.815236519818297e-06,4.7225436723446545e-11,1.8409262585707668e-11,1.5151565998308364e-11
C1,no,Insulin,44.44444444444445,1.7672120465632435e-06,4.5037947549670304e-11,1.749323181874888e-11,1.4407276867588489e-11
C1,no,Insulin,44.949494949494955,1.723096989901299e-06,4.3053975779430374e-11,1.66652027034197e-11,1.3734257029257864e-11
C1,no,Insulin,45.45454545454546,1.6795462416133396e-06,4.119609545036821e-11,1.590494648213649e-11,1.3113580122491043e-11
C1,no,Insulin,45.959595959595966,1.63517520557579e-06,3.9422697160513116e-11,1.519430996753793e-11,1.2530131253435511e-11
C1,no,Insulin,46.46464646464647,1.5936378254383643e-06,3.779302072146754e-11,1.4542601924438273e-11,1.1994811001846584e-11
C1,no,Insulin,46.969696969696976,1.5549972350442106e-06,3.6296014617865104e-11,1.3937412141923937e-11,1.1498509257816188e-11
C1,no,Insulin,47.47474747474748,1.5205105795159081e-06,3.4945463177714305e-11,1.3372339229088244e-11,1.1037963684924931e-11
C1,no,Insulin,47.979797979797986,1.4884807301581773e-06,3.369756608749636e-11,1.2845149146155984e-11,1.0609060906375152e-11
C1,no,Insulin,48.484848484848484,1.4600519531059343e-06,3.256607600304934e-11,1.2354325085371649e-11,1.0211930372479721e-11
C1,no,Insulin,48.98989898989899,1.4361436052901465e-06,3.156138134085509e-11,1.1900223348789631e-11,9.84777526017885e-12
C1,no,Insulin,49.494949494949495,1.4130191170900676e-06,3.060437431559028e-11,1.1476815060425521e-11,9.507200746549566e-12
C1,no,Insulin,50.0,1.389714916204854e-06,2.9671011747474395e-11,1.1084724496359723e-11,9.189205848525904e-12
