,,,Slide ID,c,e,a,d,b
,,,Antibody Name,c,e,a,d,b
,,,HUGO ID,c,e,a,d,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,27.272727272727273,0.025322141814651988,0.03792958371812671,0.026729734922283702,0.005855062300647178,0.30559519215343456
C1,no,Insulin,27.77777777777778,0.025322141524399717,0.037929583429908036,0.02672973472786145,0.0058550622398492215,0.3055951923349389
C1,no,Insulin,28.282828282828284,0.025322141405624093,0.03792958331248254,0.026729734648594138,0.005855062215110567,0.30559519240888855
C1,no,Insulin,28.78787878787879,0.025322141264124208,0.03792958317212325,0.026729734553915436,0.005855062185499774,0.305595192497279
C1,no,Insulin,29.292929292929294,0.025322141099900063,0.03792958300883017,0.026729734443825336,0.0058550621510168425,0.3055951926001103
C1,no,Insulin,29.7979797979798,0.025322140912951655,0.037929582822603294,0.026729734318323844,0.005855062111661775,0.30559519271738245
C1,no,Insulin,30.303030303030305,0.025322140717092073,0.037929582627288176,0.02672973418672771,0.005855062070368679,0.3055951928403769
C1,no,Insulin,30.80808080808081,0.025322140602197507,0.03792958251297223,0.026729734109657264,0.0058550620462286375,0.30559519291236553
C1,no,Insulin,31.313131313131315,0.025322140500097658,0.03792958241132494,0.026729734041132512,0.0058550620247612315,0.30559519297637605
C1,no,Insulin,31.81818181818182,0.025322140410792518,0.03792958232234631,0.026729733981153456,0.005855062005966463,0.3055951930324085
C1,no,Insulin,32.323232323232325,0.025322140334282095,0.03792958224603634,0.0267297339297201,0.005855061989844331,0.3055951930804629
C1,no,Insulin,32.82828282828283,0.025322140270566385,0.03792958218239503,0.026729733886832443,0.005855061976394836,0.3055951931205393
C1,no,Insulin,33.333333333333336,0.025322140215410096,0.03792958212738487,0.026729733849753606,0.005855061964773719,0.3055951931551807
C1,no,Insulin,33.83838383838384,0.025322140170513662,0.03792958208262688,0.026729733819582432,0.005855061955319946,0.3055951931833661
C1,no,Insulin,34.343434343434346,0.025322140136709196,0.03792958204891432,0.026729733796856628,0.005855061948199387,0.3055951932045958
C1,no,Insulin,34.84848484848485,0.02532214011399669,0.03792958202624718,0.02672973378157619,0.005855061943412041,0.30559519321886996
C1,no,Insulin,35.35353535353536,0.025322140102376146,0.03792958201462547,0.026729733773741122,0.005855061940957907,0.30559519322618844
C1,no,Insulin,35.85858585858586,0.025322140041698436,0.037929581954164356,0.026729733732985102,0.005855061928186938,0.30559519326426254
C1,no,Insulin,36.36363636363637,0.025322139922150197,0.03792958183509361,0.026729733652722337,0.005855061903035269,0.30559519333924495
C1,no,Insulin,36.86868686868687,0.02532213980798564,0.03792958172138508,0.02672973357607409,0.005855061879016297,0.3055951934108506
C1,no,Insulin,37.37373737373738,0.02532213969920476,0.03792958161303878,0.026729733503040358,0.00585506185613002,0.30559519347907954
C1,no,Insulin,37.87878787878788,0.02532213959580756,0.03792958151005471,0.026729733433621145,0.005855061834376439,0.3055951935439317
C1,no,Insulin,38.38383838383839,0.02532213949779404,0.037929581412432856,0.02672973336781645,0.005855061813755555,0.3055951936054071
C1,no,Insulin,38.88888888888889,0.025322139405164198,0.03792958132017323,0.026729733305626273,0.005855061794267366,0.3055951936635058
C1,no,Insulin,39.3939393939394,0.02532213931791804,0.037929581233275826,0.02672973324705061,0.005855061775911874,0.3055951937182277
C1,no,Insulin,39.8989898989899,0.025322139236055557,0.03792958115174065,0.026729733192089468,0.005855061758689077,0.30559519376957284
C1,no,Insulin,40.40404040404041,0.025322139159576755,0.037929581075567695,0.026729733140742843,0.005855061742598975,0.30559519381754124
C1,no,Insulin,40.909090909090914,0.025322139088481632,0.03792958100475696,0.026729733093010733,0.00585506172764157,0.30559519386213285
C1,no,Insulin,41.41414141414142,0.025322139022770192,0.037929580939308455,0.02672973304889314,0.005855061713816861,0.3055951939033478
C1,no,Insulin,41.919191919191924,0.02532213896244243,0.03792958087922218,0.02672973300839007,0.005855061701124847,0.3055951939411859
C1,no,Insulin,42.42424242424243,0.025322138907498345,0.03792958082449812,0.026729732971501514,0.00585506168956553,0.3055951939756473
C1,no,Insulin,42.929292929292934,0.025322138857937944,0.037929580775136286,0.026729732938227474,0.005855061679138907,0.3055951940067319
C1,no,Insulin,43.43434343434344,0.02532213881376122,0.037929580731136676,0.026729732908567953,0.0058550616698449815,0.3055951940344398
C1,no,Insulin,43.939393939393945,0.025322138774968174,0.03792958069249929,0.02672973288252295,0.005855061661683752,0.3055951940587709
C1,no,Insulin,44.44444444444445,0.025322138741558812,0.03792958065922413,0.026729732860092465,0.005855061654655218,0.3055951940797253
C1,no,Insulin,44.949494949494955,0.025322138713533126,0.037929580631311195,0.026729732841276495,0.0058550616487593795,0.3055951940973029
