,,,Slide ID,e,a,c,b,d
,,,Antibody Name,e,a,c,b,d
,,,HUGO ID,e,a,c,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,21.212121212121215,0.06248798077998795,0.015389298957916384,0.14404662274985064,0.1531875318723846,0.1364925724321519
C1,no,Insulin,21.71717171717172,0.06248795833548162,0.015389292027869561,0.14404658428206094,0.15318749976817125,0.13649250968043855
C1,no,Insulin,22.222222222222225,0.06248794252514192,0.01538928714365312,0.1440465571669722,0.15318747738787605,0.13649246544860233
C1,no,Insulin,22.72727272727273,0.06248793128968419,0.015389283672678864,0.1440465378960654,0.15318746152035026,0.13649243401570627
C1,no,Insulin,23.232323232323235,0.062487923419199516,0.015389281241208662,0.14404652439544624,0.1531874504323857,0.13649241199664253
C1,no,Insulin,23.73737373737374,0.06248791790344942,0.015389279537047565,0.14404651493310971,0.15318744267881476,0.1364923965640037
C1,no,Insulin,24.242424242424242,0.062487914012765024,0.015389278334869054,0.14404650825883855,0.15318743720706082,0.13649238567777075
C1,no,Insulin,24.747474747474747,0.06248791124850024,0.015389277480679597,0.14404650351763224,0.15318743330669987,0.13649237794363825
C1,no,Insulin,25.252525252525253,0.062487909356723825,0.015389276896075511,0.14404650027390084,0.1531874306191287,0.13649237265157987
C1,no,Insulin,25.757575757575758,0.06248790801095212,0.015389276480432318,0.14404649796800328,0.15318742868122426,0.13649236888996855
C1,no,Insulin,26.262626262626263,0.062487907071899884,0.015389276190957889,0.14404649636167405,0.15318742729389231,0.1364923662710526
C1,no,Insulin,26.767676767676768,0.06248790638771547,0.015389275981140605,0.14404649519565926,0.153187426238516,0.13649236437331536
C1,no,Insulin,27.272727272727273,0.062487905886963215,0.015389275829254326,0.14404649434862832,0.15318742541095856,0.13649236300028886
C1,no,Insulin,27.77777777777778,0.06248790546024012,0.015389275699156766,0.14404649362389485,0.1531874247364619,0.13649236182350452
C1,no,Insulin,28.282828282828284,0.0624879050754994,0.015389275579795872,0.1440464929620817,0.15318742420680587,0.13649236074226864
C1,no,Insulin,28.78787878787879,0.06248790478914653,0.015389275490624344,0.14404649246769846,0.15318742383645875,0.13649235993381198
C1,no,Insulin,29.292929292929294,0.06248790460118151,0.015389275431642183,0.14404649214074522,0.1531874236254205,0.1364923593981345
C1,no,Insulin,29.7979797979798,0.06248790451160433,0.015389275402849385,0.14404649198122196,0.15318742357369117,0.13649235913523627
C1,no,Insulin,30.303030303030305,0.06248790451429695,0.01538927540238807,0.14404649197882083,0.15318742367002772,0.13649235912836918
C1,no,Insulin,30.80808080808081,0.06248790441793967,0.015389275372159613,0.1440464918112028,0.1531874235628454,0.1364923588537994
C1,no,Insulin,31.313131313131315,0.06248790435777797,0.015389275353234411,0.144046491706232,0.15318742350068237,0.13649235868175874
C1,no,Insulin,31.81818181818182,0.06248790433381185,0.015389275345612467,0.14404649166390843,0.15318742348353867,0.1364923586122472
C1,no,Insulin,32.323232323232325,0.062487904346041304,0.015389275349293779,0.14404649168423211,0.15318742351141426,0.1364923586452648
