,,,Slide ID,b,f,e,c,d,g,a
,,,Antibody Name,b,f,e,c,d,g,a
,,,HUGO ID,b,f,e,c,d,g,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,6.0606060606060606,0.2680767269618298,0.015741919569011067,0.2665016396349057,0.015504100779960553,0.2481802555648981,0.1898673620762738,0.1433204178719127
C1,no,Insulin,6.565656565656566,0.2650870651896583,0.01530064204273466,0.26396500837989206,0.015021010549531328,0.24572388533551776,0.18686751765858078,0.14390788900783527
C1,no,Insulin,7.070707070707071,0.26286256014844517,0.014995491557480777,0.26205803311029907,0.014691808621475433,0.2438932762823969,0.1846871681684408,0.1443539836476494
C1,no,Insulin,7.575757575757576,0.26121181360271717,0.014782562284003715,0.2606302141609998,0.014464727994049317,0.24253398063817813,0.18309947701331777,0.1446901791630413
C1,no,Insulin,8.080808080808081,0.25998964146382525,0.014632801521965243,0.25956505962355175,0.014306479759980537,0.2415276029871952,0.18194175280331318,0.1449420789209532
C1,no,Insulin,8.585858585858587,0.25908652687471145,0.014526741223883673,0.2587729894244412,0.014195243934515767,0.2407842574733065,0.1810966893317003,0.14512995476411553
C1,no,Insulin,9.090909090909092,0.25842026564002213,0.014451189922580418,0.2581856021836553,0.01411648828125717,0.2402362241096611,0.18047938555221404,0.14526956785074013
C1,no,Insulin,9.595959595959597,0.2579294121192799,0.014397105521819038,0.25775101346358925,0.014060391931199467,0.23983278951510695,0.18002820812067336,0.14537301234041466
C1,no,Insulin,10.101010101010102,0.2575681941271772,0.014358228237378864,0.2574300954776601,0.01402023267264003,0.2395361516079049,0.1796983092789631,0.14544947770423988
C1,no,Insulin,10.606060606060607,0.25730262938854886,0.014330188028106091,0.25719349870680286,0.013991367761573885,0.23931824685799016,0.1794570267094864,0.14550589432117067
C1,no,Insulin,11.111111111111112,0.25710754363484767,0.01430991025462539,0.25701930353793434,0.013970546661727897,0.23915830229601398,0.1792805137450436,0.1455474519674904
C1,no,Insulin,11.616161616161618,0.2569643222023177,0.014295204156328433,0.2568911884617198,0.013955487575459172,0.23904096674652733,0.17915136426265185,0.14557802980238568
C1,no,Insulin,12.121212121212121,0.2568592347031574,0.014284528578516666,0.25679705035212136,0.013944570057231816,0.2389549323813574,0.1790568575513943,0.14560050373064481
C1,no,Insulin,12.626262626262626,0.25678216059869585,0.014276763008972999,0.2567279277861985,0.013936640866149269,0.23889187113534374,0.17898769540144252,0.1456170093860576
C1,no,Insulin,13.131313131313131,0.25672565257691476,0.014271107001736021,0.25667720343367745,0.013930873312162273,0.23884566211321034,0.17893707761342448,0.14562912395235061
C1,no,Insulin,13.636363636363637,0.2566842363661855,0.01426698407862683,0.2566399993639773,0.01392667312294085,0.23881181058697767,0.17890003135165197,0.14563801067202053
C1,no,Insulin,14.141414141414142,0.2566538897554811,0.014263976332959644,0.25661272348041936,0.013923611452153718,0.2387870171858163,0.17887291790119933,0.14564452661967736
C1,no,Insulin,14.646464646464647,0.2566316522123744,0.014261780022919529,0.25659272712603415,0.01392137722054673,0.23876885550070476,0.17885306787644914,0.14564930398006132
C1,no,Insulin,15.151515151515152,0.25661535972185084,0.014260175524537011,0.2565780714130126,0.013919745818770526,0.2387555533472567,0.1788385354870565,0.14565280565360714
C1,no,Insulin,15.656565656565657,0.25660343316381784,0.01425900374370844,0.25656733985611224,0.013918554965797969,0.23874581844108198,0.17882790402467844,0.14565536989901928
C1,no,Insulin,16.161616161616163,0.2565946976102907,0.014258146999916396,0.2565594779072851,0.01391768458411265,0.23873868975001333,0.17882012071032571,0.14565724854704584
C1,no,Insulin,16.666666666666668,0.2565882999334517,0.014257520574558763,0.25655371903101504,0.013917048266351578,0.23873346988875008,0.1788144226439734,0.1456586247105358
C1,no,Insulin,17.171717171717173,0.25658361483721626,0.014257062411982456,0.25654950109750646,0.013916582991676479,0.23872964793845966,0.1788102512740794,0.14565963270820148
C1,no,Insulin,17.67676767676768,0.25658018679138167,0.014256727375532694,0.25654641449794835,0.013916242982553059,0.2387268518478558,0.17880719995975786,0.14566037037661467
C1,no,Insulin,18.181818181818183,0.25657767767054546,0.014256482211065638,0.25654415515865236,0.013915994312171408,0.23872480552165795,0.1788049669691548,0.14566091030489653
C1,no,Insulin,18.68686868686869,0.256575840180389,0.014256303014486209,0.25654250052096833,0.013915812307863049,0.23872330707874445,0.1788033318977855,0.14566130567729008
C1,no,Insulin,19.191919191919194,0.25657449489366735,0.01425617230847631,0.2565412890094673,0.013915679155125494,0.2387222100922109,0.17880213499892578,0.1456615952181456
C1,no,Insulin,19.6969696969697,0.25657350996120504,0.014256076518705954,0.25654040196082006,0.013915581730110944,0.2387214069991105,0.17880125882423453,0.14566180730792777
C1,no,Insulin,20.202020202020204,0.2565727882402996,0.014256005413179559,0.2565397519621525,0.013915510359465769,0.23872081856360158,0.17880061683424173,0.14566196273189294
C1,no,Insulin,20.70707070707071,0.2565722610949704,0.014255952191815883,0.2565392772268938,0.01391545822789042,0.2387203888042565,0.17880014792160429,0.14566207611754522
C1,no,Insulin,21.212121212121215,0.2565718753575701,0.014255913310894432,0.2565389298199618,0.013915420097537299,0.23872007433329118,0.17879980482739719,0.14566215893544987
