,,,Slide ID,b,c,a,d
,,,Antibody Name,b,c,a,d
,,,HUGO ID,b,c,a,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,27.272727272727273,0.12201199995664959,0.09507361206316867,0.16299253976462172,0.0827419456475289
C1,no,Insulin,27.77777777777778,0.12201199995770633,0.09507361206327987,0.16299253976481165,0.08274194564773432
C1,no,Insulin,28.282828282828284,0.12201199995876306,0.09507361206339109,0.16299253976500158,0.08274194564793974
C1,no,Insulin,28.78787878787879,0.12201199995981979,0.09507361206350229,0.1629925397651915,0.08274194564814516
C1,no,Insulin,29.292929292929294,0.12201199996087653,0.0950736120636135,0.16299253976538142,0.08274194564835058
C1,no,Insulin,29.7979797979798,0.12201199996193327,0.09507361206372471,0.16299253976557135,0.08274194564855601
C1,no,Insulin,30.303030303030305,0.12201199996298999,0.09507361206383592,0.16299253976576128,0.08274194564876143
C1,no,Insulin,30.80808080808081,0.12201199996404673,0.09507361206394713,0.1629925397659512,0.08274194564896685
C1,no,Insulin,31.313131313131315,0.12201199996510347,0.09507361206405834,0.16299253976614111,0.08274194564917227
C1,no,Insulin,31.81818181818182,0.1220119999661602,0.09507361206416955,0.16299253976633105,0.0827419456493777
C1,no,Insulin,32.323232323232325,0.12201199996721693,0.09507361206428076,0.16299253976652098,0.08274194564958312
C1,no,Insulin,32.82828282828283,0.12201199996827367,0.09507361206439197,0.1629925397667109,0.08274194564978854
C1,no,Insulin,33.333333333333336,0.1220119999693304,0.09507361206450318,0.1629925397669008,0.08274194564999396
C1,no,Insulin,33.83838383838384,0.12201199997038713,0.09507361206461439,0.16299253976709074,0.08274194565019939
C1,no,Insulin,34.343434343434346,0.12201199997144387,0.0950736120647256,0.16299253976728068,0.08274194565040481
C1,no,Insulin,34.84848484848485,0.1220119999725006,0.0950736120648368,0.1629925397674706,0.08274194565061023
C1,no,Insulin,35.35353535353536,0.12201199997355734,0.09507361206494802,0.1629925397676605,0.08274194565081565
C1,no,Insulin,35.85858585858586,0.12201199997461407,0.09507361206505922,0.16299253976785044,0.08274194565102108
C1,no,Insulin,36.36363636363637,0.1220119999756708,0.09507361206517044,0.16299253976804037,0.0827419456512265
C1,no,Insulin,36.86868686868687,0.12201199997672754,0.09507361206528164,0.1629925397682303,0.08274194565143192
C1,no,Insulin,37.37373737373738,0.12201199997778427,0.09507361206539286,0.1629925397684202,0.08274194565163734
C1,no,Insulin,37.87878787878788,0.122011999978841,0.09507361206550406,0.16299253976861014,0.08274194565184277
C1,no,Insulin,38.38383838383839,0.12201199997989774,0.09507361206561528,0.16299253976880007,0.08274194565204819
C1,no,Insulin,38.88888888888889,0.12201199998095447,0.09507361206572648,0.16299253976899,0.08274194565225361
C1,no,Insulin,39.3939393939394,0.12201199998194226,0.09507361206583041,0.1629925397691675,0.0827419456524456
C1,no,Insulin,39.8989898989899,0.1220119999819828,0.09507361206583413,0.16299253976917416,0.08274194565245298
C1,no,Insulin,40.40404040404041,0.12201199998202333,0.09507361206583785,0.16299253976918082,0.08274194565246036
C1,no,Insulin,40.909090909090914,0.12201199998206388,0.09507361206584157,0.1629925397691875,0.08274194565246774
C1,no,Insulin,41.41414141414142,0.12201199998210442,0.09507361206584529,0.16299253976919417,0.08274194565247513
C1,no,Insulin,41.919191919191924,0.12201199998214496,0.09507361206584901,0.16299253976920083,0.08274194565248251
C1,no,Insulin,42.42424242424243,0.12201199998218551,0.09507361206585273,0.16299253976920752,0.08274194565248989
C1,no,Insulin,42.929292929292934,0.12201199998222605,0.09507361206585645,0.16299253976921418,0.08274194565249728
C1,no,Insulin,43.43434343434344,0.12201199998226658,0.09507361206586017,0.16299253976922085,0.08274194565250466
C1,no,Insulin,43.939393939393945,0.12201199998230713,0.09507361206586389,0.1629925397692275,0.08274194565251204
C1,no,Insulin,44.44444444444445,0.12201199998234767,0.0950736120658676,0.1629925397692342,0.08274194565251942
C1,no,Insulin,44.949494949494955,0.12201199998238822,0.09507361206587132,0.16299253976924086,0.0827419456525268
C1,no,Insulin,45.45454545454546,0.12201199998242876,0.09507361206587504,0.16299253976924752,0.08274194565253418
C1,no,Insulin,45.959595959595966,0.1220119999824693,0.09507361206587876,0.1629925397692542,0.08274194565254156
C1,no,Insulin,46.46464646464647,0.12201199998250985,0.09507361206588248,0.16299253976926087,0.08274194565254894
C1,no,Insulin,46.969696969696976,0.12201199998255038,0.0950736120658862,0.16299253976926753,0.08274194565255633
C1,no,Insulin,47.47474747474748,0.12201199998259092,0.09507361206588992,0.16299253976927422,0.08274194565256371
