NON $ % + - . 0 1 2 3 4
#NON	CycA	E2F	CycE	UbcH10	cdh1	p27	Cdc20	CycD	Rb	CycB
5.889724310776942	0.10169209586746374	0.43551946808190045	0.1455899018860789	0.08861156201204724	0.6668148604919837	0.048721356880015616	0.2533605715990292	0.11859730829770643	0.7103864451027587	0.3963038825736994
6.015037593984962	0.10158745435681338	0.43556415607244	0.14560298691410897	0.08817929527515223	0.6668670359289758	0.048724600454045267	0.25335161477926155	0.1185707093122796	0.7104060114847001	0.39627898075785883
6.140350877192982	0.10149552928792507	0.4356036528098341	0.14561475098141466	0.08778129812354411	0.666912972322177	0.04872756273890337	0.25334376391103614	0.11854782954620352	0.7104224930793462	0.3962571383527232
6.265664160401002	0.10141478012241989	0.4356385495652275	0.14562531408453427	0.08741485158001581	0.6669534056147324	0.048730251203272325	0.25333688133635124	0.11852814912283118	0.710436363212816	0.3962379773820292
6.390977443609022	0.1013438528874377	0.4356693719425968	0.14563478771194321	0.08707745454058889	0.6669889863979298	0.048732678025508916	0.25333084685411317	0.11851122116350359	0.710448023717308	0.39622116717961553
6.516290726817042	0.10128155363826519	0.43569658748164947	0.14564327477858408	0.08676680368580549	0.6670202906986333	0.04873485763507242	0.2533255551719554	0.11849665925756928	0.7104578172952917	0.39620641717898775
6.641604010025063	0.1012268354035516	0.43572061118123107	0.1456508702357437	0.08648078068169877	0.6670478267839821	0.04873680691927226	0.25332091436685866	0.11848413253091505	0.7104660338312054	0.3961934737229907
6.7669172932330826	0.1011787778589674	0.4357418118866698	0.1456576613413007	0.08621743547450875	0.6670720438769332	0.048738543944951127	0.25331684391763915	0.11847335659587442	0.7104729196310915	0.3961821146988916
6.8922305764411025	0.10113657257179569	0.4357605166784875	0.14566372786571383	0.08597497335352013	0.6670933383673541	0.048740086829363156	0.2533132733348734	0.11846408700634178	0.7104786832790903	0.3961721456071802
7.017543859649122	0.10109950814152209	0.4357770160046279	0.14566914253203903	0.08575174145026337	0.6671120605994868	0.04874145323288559	0.25331014068548446	0.11845611308691024	0.7104835020618641	0.39616339575571646
7.142857142857142	0.10106696000710304	0.43579156663123364	0.14567397155378958	0.08554621844902367	0.6671285188518389	0.04874266006084382	0.2533073919678108	0.11844925384838453	0.7104875253753893	0.3961557156709641
7.268170426065162	0.1010383785483493	0.43580439558618933	0.14567827509528172	0.08535700309124596	0.6671429846015102	0.048743723086975776	0.2533049800587012	0.1184433531606657	0.7104908793133023	0.3961489740661533
7.393483709273182	0.1010132814697615	0.43581570398185493	0.1456821076739744	0.08518280540274362	0.667155697090338	0.04874465723162016	0.2533028636551919	0.11843827707644713	0.7104936705303512	0.39614305602719135
7.518796992481203	0.1009912447085069	0.43582567030931546	0.14568551864605528	0.08502243701752536	0.6671668675655504	0.048745476502901224	0.25330100646055814	0.1184339103716162	0.710495989679378	0.396137860756144
7.644110275689223	0.1009718960087298	0.43583445233842333	0.14568855249315457	0.08487480385872873	0.6671766820255401	0.04874619366653918	0.2532993765990197	0.11843015401439153	0.7104979131394071	0.39613329989827994
7.769423558897243	0.10095490790584062	0.4358421898907804	0.14569124924253093	0.08473889798423502	0.6671853047337929	0.048746820293470765	0.2532979459031153	0.11842692262534989	0.7104995056358904	0.396129295823078
7.894736842105263	0.10093999399324338	0.43584900577653185	0.1456936449643455	0.08461379210107477	0.6671928793014845	0.04874736689862724	0.2532966899977776	0.11842414328245286	0.7105008208642973	0.3961257807468036
8.020050125313283	0.10092690120555137	0.4358550086855364	0.145695772152185	0.08449863099158733	0.667199532467421	0.04874784284547209	0.2532955874910759	0.11842175260749661	0.7105019043296886	0.3961226948019878
8.145363408521304	0.10091540477885899	0.43586029536992854	0.14569766003542878	0.08439262505794778	0.667205376781404	0.048748256416008565	0.2532946194124926	0.1184196950086098	0.7105027953118692	0.39611998481399946
8.270676691729323	0.10090531281745287	0.43586494973716106	0.14569933472686206	0.08429505132452575	0.6672105088841294	0.04874861537609085	0.25329376971052836	0.11841792507343515	0.7105035248698304	0.39611760558757453
