,,,Slide ID,a,b,e,c,d,f
,,,Antibody Name,a,b,e,c,d,f
,,,HUGO ID,a,b,e,c,d,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,25.838926174496645,0.1044175134220183,0.12393412909426273,0.14900677970271384,0.12690242911397945,0.019464158158572352,0.09823268687650816
C1,no,Insulin,26.174496644295303,0.10441751346052476,0.12393412918891468,0.14900677974044296,0.126902429149216,0.019464158176342033,0.09823268681268434
C1,no,Insulin,26.51006711409396,0.10441751345774446,0.12393412918215013,0.1490067797245046,0.12690242914643696,0.019464158176564578,0.09823268683085654
C1,no,Insulin,26.845637583892618,0.10441751347248535,0.12393412921837564,0.14900677974143556,0.12690242915997063,0.019464158183078704,0.09823268680360492
C1,no,Insulin,27.181208053691275,0.10441751348722622,0.12393412925460115,0.14900677975836651,0.12690242917350433,0.01946415818959283,0.0982326867763533
C1,no,Insulin,27.516778523489933,0.1044175135019671,0.12393412929082667,0.14900677977529747,0.126902429187038,0.019464158196106956,0.0982326867491017
C1,no,Insulin,27.85234899328859,0.10441751351670797,0.12393412932705218,0.14900677979222843,0.1269024292005717,0.019464158202621082,0.09823268672185008
C1,no,Insulin,28.18791946308725,0.10441751353144886,0.12393412936327769,0.14900677980915938,0.12690242921410538,0.019464158209135208,0.09823268669459846
C1,no,Insulin,28.52348993288591,0.10441751354618974,0.12393412939950321,0.14900677982609034,0.12690242922763909,0.019464158215649334,0.09823268666734684
C1,no,Insulin,28.859060402684566,0.10441751356093061,0.12393412943572872,0.1490067798430213,0.12690242924117276,0.019464158222163457,0.09823268664009523
C1,no,Insulin,29.194630872483224,0.10441751356539448,0.12393412944669886,0.14900677984814548,0.12690242924527112,0.01946415822413654,0.09823268663179031
C1,no,Insulin,29.53020134228188,0.10441751356593103,0.12393412944801768,0.14900677984875774,0.12690242924576373,0.019464158224374275,0.09823268663072586
C1,no,Insulin,29.86577181208054,0.10441751356646756,0.1239341294493365,0.14900677984937,0.12690242924625633,0.019464158224612005,0.0982326866296614
C1,no,Insulin,30.201342281879196,0.1044175135670041,0.12393412945065532,0.14900677984998223,0.12690242924674897,0.019464158224849735,0.09823268662859695
C1,no,Insulin,30.536912751677853,0.10441751356754063,0.12393412945197416,0.1490067798505945,0.12690242924724157,0.019464158225087468,0.0982326866275325
C1,no,Insulin,30.87248322147651,0.10441751356807717,0.12393412945329298,0.14900677985120675,0.1269024292477342,0.019464158225325198,0.09823268662646804
C1,no,Insulin,31.20805369127517,0.1044175135686137,0.1239341294546118,0.14900677985181898,0.1269024292482268,0.019464158225562928,0.09823268662540358
C1,no,Insulin,31.543624161073826,0.10441751356915023,0.12393412945593062,0.14900677985243124,0.12690242924871944,0.01946415822580066,0.09823268662433912
C1,no,Insulin,31.879194630872483,0.10441751356968677,0.12393412945724944,0.1490067798530435,0.12690242924921205,0.01946415822603839,0.09823268662327467
C1,no,Insulin,32.214765100671144,0.1044175135702233,0.12393412945856827,0.14900677985365574,0.12690242924970468,0.01946415822627612,0.09823268662221021
C1,no,Insulin,32.5503355704698,0.10441751357075985,0.12393412945988709,0.149006779854268,0.1269024292501973,0.019464158226513855,0.09823268662114576
C1,no,Insulin,32.88590604026846,0.10441751357129637,0.12393412946120591,0.14900677985488023,0.12690242925068992,0.019464158226751585,0.0982326866200813
C1,no,Insulin,33.22147651006711,0.10441751357183292,0.12393412946252473,0.1490067798554925,0.12690242925118253,0.019464158226989315,0.09823268661901684
