,,,Slide ID,c,b,d,f,a,e
,,,Antibody Name,c,b,d,f,a,e
,,,HUGO ID,c,b,d,f,a,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,18.79194630872483,0.223989797295023,0.17156461182551594,0.14505794248326642,0.24368938358553832,0.016955940562565417,0.14978042167887892
C1,no,Insulin,19.12751677852349,0.22398979717119205,0.17156461177833948,0.1450579424028163,0.2436893834324763,0.01695594033155743,0.14978042156518656
C1,no,Insulin,19.46308724832215,0.22398979700645524,0.17156461172416218,0.14505794229543129,0.24368938322867817,0.016955940031703247,0.14978042141409395
C1,no,Insulin,19.798657718120808,0.22398979686594211,0.17156461167745102,0.1450579422038429,0.24368938305484217,0.016955939775044858,0.14978042128522415
C1,no,Insulin,20.134228187919465,0.22398979675403918,0.17156461163918038,0.1450579421309292,0.24368938291640335,0.016955939569128414,0.14978042118259285
C1,no,Insulin,20.469798657718123,0.2239897966707465,0.17156461160935024,0.1450579420766902,0.24368938281336175,0.01695593941395391,0.14978042110620002
C1,no,Insulin,20.80536912751678,0.22398979661606402,0.17156461158796063,0.14505794204112588,0.24368938274571736,0.01695593930952135,0.1497804210560457
C1,no,Insulin,21.140939597315437,0.22398979658999174,0.17156461157501154,0.14505794202423622,0.24368938271347015,0.016955939255830728,0.14978042103212985
C1,no,Insulin,21.476510067114095,0.2239897965925297,0.17156461157050293,0.14505794202602124,0.24368938271662016,0.016955939252882052,0.1497804210344525
C1,no,Insulin,21.812080536912752,0.22398979662367788,0.17156461157443484,0.14505794204648093,0.24368938275516736,0.016955939300675318,0.14978042106301365
C1,no,Insulin,22.14765100671141,0.22398979668170274,0.17156461158633993,0.14505794208448272,0.2436893828269669,0.01695593939618942,0.14978042111622347
C1,no,Insulin,22.483221476510067,0.22398979666313243,0.17156461157832198,0.14505794207242528,0.2436893828039968,0.016955939359100194,0.14978042109918976
C1,no,Insulin,22.818791946308725,0.22398979665171104,0.17156461157295855,0.14505794206502118,0.24368938278987057,0.01695593933535148,0.14978042108871273
C1,no,Insulin,23.154362416107382,0.22398979664743857,0.1715646115702496,0.14505794206227043,0.2436893827845882,0.016955939324943273,0.14978042108479236
C1,no,Insulin,23.48993288590604,0.22398979665031496,0.1715646115701952,0.14505794206417302,0.24368938278814972,0.016955939327875577,0.1497804210874287
C1,no,Insulin,23.8255033557047,0.22398979666034027,0.1715646115727953,0.14505794207072895,0.2436893828005551,0.016955939344148397,0.1497804210966217
C1,no,Insulin,24.161073825503358,0.22398979667751448,0.1715646115780499,0.1450579420819382,0.24368938282180438,0.016955939373761726,0.14978042111237141
C1,no,Insulin,24.496644295302016,0.2239897967018376,0.17156461158595898,0.1450579420978008,0.2436893828518975,0.016955939416715568,0.1497804211346778
C1,no,Insulin,24.832214765100673,0.22398979673330963,0.17156461159652261,0.1450579421183167,0.24368938289083453,0.01695593947300992,0.14978042116354087
C1,no,Insulin,25.16778523489933,0.22398979676920353,0.17156461160442316,0.1450579421418306,0.243689382935254,0.016955939526487947,0.1497804211964513
C1,no,Insulin,25.503355704697988,0.22398979677880546,0.17156461160835662,0.14505794214806952,0.2436893829471314,0.016955939545802955,0.14978042120525886
C1,no,Insulin,25.838926174496645,0.2239897967884074,0.17156461161229009,0.14505794215430842,0.24368938295900883,0.016955939565117963,0.1497804212140664
C1,no,Insulin,26.174496644295303,0.22398979679800934,0.17156461161622355,0.14505794216054732,0.24368938297088624,0.01695593958443297,0.14978042122287397
C1,no,Insulin,26.51006711409396,0.22398979680761127,0.17156461162015701,0.14505794216678622,0.24368938298276366,0.01695593960374798,0.1497804212316815
