,,,Slide ID,c,b,a,d
,,,Antibody Name,c,b,a,d
,,,HUGO ID,c,b,a,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,21.212121212121215,0.15859474973237073,0.12738803621014047,0.24146908510563428,0.1465228316796907
C1,no,Insulin,21.71717171717172,0.15859474980983443,0.12738803623615033,0.24146908512067952,0.14652283171836003
C1,no,Insulin,22.222222222222225,0.15859474987446986,0.12738803625776515,0.24146908513314366,0.14652283175050618
C1,no,Insulin,22.72727272727273,0.15859474987772404,0.1273880362583505,0.24146908513325754,0.14652283175144007
C1,no,Insulin,23.232323232323235,0.15859474988097824,0.12738803625893586,0.24146908513337142,0.14652283175237393
C1,no,Insulin,23.73737373737374,0.15859474988423242,0.1273880362595212,0.2414690851334853,0.14652283175330783
C1,no,Insulin,24.242424242424242,0.15859474988748662,0.12738803626010653,0.2414690851335992,0.1465228317542417
C1,no,Insulin,24.747474747474747,0.1585947498907408,0.12738803626069187,0.24146908513371307,0.14652283175517558
C1,no,Insulin,25.252525252525253,0.158594749893995,0.1273880362612772,0.24146908513382695,0.14652283175610945
C1,no,Insulin,25.757575757575758,0.15859474989724917,0.12738803626186254,0.24146908513394083,0.14652283175704334
C1,no,Insulin,26.262626262626263,0.15859474990050337,0.12738803626244788,0.2414690851340547,0.1465228317579772
C1,no,Insulin,26.767676767676768,0.15859474990375758,0.12738803626303322,0.24146908513416862,0.1465228317589111
C1,no,Insulin,27.272727272727273,0.15859474990701175,0.12738803626361858,0.2414690851342825,0.14652283175984498
C1,no,Insulin,27.77777777777778,0.15859474991026595,0.12738803626420392,0.24146908513439638,0.14652283176077885
C1,no,Insulin,28.282828282828284,0.15859474991352013,0.12738803626478926,0.24146908513451026,0.14652283176171274
C1,no,Insulin,28.78787878787879,0.15859474991677433,0.1273880362653746,0.24146908513462415,0.1465228317626466
C1,no,Insulin,29.292929292929294,0.1585947499200285,0.12738803626595993,0.24146908513473803,0.1465228317635805
C1,no,Insulin,29.7979797979798,0.1585947499232827,0.12738803626654527,0.2414690851348519,0.14652283176451436
C1,no,Insulin,30.303030303030305,0.15859474992653688,0.1273880362671306,0.2414690851349658,0.14652283176544825
C1,no,Insulin,30.80808080808081,0.15859474992979108,0.12738803626771594,0.24146908513507967,0.14652283176638212
C1,no,Insulin,31.313131313131315,0.1585947499330453,0.1273880362683013,0.24146908513519355,0.146522831767316
C1,no,Insulin,31.81818181818182,0.15859474993629946,0.12738803626888665,0.24146908513530743,0.1465228317682499
C1,no,Insulin,32.323232323232325,0.15859474993955366,0.12738803626947198,0.2414690851354213,0.14652283176918376
C1,no,Insulin,32.82828282828283,0.15859474994280784,0.12738803627005732,0.2414690851355352,0.14652283177011766
C1,no,Insulin,33.333333333333336,0.15859474994606204,0.12738803627064266,0.24146908513564908,0.14652283177105152
C1,no,Insulin,33.83838383838384,0.15859474994931622,0.127388036271228,0.24146908513576296,0.1465228317719854
C1,no,Insulin,34.343434343434346,0.15859474995257042,0.12738803627181333,0.24146908513587684,0.14652283177291928
C1,no,Insulin,34.84848484848485,0.1585947499558246,0.1273880362723987,0.24146908513599072,0.14652283177385317
C1,no,Insulin,35.35353535353536,0.1585947499590788,0.12738803627298403,0.2414690851361046,0.14652283177478703
C1,no,Insulin,35.85858585858586,0.158594749962333,0.12738803627356937,0.24146908513621848,0.14652283177572092
C1,no,Insulin,36.36363636363637,0.15859474996558717,0.1273880362741547,0.2414690851363324,0.1465228317766548
C1,no,Insulin,36.86868686868687,0.15859474996884138,0.12738803627474005,0.24146908513644627,0.14652283177758868
C1,no,Insulin,37.37373737373738,0.15859474997209555,0.12738803627532538,0.24146908513656015,0.14652283177852257
C1,no,Insulin,37.87878787878788,0.15859474997534975,0.12738803627591072,0.24146908513667403,0.14652283177945644
C1,no,Insulin,38.38383838383839,0.15859474997860393,0.12738803627649606,0.24146908513678791,0.14652283178039033
C1,no,Insulin,38.88888888888889,0.15859474998185813,0.12738803627708142,0.2414690851369018,0.1465228317813242
C1,no,Insulin,39.3939393939394,0.15859474998511233,0.12738803627766676,0.24146908513701568,0.14652283178225808
C1,no,Insulin,39.8989898989899,0.1585947499883665,0.1273880362782521,0.24146908513712956,0.14652283178319195
C1,no,Insulin,40.40404040404041,0.1585947499916207,0.12738803627883744,0.24146908513724344,0.14652283178412584
C1,no,Insulin,40.909090909090914,0.15859474999487488,0.12738803627942277,0.24146908513735732,0.1465228317850597
C1,no,Insulin,41.41414141414142,0.1585947499981291,0.1273880362800081,0.2414690851374712,0.1465228317859936
C1,no,Insulin,41.919191919191924,0.15859475000138326,0.12738803628059345,0.24146908513758508,0.1465228317869275
C1,no,Insulin,42.42424242424243,0.15859475000463746,0.12738803628117878,0.24146908513769896,0.14652283178786135
C1,no,Insulin,42.929292929292934,0.15859475000789164,0.12738803628176415,0.24146908513781284,0.14652283178879524
C1,no,Insulin,43.43434343434344,0.15859475000977885,0.12738803628209663,0.24146908513787177,0.14652283178932735
C1,no,Insulin,43.939393939393945,0.1585947500099089,0.12738803628210416,0.2414690851378601,0.14652283178934308
C1,no,Insulin,44.44444444444445,0.158594750010039,0.12738803628211168,0.24146908513784843,0.1465228317893588
C1,no,Insulin,44.949494949494955,0.15859475001016907,0.1273880362821192,0.24146908513783674,0.1465228317893745
C1,no,Insulin,45.45454545454546,0.15859475001029913,0.12738803628212672,0.24146908513782508,0.1465228317893902
C1,no,Insulin,45.959595959595966,0.1585947500104292,0.12738803628213424,0.2414690851378134,0.14652283178940592
C1,no,Insulin,46.46464646464647,0.15859475001055925,0.12738803628214176,0.24146908513780174,0.14652283178942166
C1,no,Insulin,46.969696969696976,0.15859475001068934,0.12738803628214926,0.24146908513779006,0.14652283178943737
C1,no,Insulin,47.47474747474748,0.1585947500108194,0.12738803628215678,0.24146908513777837,0.14652283178945308
C1,no,Insulin,47.979797979797986,0.15859475001094947,0.1273880362821643,0.24146908513776671,0.1465228317894688
C1,no,Insulin,48.484848484848484,0.15859475001107953,0.12738803628217182,0.24146908513775503,0.1465228317894845
C1,no,Insulin,48.98989898989899,0.1585947500112096,0.12738803628217935,0.24146908513774337,0.14652283178950024
C1,no,Insulin,49.494949494949495,0.15859475001133969,0.12738803628218687,0.2414690851377317,0.14652283178951594
C1,no,Insulin,50.0,0.15859475001146975,0.1273880362821944,0.24146908513772,0.14652283178953165
