,,,Slide ID,G3,G8,G5,G7,G2,G6,G11,G4,G13,G9,G1,G12,G10
,,,Antibody Name,G3,G8,G5,G7,G2,G6,G11,G4,G13,G9,G1,G12,G10
,,,HUGO ID,G3,G8,G5,G7,G2,G6,G11,G4,G13,G9,G1,G12,G10
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,10.101010101010102,0.6608817967439045,0.9999995087236194,0.0717661684549524,0.693071452978335,0.2553872224528769,0.29714842304274014,0.004761342283910488,0.0029916061442787157,1.0000000001468772,0.699206249223757,0.17138737767025924,0.2613308867758422,0.29829513319327927
C1,no,Insulin,10.606060606060607,0.6608817963167958,0.9999997559273448,0.0717536880761722,0.6930724016493155,0.25538711966411437,0.2971484223849614,0.004760002254325102,0.0029897695876216182,0.9999999997770261,0.6992062483575624,0.17138735536371258,0.26133088710111346,0.2982951248936264
C1,no,Insulin,11.111111111111112,0.6608817971584666,0.999999879025137,0.07174592832051083,0.6930729684027753,0.2553870556289268,0.2971484220014665,0.004759153776624479,0.00298859845013651,1.0000000003822607,0.6992062495897098,0.17138734086439744,0.26133088647570873,0.29829511972031275
C1,no,Insulin,11.616161616161618,0.6608817963758947,0.9999999397920174,0.07174110137139035,0.693073307052861,0.25538701609140746,0.29714842199690267,0.004758613672305058,0.00298785146913563,0.999999999682651,0.6992062484481161,0.17138733183306276,0.2613308870355549,0.29829511742699283
C1,no,Insulin,12.121212121212121,0.6608817957994906,0.9999999700548412,0.07173810132124618,0.6930735091741573,0.2553869915586732,0.29714842190841023,0.004758268793165196,0.0029873753836728175,0.9999999997307434,0.6992062471329361,0.17138732600006354,0.2613308871926993,0.2982951157678007
C1,no,Insulin,12.626262626262626,0.660881798267918,0.9999999850256639,0.07173623588199812,0.6930736301376934,0.25538697555496825,0.2971484218782078,0.00475805412593691,0.002987071701234978,1.0000000006366954,0.6992062513904628,0.17138732175770463,0.26133088616055267,0.298295114338609
C1,no,Insulin,13.131313131313131,0.6608817968538145,0.9999999925400299,0.07173507626069893,0.6930737021498293,0.25538696644083336,0.2971484218772973,0.0047579145869134426,0.0029868782476495073,1.000000000068854,0.6992062489891736,0.1713873195994442,0.2613308867554773,0.29829511397888175
C1,no,Insulin,13.636363636363637,0.660881796717304,0.9999999962970437,0.07173435433765785,0.6930737452876212,0.25538696055741783,0.2971484218698382,0.004757826455989751,0.0029867547762851697,1.000000000015328,0.6992062487436204,0.17138731806312754,0.26133088680564304,0.29829511360825545
C1,no,Insulin,14.141414141414142,0.660881796623374,0.9999999981641957,0.07173390512163647,0.6930737710716989,0.25538695690783225,0.29714842186648466,0.0047577705133561386,0.002986676011732689,1.0000000000054141,0.6992062485522308,0.17138731708145002,0.261330886837495,0.2982951133794029
C1,no,Insulin,14.646464646464647,0.6608817965791836,0.9999999990499866,0.07173363063861517,0.6930737861455403,0.25538695467688255,0.2971484218653029,0.004757735576284394,0.00298662656471353,0.9999999999865591,0.6992062484857066,0.17138731645909006,0.26133088685334965,0.2982951132372083
