,,,Slide ID,G7,G2,G14,G3,G11,G13,G4,G5,G12,G1,G6,G9,G10,G8
,,,Antibody Name,G7,G2,G14,G3,G11,G13,G4,G5,G12,G1,G6,G9,G10,G8
,,,HUGO ID,G7,G2,G14,G3,G11,G13,G4,G5,G12,G1,G6,G9,G10,G8
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,10.101010101010102,0.08790753414054521,0.7285294026005283,0.12431591491859478,0.22901028222752834,0.7533789294773848,0.12944268993389438,0.6058007438473173,0.5784581274592151,0.7764143309218947,0.6820367539032253,0.7942316005839738,0.35685511516278307,0.7780788009671492,0.21670263204307322
C1,no,Insulin,10.606060606060607,0.08782780680444639,0.7285276896488158,0.12425480792961263,0.22901241156763177,0.7533774544797955,0.1293354296057446,0.6057996531173394,0.5784564948530457,0.7764118611324664,0.6820367589207524,0.7942331754046871,0.3568547203610484,0.778076449900694,0.21669646116881938
C1,no,Insulin,11.111111111111112,0.0877721124052187,0.7285266342774583,0.12421210808591195,0.22901370136629626,0.7533765518515125,0.12926040424876364,0.6057989524950476,0.5784554475710563,0.776410326333183,0.6820367616682068,0.7942338573455058,0.3568544437580191,0.7780750060302014,0.21669197653081815
C1,no,Insulin,11.616161616161618,0.08773320526414653,0.728525982597607,0.12418226732958487,0.22901448260008977,0.7533759988689102,0.12920793890799806,0.6057984999975309,0.5784547728650135,0.7764093700405496,0.6820367631581121,0.7942341087399442,0.3568542501680848,0.7780741177658406,0.21668873632049904
C1,no,Insulin,12.121212121212121,0.08770602982599196,0.7285255795208215,0.12416142408454822,0.2290149554085571,0.7533756596064387,0.1291712636095411,0.6057982025367695,0.578454336523167,0.7764087728145123,0.6820367639471554,0.7942341641525298,0.3568541146152281,0.7780735706476636,0.21668640734802905
C1,no,Insulin,12.626262626262626,0.08768704857202185,0.7285253294103352,0.12414686350917505,0.2290152417161592,0.7533754511494919,0.12914563067898926,0.6057980129388464,0.5784540529711889,0.7764083984679874,0.6820367643504771,0.7942341409074887,0.35685401985689236,0.7780732327542961,0.21668474095504767
C1,no,Insulin,13.131313131313131,0.08767379189989437,0.7285251737863597,0.12413669405501523,0.2290154150427412,0.7533753227691604,0.12912771934413483,0.605797887734545,0.5784538678385169,0.776408163003962,0.6820367645486878,0.7942340929038978,0.3568539535857761,0.7780730236001071,0.21668355345247195
C1,no,Insulin,13.636363636363637,0.08766453435512167,0.728525076640451,0.12412959240834358,0.2290155199714287,0.7533752435315259,0.12911520628408038,0.6057978042387611,0.5784537463933689,0.7764080143200301,0.6820367646398767,0.7942340436776654,0.3568539072599959,0.7780728937825658,0.21668271020591603
C1,no,Insulin,14.141414141414142,0.0876580638942334,0.7285250156887685,0.12412462898607868,0.22901558360543295,0.753375194424519,0.1291064576187375,0.6057977490919766,0.5784536662441699,0.7764079198961964,0.6820367646759292,0.7942340018268824,0.35685387485500647,0.778072812834303,0.21668211272156576
C1,no,Insulin,14.646464646464647,0.08765355024282533,0.7285249774387959,0.12412116672396559,0.22901562203300954,0.7533751640242384,0.12910035314004006,0.6057977124911469,0.5784536132461608,0.7764078598676302,0.6820367646850667,0.7942339692129103,0.35685385223544114,0.7780727623797715,0.2166816911896508
C1,no,Insulin,15.151515151515152,0.08765040461349458,0.7285249533545095,0.12411875391504734,0.22901564522088555,0.7533751451614442,0.12909609794226556,0.6057976880587098,0.5784535780684245,0.7764078215542032,0.6820367646823976,0.7942339451524801,0.3568538364634139,0.7780727308414281,0.2166813947460079
C1,no,Insulin,15.656565656565657,0.08764820242477847,0.7285249379699809,0.12411706482137082,0.22901565939270535,0.7533751332893345,0.12909311848870636,0.6057976716405343,0.5784535544507474,0.7764077967534033,0.6820367646756123,0.7942339279903222,0.35685382541756705,0.778072710841812,0.21668118581662524
C1,no,Insulin,16.161616161616163,0.08764666617422959,0.728524928207515,0.12411588651075894,0.22901566792491665,0.7533751258835434,0.12909103970582914,0.6057976605736535,0.5784535386381613,0.7764077807802835,0.6820367646678018,0.7942339159278134,0.35685381770988556,0.7780726982560998,0.2166810392135937
C1,no,Insulin,16.666666666666668,0.08764559440088139,0.728524921955089,0.1241150644808804,0.22901567309800458,0.7533751212209655,0.12908958926960437,0.6057976529604651,0.5784535279887562,0.7764077704014329,0.6820367646608521,0.794233907661541,0.3568538123312547,0.778072690262055,0.21668093651440629
C1,no,Insulin,17.171717171717173,0.08764484382495477,0.7285249178852619,0.12411448885863605,0.22901567628984648,0.7533751182339915,0.12908857343056715,0.605797647639949,0.578453520742591,0.7764077635559784,0.6820367646552948,0.794233902072523,0.35685380856329135,0.7780726850985376,0.2166808644082491
C1,no,Insulin,17.67676767676768,0.08764431938717351,0.7285249152586835,0.12411408671184761,0.22901567821706664,0.7533751163425176,0.1290878635869974,0.6057976440671328,0.5784535158282831,0.7764077590700242,0.682036764650765,0.7942338982793539,0.3568538059293996,0.7780726817963318,0.21668081390167335
C1,no,Insulin,18.181818181818183,0.0876439536989199,0.7285249135796158,0.12411380627889587,0.22901567934801592,0.7533751151615716,0.1290873685664523,0.6057976419586986,0.5784535125058373,0.776407756150723,0.682036764646848,0.7942338956924807,0.3568538040927053,0.7780726797084864,0.2166807785990001
