,,,Slide ID,a,c,f,e,b,d
,,,Antibody Name,a,c,f,e,b,d
,,,HUGO ID,a,c,f,e,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,7.718120805369128,0.02168396086593162,0.010700392420230201,0.00041777950395226784,0.006807994268429549,9.779482658546607e-05,0.030507691765432828
C1,no,Insulin,8.053691275167786,0.021108396493079218,0.010377388359668614,0.00039689164878276836,0.006587794852189366,9.182147979319128e-05,0.029815612759136127
C1,no,Insulin,8.389261744966444,0.020619052408310398,0.010103871761976689,0.0003795690510725387,0.006401756522828789,8.692705627330541e-05,0.0292249252766025
C1,no,Insulin,8.724832214765101,0.020202193137932506,0.009871681682248959,0.0003651266926769448,0.006244135301697048,8.288865210497333e-05,0.028720022391181238
C1,no,Insulin,9.060402684563758,0.019846460963759263,0.009674138379237298,0.0003530296499300447,0.006110258220001197,7.953626966596571e-05,0.02828787607205151
C1,no,Insulin,9.395973154362416,0.019542419192925754,0.009505742738830099,0.0003428557715602123,0.005996298309954787,7.673861163713812e-05,0.027917562833719316
C1,no,Insulin,9.731543624161075,0.019282201841080343,0.009361947415046382,0.00033426895359861173,0.005899106343872116,7.439310129775396e-05,0.027599910445939686
C1,no,Insulin,10.067114093959733,0.019059220533231423,0.009238971992661086,0.0003269991246409753,0.0058160742854601885,7.241878012749647e-05,0.027327173996332308
C1,no,Insulin,10.40268456375839,0.018867948457891696,0.009133664817148236,0.0003208278922693805,0.005745036414686233,7.075115314695889e-05,0.027092821947906645
C1,no,Insulin,10.738255033557047,0.018703719745102404,0.009043380666276054,0.00031557677743785127,0.005684180255081967,6.933826904699943e-05,0.026891303811790043
C1,no,Insulin,11.073825503355705,0.01856259055122345,0.008965894816875902,0.0003110992758136717,0.00563198581875434,6.813800635676192e-05,0.026717906036299324
C1,no,Insulin,11.409395973154362,0.018441229549955744,0.008899337066471818,0.00030727494568807517,0.005587178158265143,6.711614925059623e-05,0.026568625801527693
C1,no,Insulin,11.74496644295302,0.018336808737454434,0.008842125012351433,0.0003040035976435757,0.005548681460920492,6.624448888310412e-05,0.02644005642748952
C1,no,Insulin,12.080536912751679,0.018246916680540695,0.008792913448025925,0.00030120160579126363,0.005515583237998763,6.549963364953234e-05,0.026329292015132143
C1,no,Insulin,12.416107382550337,0.01816949163618351,0.008750557511628848,0.00029879867298074776,0.005487106214584204,6.48621887424152e-05,0.026233817411178226
C1,no,Insulin,12.751677852348994,0.018102777624568495,0.008714083881706785,0.0002967358685350938,0.005462591748864002,6.431596498257984e-05,0.026151495944542892
C1,no,Insulin,13.087248322147651,0.018045274337912122,0.008682662919907182,0.00029496366853659997,0.0054414790420086205,6.384742236317361e-05,0.02608050065244212
C1,no,Insulin,13.422818791946309,0.017995696001456247,0.008655584922967967,0.00029344005307340587,0.005423288914307104,6.344513598142455e-05,0.026019261968821508
C1,no,Insulin,13.758389261744966,0.017952940028869647,0.008632242429386167,0.00029212930123080687,0.005407611492215398,6.309945100880833e-05,0.025966429167241838
C1,no,Insulin,14.093959731543626,0.017916061069114846,0.008612115486357444,0.0002910010937701877,0.005394096167768966,6.28022080804711e-05,0.025920842134100546
C1,no,Insulin,14.429530201342283,0.017884244494291258,0.008594756607326864,0.00029002952676672933,0.0053824413997539365,6.254645609507071e-05,0.025881500665622937
C1,no,Insulin,14.76510067114094,0.017856788179227895,0.008579780500344275,0.00028919241335230986,0.005372387741812432,6.232625850824218e-05,0.02584754194582196
C1,no,Insulin,15.100671140939598,0.017833090112111302,0.008566857185215857,0.00028847084788927575,0.005363713132134244,6.213657459543815e-05,0.02581822501177136
C1,no,Insulin,15.436241610738255,0.017812634107119904,0.008555704025426948,0.0002878487200784724,0.0053562274501702265,6.197312170610273e-05,0.025792913734582028
C1,no,Insulin,15.771812080536913,0.017794975990185518,0.008546077990598517,0.00028731223178813216,0.005349767288036322,6.183223878267416e-05,0.025771060459941385
C1,no,Insulin,16.107382550335572,0.017779731660515892,0.008537769020342496,0.00028684949380594973,0.005344191430160273,6.171077388502497e-05,0.025752191600632978
C1,no,Insulin,16.44295302013423,0.017766570277417144,0.008530596266854856,0.0002864502899872914,0.00533937836306337,6.16060235926172e-05,0.02573589894561986
C1,no,Insulin,16.778523489932887,0.017755206178639748,0.008524403662618496,0.0002861058264640527,0.005335223230179285,6.151566394956562e-05,0.02572182979799676
C1,no,Insulin,17.114093959731544,0.01774539171064625,0.008519055955060039,0.0002858084895362562,0.005331635175898795,6.143768579909414e-05,0.025709678105971474
C1,no,Insulin,17.449664429530202,0.017736915463875746,0.008514437785453499,0.0002855518149441296,0.005328536722859076,6.137038706583883e-05,0.025699182380828516
C1,no,Insulin,17.78523489932886,0.017729594554680345,0.008510449370787862,0.00028533021627150367,0.00532586087100734,6.131229718799558e-05,0.025690116462504263
C1,no,Insulin,18.120805369127517,0.017723271381611987,0.008507004748573336,0.0002851388928276287,0.005323549913906171,6.126215312297548e-05,0.025682285505714598
C1,no,Insulin,18.456375838926174,0.01771781014634816,0.00850402983989075,0.000284973705591757,0.005321554138960172,6.12188657870489e-05,0.025675521677849655
C1,no,Insulin,18.79194630872483,0.017713094526066623,0.008501461228523327,0.0002848311187718656,0.005319830984440811,6.118150656123959e-05,0.025669681017874764
C1,no,Insulin,19.12751677852349,0.017709021405752624,0.008499242650527464,0.00028470798411229896,0.005318342696138004,6.114924662058532e-05,0.025664636112629292
C1,no,Insulin,19.46308724832215,0.01770550471802413,0.008497327215383835,0.00028460169437654264,0.005317057800379089,6.112140240149835e-05,0.0256602803278741
C1,no,Insulin,19.798657718120808,0.01770246627057289,0.008495672292120744,0.000284509867282165,0.005315947670608499,6.10973482644627e-05,0.025656516786671718
C1,no,Insulin,20.134228187919465,0.017699842178935853,0.00849424307999544,0.0002844305711126377,0.005314988957594017,6.107657780690614e-05,0.025653266395500394
C1,no,Insulin,20.469798657718123,0.017697574270098864,0.008493007898318418,0.00028436204620900903,0.005314160388700964,6.105863011763717e-05,0.025650457012099233
C1,no,Insulin,20.80536912751678,0.017695614968371638,0.008491940821320789,0.00028430285205118677,0.00531344457957883,6.104312733490993e-05,0.025648029789255917
C1,no,Insulin,21.140939597315437,0.017693921684470343,0.008491018648661369,0.0002842517036258434,0.0053128259773542325,6.10297325854905e-05,0.025645932074009364
C1,no,Insulin,21.476510067114095,0.01769245887474197,0.00849022201421348,0.00028420752393171363,0.005312291590678202,6.101816357899321e-05,0.025644119838586624
C1,no,Insulin,21.812080536912752,0.01769119501374712,0.008489533727027907,0.00028416935625199933,0.005311829901989562,6.1008169013132065e-05,0.025642554152786472
C1,no,Insulin,22.14765100671141,0.01769010356468299,0.008488939338362003,0.0002841363988279688,0.005311431211347105,6.099953903651494e-05,0.02564120209394821
C1,no,Insulin,22.483221476510067,0.01768916059041027,0.008488425802613268,0.0002841079235046557,0.005311086758579266,6.099208268035574e-05,0.025640033966746214
C1,no,Insulin,22.818791946308725,0.017688347223382642,0.00848798284876516,0.0002840833646309201,0.005310789664694728,6.098565184731416e-05,0.025639026475583235
C1,no,Insulin,23.154362416107382,0.01768764489536959,0.008487600370744064,0.00028406216003997267,0.0053105331314601085,6.0980099474942866e-05,0.025638156513485017
C1,no,Insulin,23.48993288590604,0.01768703795236698,0.0084872698470093,0.0002840438364840117,0.005310311433821312,6.0975301738087686e-05,0.025637404637552645
C1,no,Insulin,23.8255033557047,0.01768651477342387,0.008486984929055492,0.0002840280390078919,0.005310120334553766,6.0971165252882256e-05,0.02563675655460855
C1,no,Insulin,24.161073825503358,0.0176860622657496,0.008486738488321193,0.00028401437141779915,0.005309955046647021,6.0967586372935844e-05,0.025636196006957712
C1,no,Insulin,24.496644295302016,0.017685671414448465,0.008486525631472225,0.00028400256554380243,0.005309812270911819,6.0964495150094166e-05,0.0256357117575579
C1,no,Insulin,24.832214765100673,0.017685333551859892,0.008486341651423505,0.00028399236339712674,0.005309688837200359,6.09618242387039e-05,0.025635293021533133
C1,no,Insulin,25.16778523489933,0.017685040694413918,0.008486182205545359,0.00028398352609838683,0.00530958183077064,6.095951114536795e-05,0.025634929913974633
C1,no,Insulin,25.503355704697988,0.017684787740949375,0.008486044472900592,0.0002839758901021847,0.00530948941633082,6.095751232047458e-05,0.025634616372484303
C1,no,Insulin,25.838926174496645,0.017684568927293823,0.00848592530050599,0.00028396928004029945,0.005309409504866035,6.095578153839753e-05,0.025634345398297124
C1,no,Insulin,26.174496644295303,0.017684379661540187,0.00848582220834051,0.0002839635610301284,0.005309340397726767,6.0954283833231535e-05,0.025634111124383272
C1,no,Insulin,26.51006711409396,0.017684215873578612,0.008485733025818622,0.00028395861815513603,0.005309280561097815,6.095298992284533e-05,0.025633908112626468
C1,no,Insulin,26.845637583892618,0.01768407378568703,0.008485655709942998,0.0002839543393088754,0.005309228595106303,6.095187068331227e-05,0.02563373152943929
C1,no,Insulin,27.181208053691275,0.017683951490129905,0.008485589135420636,0.00028395065298021655,0.005309183907195073,6.095090587626458e-05,0.02563357987200643
C1,no,Insulin,27.516778523489933,0.01768384603037213,0.008485531666875894,0.00028394746547735,0.0053091454522214065,6.0950070542528075e-05,0.02563344976648588
C1,no,Insulin,27.85234899328859,0.017683755180083305,0.008485482125521335,0.00028394471435104875,0.0053091123694570565,6.094934895182785e-05,0.02563333805936167
C1,no,Insulin,28.18791946308725,0.017683676727742677,0.008485439402494507,0.0002839423471550891,0.005309083719936566,6.094872910115665e-05,0.025633240920051606
C1,no,Insulin,28.52348993288591,0.017683608714150357,0.008485402377330488,0.00028394029510679756,0.0053090588517086465,6.094819210883855e-05,0.02563315644044547
C1,no,Insulin,28.859060402684566,0.017683549819186115,0.00848537032914162,0.00028393851918499823,0.0053090372938937565,6.0947727654770895e-05,0.02563308308816761
C1,no,Insulin,29.194630872483224,0.017683498966154447,0.008485342663304706,0.0002839369870741887,0.005309018675276698,6.094732704469578e-05,0.02563301972344665
C1,no,Insulin,29.53020134228188,0.01768345483261368,0.008485318637793103,0.0002839356551697281,0.005309002540897176,6.0946978498620104e-05,0.025632964937324452
C1,no,Insulin,29.86577181208054,0.01768341649582177,0.008485297767118457,0.0002839344980287551,0.005308988527614161,6.094667567086549e-05,0.02563291736514661
C1,no,Insulin,30.201342281879196,0.01768338323553251,0.008485279659557086,0.00028393349412939793,0.005308976371494582,6.094641293119925e-05,0.02563287610492945
C1,no,Insulin,30.536912751677853,0.01768335453452134,0.008485264020365552,0.00028393262627926774,0.005308965903480413,6.094618552694555e-05,0.025632840679907218
C1,no,Insulin,30.87248322147651,0.017683329527049714,0.008485250391639358,0.00028393186983132374,0.005308956785812205,6.0945987275013675e-05,0.025632809839549794
C1,no,Insulin,31.20805369127517,0.01768330786669031,0.008485238586294047,0.00028393121452655664,0.0053089488886701825,6.094581552207269e-05,0.02563278312544453
C1,no,Insulin,31.543624161073826,0.017683289329226158,0.008485228485868888,0.0002839306540191,0.005308942123431802,6.0945668680878565e-05,0.025632760201927982
C1,no,Insulin,31.879194630872483,0.01768327315082384,0.008485219668295648,0.00028393016458272684,0.0053089362233753505,6.0945540408358105e-05,0.02563274023128185
C1,no,Insulin,32.214765100671144,0.01768325922984895,0.008485212084016553,0.00028392974379754936,0.005308931141600763,6.09454301864728e-05,0.02563272300579862
C1,no,Insulin,32.5503355704698,0.017683247316547662,0.008485205598430752,0.00028392938428074084,0.005308926785042847,6.0945336107948406e-05,0.025632708202267592
C1,no,Insulin,32.88590604026846,0.017683236768017647,0.008485199852519873,0.0002839290656203322,0.005308922932134784,6.094525265865926e-05,0.025632695129121533
C1,no,Insulin,33.22147651006711,0.01768322763586146,0.00848519487956581,0.00028392878994489836,0.005308919594637831,6.0945180492135615e-05,0.025632683796280437
C1,no,Insulin,33.557046979865774,0.01768321980432938,0.008485190616463198,0.0002839285537381185,0.005308916730927256,6.094511868423846e-05,0.025632674067406724
C1,no,Insulin,33.89261744966443,0.017683213217846844,0.008485187032731293,0.0002839283552796387,0.0053089143216839005,6.094506677789974e-05,0.025632665883707058
C1,no,Insulin,34.22818791946309,0.017683207350734503,0.008485183841110378,0.00028392817861271747,0.005308912174108469,6.094502058576426e-05,0.025632658579936195
C1,no,Insulin,34.56375838926175,0.017683202228831116,0.008485181055118857,0.00028392802443172343,0.005308910299116953,6.094498027670545e-05,0.02563265220216535
C1,no,Insulin,34.899328859060404,0.017683197861404484,0.008485178679015095,0.0002839278929066689,0.005308908701595328,6.094494587919432e-05,0.025632646775016893
C1,no,Insulin,35.234899328859065,0.01768319423645563,0.008485176705234635,0.0002839277835412376,0.00530890737866581,6.0944917244130406e-05,0.025632642295607334
C1,no,Insulin,35.57046979865772,0.017683191119174376,0.008485175007491486,0.00028392768944295163,0.005308906241858616,6.094489259816036e-05,0.02563263845072854
C1,no,Insulin,35.90604026845638,0.017683188336441596,0.008485173492666498,0.0002839276055276415,0.005308905225883816,6.094487063331259e-05,0.02563263500877664
C1,no,Insulin,36.241610738255034,0.017683185976397665,0.00848517220735177,0.00028392753427459603,0.005308904364931008,6.0944851972803244e-05,0.025632632094676477
C1,no,Insulin,36.577181208053695,0.017683184024392697,0.008485171143493933,0.0002839274752281038,0.005308903653484596,6.094483649713489e-05,0.025632629688368512
C1,no,Insulin,36.91275167785235,0.017683182417792227,0.008485170267184606,0.00028392742652508647,0.00530890306843587,6.094482372190155e-05,0.025632627710649836
C1,no,Insulin,37.24832214765101,0.017683180964009938,0.008485169474331804,0.0002839273824672606,0.005308902539149426,6.094481216576389e-05,0.025632625922791724
C1,no,Insulin,37.58389261744966,0.01768317973349164,0.008485168803188928,0.00028392734516116474,0.005308902090976716,6.0944802380629256e-05,0.02563262440781316
C1,no,Insulin,37.919463087248324,0.017683178708586027,0.008485168244461178,0.00028392731411785316,0.0053089017170274005,6.094479424420092e-05,0.025632623140465344
C1,no,Insulin,38.25503355704698,0.017683177878758942,0.008485167792748407,0.0002839272890663132,0.005308901413002924,6.09447876915042e-05,0.025632622104289488
C1,no,Insulin,38.59060402684564,0.017683177128958408,0.008485167384031949,0.0002839272663549946,0.005308901139108304,6.0944781740536194e-05,0.025632621174343343
C1,no,Insulin,38.9261744966443,0.01768317649143948,0.008485167036691131,0.0002839272470691982,0.00530890090597106,6.094477669019394e-05,0.02563262038174534
C1,no,Insulin,39.261744966442954,0.017683175954729246,0.008485166744527779,0.00028392723087320354,0.005308900709462891,6.094477245292032e-05,0.025632619712990693
C1,no,Insulin,39.597315436241615,0.017683175512955635,0.008485166504389276,0.0002839272176003461,0.00530890054752993,6.094476898524595e-05,0.025632619161771744
C1,no,Insulin,39.93288590604027,0.017683175061667777,0.00848516625891703,0.00028392720400149377,0.005308900381684907,6.0944765432234825e-05,0.025632618594241326
C1,no,Insulin,40.26845637583893,0.017683174620830706,0.008485166019092404,0.00028392719070487714,0.005308900219432515,6.094476195878368e-05,0.02563261803741417
C1,no,Insulin,40.604026845637584,0.017683174215629656,0.00848516579873314,0.000283927178495903,0.005308900070211189,6.0944758770751096e-05,0.025632617525009848
C1,no,Insulin,40.939597315436245,0.017683173849232976,0.008485165599525337,0.000283927167467065,0.0053088999353254895,6.094475589127849e-05,0.025632617062226772
C1,no,Insulin,41.2751677852349,0.017683173529460573,0.008485165425678974,0.0002839271578502848,0.005308899817803525,6.094475337979917e-05,0.025632616660232747
C1,no,Insulin,41.61073825503356,0.01768317326878389,0.008485165283927914,0.0002839271500169122,0.005308899722396958,6.094475133203837e-05,0.02563261633616496
C1,no,Insulin,41.946308724832214,0.017683173084325925,0.008485165183529904,0.0002839271444777249,0.005308899655580999,6.094474988001321e-05,0.02563261611313
C1,no,Insulin,42.281879194630875,0.017683172997861214,0.008485165136266577,0.0002839271418829289,0.005308899625554415,6.094474919203274e-05,0.025632616020203825
C1,no,Insulin,42.61744966442953,0.01768317276249595,0.008485165008350106,0.0002839271348272592,0.005308899539559795,6.0944747347929816e-05,0.0256326157290473
C1,no,Insulin,42.95302013422819,0.01768317251006042,0.008485164871200867,0.0002839271272606262,0.0053088994470933655,6.094474537184086e-05,0.025632615414627944
C1,no,Insulin,43.28859060402685,0.017683172279302706,0.008485164745807868,0.00028392712034203485,0.005308899362658673,6.094474356441927e-05,0.025632615127943587
C1,no,Insulin,43.624161073825505,0.017683172080867927,0.008485164637936601,0.00028392711438784675,0.0053088992901777375,6.0944742007979465e-05,0.025632614882413675
C1,no,Insulin,43.959731543624166,0.017683171927958236,0.008485164554741553,0.00028392710979105175,0.00530889923450927,6.094474080484508e-05,0.025632614694642317
C1,no,Insulin,44.29530201342282,0.017683171836332792,0.008485164504766211,0.0002839271070212678,0.005308899201448669,6.0944740077348944e-05,0.025632614584418307
C1,no,Insulin,44.63087248322148,0.017683171824307783,0.008485164497943074,0.0002839271066247412,0.0053088991977280195,6.0944739967833106e-05,0.025632614574715096
C1,no,Insulin,44.966442953020135,0.017683171912756406,0.008485164545593633,0.0002839271092243466,0.005308899231016093,6.09447406386488e-05,0.02563261469169082
C1,no,Insulin,45.302013422818796,0.01768317183290439,0.00848516450201634,0.0002839271068068917,0.005308899202277476,6.094474000316272e-05,0.025632614596199935
C1,no,Insulin,45.63758389261745,0.017683171769205246,0.008485164467219596,0.00028392710487351456,0.005308899179429354,6.094473949424917e-05,0.025632614520605904
C1,no,Insulin,45.97315436241611,0.017683171725376253,0.008485164443232527,0.0002839271035367059,0.005308899163804923,6.094473914150338e-05,0.025632614469312493
C1,no,Insulin,46.308724832214764,0.017683171705034823,0.008485164432032885,0.00028392710290636367,0.005308899156695338,6.0944738973898794e-05,0.02563261444655764
C1,no,Insulin,46.644295302013425,0.017683171712435695,0.008485164435946713,0.00028392710311177466,0.00530889915962127,6.0944739025511514e-05,0.025632614457343092
C1,no,Insulin,46.97986577181208,0.017683171752470934,0.008485164457648332,0.0002839271043016141,0.005308899174332916,6.094473933552027e-05,0.025632614507434426
C1,no,Insulin,47.31543624161074,0.017683171830669937,0.008485164500160361,0.000283927106643946,0.0053088992028099925,6.094473994820644e-05,0.025632614603361033
C1,no,Insulin,47.6510067114094,0.017683171942460957,0.008485164560994265,0.0002839271100014427,0.005308899243397272,6.094474082757637e-05,0.025632614739590994
C1,no,Insulin,47.986577181208055,0.017683171998982113,0.00848516459166924,0.0002839271116875719,0.005308899264106104,6.094474126751162e-05,0.025632614809925798
C1,no,Insulin,48.322147651006716,0.017683172062301813,0.008485164626059923,0.00028392711358073364,0.0053088992872634645,6.094474176192117e-05,0.025632614888428357
C1,no,Insulin,48.65771812080537,0.01768317213067604,0.008485164663222317,0.0002839271156294625,0.005308899312232241,6.094474229740007e-05,0.025632614972951887
C1,no,Insulin,48.99328859060403,0.01768317220226708,0.008485164702161825,0.00028392711777957196,0.005308899338341767,6.094474285983387e-05,0.025632615061240364
C1,no,Insulin,49.328859060402685,0.01768317227514351,0.008485164741833253,0.00028392711997415464,0.005308899364887823,6.09447434343986e-05,0.025632615150928496
C1,no,Insulin,49.664429530201346,0.01768317234728021,0.008485164781140803,0.00028392712215358196,0.005308899391132634,6.0944744005560785e-05,0.025632615239541735
C1,no,Insulin,50.0,0.017683172416558358,0.008485164818938086,0.00028392712425550455,0.005308899416304868,6.0944744557077455e-05,0.02563261532449626
