,,,Slide ID,e,a,c,d,b
,,,Antibody Name,e,a,c,d,b
,,,HUGO ID,e,a,c,d,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,13.087248322147651,0.052904885663449086,0.08852316561380896,0.010113549932705669,0.013124522933375725,0.049662394138491044
C1,no,Insulin,13.422818791946309,0.05290140892281701,0.08851572369911881,0.010112264726525584,0.013123018524208753,0.04965726060603575
C1,no,Insulin,13.758389261744966,0.05289867154608399,0.08850986129726274,0.01011125204554013,0.01312183326907716,0.049653216685796406
C1,no,Insulin,14.093959731543626,0.05289652235919438,0.08850524843877285,0.010110454187779994,0.013120899814451067,0.0496500343441682
C1,no,Insulin,14.429530201342283,0.05289483535972443,0.08850162114467967,0.01010982624204453,0.013120165295833925,0.04964753224062014
C1,no,Insulin,14.76510067114094,0.05289350298102643,0.08849876619129074,0.010109333218861845,0.013119588241733876,0.04964556433937021
C1,no,Insulin,15.100671140939598,0.05289244964858909,0.0884965191875121,0.010108946382694436,0.01311913511120257,0.04964401673727823
C1,no,Insulin,15.436241610738255,0.05289161899315925,0.08849474873301108,0.010108641735938013,0.013118778225486707,0.04964279731036286
C1,no,Insulin,15.771812080536913,0.05289096745553922,0.08849335510349864,0.010108401347611692,0.013118496799383874,0.049641836837264336
C1,no,Insulin,16.107382550335572,0.05289045709642388,0.08849225827623718,0.01010821154876146,0.01311827478721881,0.049641080332743184
C1,no,Insulin,16.44295302013423,0.05289005621526666,0.08849139478128118,0.01010806192500839,0.013118099825498053,0.049640484710655325
C1,no,Insulin,16.778523489932887,0.05288973885765172,0.08849071449430283,0.010107944440760712,0.013117962326640524,0.049640015899618944
C1,no,Insulin,17.114093959731544,0.052889487921484894,0.08849017895116955,0.010107852237224511,0.013117854329914276,0.049639647139456344
C1,no,Insulin,17.449664429530202,0.05288928966614707,0.08848975733132593,0.010107779818907559,0.013117769457912999,0.049639356950083084
C1,no,Insulin,17.78523489932886,0.05288913483525694,0.0884894256510957,0.010107722561479196,0.013117702442729268,0.049639128355760495
C1,no,Insulin,18.120805369127517,0.05288901357681296,0.0884891645925425,0.010107677341218285,0.01311764956244213,0.049638948278794934
C1,no,Insulin,18.456375838926174,0.05288891857935648,0.08848895907798693,0.010107641625779337,0.013117607831513927,0.04963880641063022
C1,no,Insulin,18.79194630872483,0.052888843478318216,0.08848879715619969,0.010107613552242897,0.013117575008577614,0.04963869472670902
C1,no,Insulin,19.12751677852349,0.05288878407218482,0.08848866968510616,0.010107591524774218,0.013117549232669536,0.049638606887431165
C1,no,Insulin,19.46308724832215,0.052888736558072746,0.0884885693099758,0.010107574366111887,0.013117529098571662,0.049638537902906725
C1,no,Insulin,19.798657718120808,0.0528886991871323,0.08848849041067859,0.010107560885964905,0.013117513279152655,0.049638483681004694
C1,no,Insulin,20.134228187919465,0.052888669840831765,0.08848842847704204,0.01010755030730762,0.01311750086464193,0.04963844110702696
C1,no,Insulin,20.469798657718123,0.05288864712031034,0.08848837971417493,0.010107541880500176,0.013117491004873513,0.049638407486715136
C1,no,Insulin,20.80536912751678,0.05288862959573454,0.08848834141909644,0.010107535180604518,0.013117483190305224,0.049638380993986535
C1,no,Insulin,21.140939597315437,0.05288861564318607,0.0884883109880492,0.010107529861402051,0.013117476984105154,0.04963835995042412
C1,no,Insulin,21.476510067114095,0.052888604712454025,0.08848828695047596,0.010107525635671522,0.013117472060499619,0.04963834330625331
C1,no,Insulin,21.812080536912752,0.05288859568957185,0.08848826778055596,0.010107522343272156,0.013117468201532968,0.04963833011248178
C1,no,Insulin,22.14765100671141,0.05288858840347963,0.08848825265367626,0.010107519788094694,0.013117465193649949,0.04963831974930951
C1,no,Insulin,22.483221476510067,0.05288858257202542,0.08848824076586206,0.010107517808747819,0.01311746285509667,0.04963831163602945
C1,no,Insulin,22.818791946308725,0.05288857742820758,0.08848823148830218,0.010107516415552478,0.01311746116185199,0.04963830546717599
C1,no,Insulin,23.154362416107382,0.05288857366793824,0.0884882243516934,0.010107515296176225,0.013117459818047251,0.049638300676978116
C1,no,Insulin,23.48993288590604,0.052888571436260134,0.0884882189087671,0.010107514283151238,0.013117458654736083,0.04963829686262168
C1,no,Insulin,23.8255033557047,0.05288856916509272,0.08848821467536752,0.010107513631559376,0.01311745786874192,0.049638294037352704
C1,no,Insulin,24.161073825503358,0.05288856773223888,0.08848821136303082,0.010107513033726982,0.013117457177223457,0.04963829173415765
C1,no,Insulin,24.496644295302016,0.05288856707024258,0.08848820870891722,0.010107512429513668,0.013117456514133386,0.04963828975529899
C1,no,Insulin,24.832214765100673,0.052888566354608015,0.0884882065231128,0.010107511974682694,0.01311745600532598,0.04963828816689231
C1,no,Insulin,25.16778523489933,0.05288856576759018,0.08848820467410887,0.010107511583164027,0.013117455568884759,0.04963828681066374
C1,no,Insulin,25.503355704697988,0.052888565214997664,0.0884882030792813,0.010107511255124735,0.01311745520065076,0.04963828564551944
