,,,Slide ID,b,c,e,a,d
,,,Antibody Name,b,c,e,a,d
,,,HUGO ID,b,c,e,a,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,22.222222222222225,0.14626609224872833,0.02675336962645879,0.1282334481818474,0.1197559634541948,0.16554587479109764
C1,no,Insulin,22.72727272727273,0.14626609240848631,0.02675336962646056,0.1282334481818453,0.1197559634542106,0.16554587479117178
C1,no,Insulin,23.232323232323235,0.14626609256824427,0.02675336962646233,0.12823344818184315,0.11975596345422641,0.1655458747912459
C1,no,Insulin,23.73737373737374,0.14626609272800226,0.0267533696264641,0.12823344818184104,0.11975596345424222,0.16554587479132005
C1,no,Insulin,24.242424242424242,0.14626609288776024,0.026753369626465868,0.1282334481818389,0.11975596345425803,0.16554587479139418
C1,no,Insulin,24.747474747474747,0.14626609300209037,0.026753369626467238,0.1282334481818374,0.11975596345426899,0.16554587479144675
C1,no,Insulin,25.252525252525253,0.14626609301839838,0.026753369626467752,0.12823344818183727,0.11975596345426952,0.16554587479145283
C1,no,Insulin,25.757575757575758,0.14626609303470642,0.026753369626468262,0.12823344818183713,0.11975596345427006,0.16554587479145888
C1,no,Insulin,26.262626262626263,0.14626609305101443,0.026753369626468775,0.12823344818183696,0.1197559634542706,0.16554587479146493
C1,no,Insulin,26.767676767676768,0.14626609306732247,0.026753369626469285,0.12823344818183682,0.11975596345427114,0.165545874791471
C1,no,Insulin,27.272727272727273,0.14626609308363048,0.026753369626469795,0.12823344818183668,0.11975596345427168,0.16554587479147706
C1,no,Insulin,27.77777777777778,0.14626609309993852,0.02675336962647031,0.12823344818183655,0.11975596345427222,0.16554587479148314
C1,no,Insulin,28.282828282828284,0.14626609311624653,0.02675336962647082,0.12823344818183638,0.11975596345427277,0.1655458747914892
C1,no,Insulin,28.78787878787879,0.14626609313255456,0.026753369626471332,0.12823344818183624,0.11975596345427329,0.16554587479149527
C1,no,Insulin,29.292929292929294,0.14626609314886257,0.026753369626471842,0.1282334481818361,0.11975596345427383,0.16554587479150132
C1,no,Insulin,29.7979797979798,0.1462660931651706,0.026753369626472352,0.12823344818183596,0.11975596345427438,0.1655458747915074
C1,no,Insulin,30.303030303030305,0.14626609318147862,0.026753369626472866,0.1282334481818358,0.11975596345427492,0.16554587479151345
C1,no,Insulin,30.80808080808081,0.14626609319778666,0.026753369626473376,0.12823344818183566,0.11975596345427546,0.16554587479151953
C1,no,Insulin,31.313131313131315,0.14626609321409467,0.02675336962647389,0.12823344818183552,0.119755963454276,0.16554587479152558
C1,no,Insulin,31.81818181818182,0.1462660932304027,0.0267533696264744,0.12823344818183538,0.11975596345427653,0.16554587479153166
C1,no,Insulin,32.323232323232325,0.14626609324671072,0.02675336962647491,0.1282334481818352,0.11975596345427707,0.1655458747915377
C1,no,Insulin,32.82828282828283,0.14626609326301876,0.026753369626475423,0.12823344818183507,0.11975596345427761,0.16554587479154378
C1,no,Insulin,33.333333333333336,0.14626609327295262,0.02675336962647573,0.12823344818183496,0.11975596345427793,0.16554587479154742
C1,no,Insulin,33.83838383838384,0.14626609327461731,0.026753369626475787,0.12823344818183496,0.11975596345427794,0.1655458747915479
C1,no,Insulin,34.343434343434346,0.14626609327628204,0.02675336962647584,0.12823344818183496,0.11975596345427796,0.16554587479154836
C1,no,Insulin,34.84848484848485,0.14626609327794676,0.02675336962647589,0.12823344818183494,0.11975596345427797,0.16554587479154884
C1,no,Insulin,35.35353535353536,0.1462660932796115,0.026753369626475947,0.12823344818183494,0.119755963454278,0.1655458747915493
C1,no,Insulin,35.85858585858586,0.1462660932812762,0.026753369626476,0.12823344818183494,0.11975596345427801,0.16554587479154978
C1,no,Insulin,36.36363636363637,0.14626609328294093,0.02675336962647605,0.1282334481818349,0.11975596345427802,0.16554587479155025
C1,no,Insulin,36.86868686868687,0.14626609328460563,0.026753369626476106,0.1282334481818349,0.11975596345427804,0.16554587479155072
C1,no,Insulin,37.37373737373738,0.14626609328627035,0.026753369626476158,0.1282334481818349,0.11975596345427805,0.16554587479155122
C1,no,Insulin,37.87878787878788,0.14626609328793508,0.026753369626476214,0.12823344818183488,0.11975596345427807,0.1655458747915517
C1,no,Insulin,38.38383838383839,0.1462660932895998,0.026753369626476266,0.12823344818183488,0.1197559634542781,0.16554587479155217
C1,no,Insulin,38.88888888888889,0.14626609329126453,0.026753369626476318,0.12823344818183488,0.11975596345427811,0.16554587479155264
C1,no,Insulin,39.3939393939394,0.14626609329292922,0.026753369626476373,0.12823344818183485,0.11975596345427812,0.1655458747915531
C1,no,Insulin,39.8989898989899,0.14626609329459395,0.026753369626476425,0.12823344818183485,0.11975596345427814,0.16554587479155358
C1,no,Insulin,40.40404040404041,0.14626609329625867,0.026753369626476477,0.12823344818183485,0.11975596345427815,0.16554587479155405
C1,no,Insulin,40.909090909090914,0.1462660932979234,0.026753369626476533,0.12823344818183482,0.11975596345427816,0.16554587479155453
C1,no,Insulin,41.41414141414142,0.14626609329958812,0.026753369626476585,0.12823344818183482,0.11975596345427818,0.165545874791555
C1,no,Insulin,41.919191919191924,0.14626609330034132,0.026753369626476606,0.12823344818183482,0.11975596345427819,0.16554587479155522
C1,no,Insulin,42.42424242424243,0.14626609330036042,0.026753369626476606,0.12823344818183482,0.11975596345427819,0.16554587479155522
C1,no,Insulin,42.929292929292934,0.1462660933003795,0.02675336962647661,0.12823344818183482,0.11975596345427819,0.16554587479155525
C1,no,Insulin,43.43434343434344,0.1462660933003986,0.02675336962647661,0.12823344818183482,0.11975596345427819,0.16554587479155525
C1,no,Insulin,43.939393939393945,0.1462660933004177,0.02675336962647661,0.12823344818183482,0.11975596345427819,0.16554587479155525
C1,no,Insulin,44.44444444444445,0.1462660933004368,0.02675336962647661,0.12823344818183482,0.11975596345427819,0.16554587479155525
C1,no,Insulin,44.949494949494955,0.1462660933004559,0.02675336962647661,0.12823344818183482,0.11975596345427819,0.16554587479155525
C1,no,Insulin,45.45454545454546,0.146266093300475,0.02675336962647661,0.12823344818183482,0.11975596345427819,0.16554587479155525
C1,no,Insulin,45.959595959595966,0.1462660933004941,0.02675336962647661,0.12823344818183482,0.11975596345427819,0.16554587479155525
C1,no,Insulin,46.46464646464647,0.14626609330051318,0.026753369626476613,0.12823344818183482,0.11975596345427819,0.16554587479155528
C1,no,Insulin,46.969696969696976,0.14626609330053228,0.026753369626476613,0.12823344818183482,0.11975596345427819,0.16554587479155528
C1,no,Insulin,47.47474747474748,0.14626609330055138,0.026753369626476613,0.12823344818183482,0.11975596345427819,0.16554587479155528
C1,no,Insulin,47.979797979797986,0.14626609330057047,0.026753369626476613,0.12823344818183482,0.11975596345427819,0.16554587479155528
C1,no,Insulin,48.484848484848484,0.14626609330058957,0.026753369626476613,0.12823344818183482,0.11975596345427819,0.16554587479155528
C1,no,Insulin,48.98989898989899,0.14626609330060866,0.026753369626476613,0.12823344818183482,0.11975596345427819,0.16554587479155528
C1,no,Insulin,49.494949494949495,0.14626609330062776,0.026753369626476613,0.12823344818183482,0.11975596345427819,0.16554587479155528
C1,no,Insulin,50.0,0.14626609330064685,0.026753369626476616,0.12823344818183482,0.11975596345427819,0.1655458747915553
