,,,Slide ID,b,d,e,a,c
,,,Antibody Name,b,d,e,a,c
,,,HUGO ID,b,d,e,a,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,26.262626262626263,0.0794207591642488,0.012248718145959094,0.0035140665478001192,0.11383389954790261,0.010054669909277844
C1,no,Insulin,26.767676767676768,0.07942075912516658,0.01224871812204042,0.003514066537464099,0.11383389946580899,0.010054669889389118
C1,no,Insulin,27.272727272727273,0.07942075908608434,0.012248718098121744,0.0035140665271280783,0.11383389938371538,0.01005466986950039
C1,no,Insulin,27.77777777777778,0.0794207590529097,0.012248718077543217,0.0035140665182278015,0.11383389931385737,0.010054669852394494
C1,no,Insulin,28.282828282828284,0.07942075905037978,0.012248718074291199,0.0035140665167752196,0.11383389930746976,0.0100546698497241
C1,no,Insulin,28.78787878787879,0.07942075904784984,0.012248718071039178,0.0035140665153226376,0.11383389930108215,0.010054669847053705
C1,no,Insulin,29.292929292929294,0.07942075904531992,0.01224871806778716,0.003514066513870056,0.11383389929469453,0.01005466984438331
C1,no,Insulin,29.7979797979798,0.07942075904278999,0.012248718064535142,0.003514066512417474,0.11383389928830692,0.010054669841712917
C1,no,Insulin,30.303030303030305,0.07942075904026007,0.012248718061283123,0.003514066510964892,0.11383389928191932,0.010054669839042522
C1,no,Insulin,30.80808080808081,0.07942075903773013,0.012248718058031103,0.0035140665095123105,0.11383389927553171,0.010054669836372128
C1,no,Insulin,31.313131313131315,0.07942075903520021,0.012248718054779084,0.0035140665080597286,0.1138338992691441,0.010054669833701733
C1,no,Insulin,31.81818181818182,0.07942075903267028,0.012248718051527066,0.0035140665066071466,0.11383389926275649,0.010054669831031338
C1,no,Insulin,32.323232323232325,0.07942075903014034,0.012248718048275048,0.003514066505154565,0.11383389925636887,0.010054669828360945
C1,no,Insulin,32.82828282828283,0.07942075902761042,0.012248718045023027,0.003514066503701983,0.11383389924998126,0.01005466982569055
C1,no,Insulin,33.333333333333336,0.07942075902508049,0.012248718041771009,0.0035140665022494015,0.11383389924359365,0.010054669823020156
C1,no,Insulin,33.83838383838384,0.07942075902255057,0.01224871803851899,0.0035140665007968195,0.11383389923720603,0.01005466982034976
C1,no,Insulin,34.343434343434346,0.07942075902002063,0.012248718035266972,0.0035140664993442376,0.11383389923081844,0.010054669817679366
C1,no,Insulin,34.84848484848485,0.07942075901881883,0.012248718033674996,0.0035140664986324983,0.11383389922775433,0.010054669816372505
C1,no,Insulin,35.35353535353536,0.07942075901881122,0.012248718033575696,0.0035140664985869085,0.11383389922767866,0.010054669816291701
C1,no,Insulin,35.85858585858586,0.07942075901880362,0.012248718033476396,0.0035140664985413186,0.11383389922760298,0.010054669816210898
C1,no,Insulin,36.36363636363637,0.07942075901879603,0.012248718033377097,0.003514066498495729,0.1138338992275273,0.010054669816130095
C1,no,Insulin,36.86868686868687,0.07942075901878842,0.012248718033277796,0.003514066498450139,0.11383389922745163,0.010054669816049291
C1,no,Insulin,37.37373737373738,0.07942075901878082,0.012248718033178497,0.003514066498404549,0.11383389922737595,0.010054669815968488
C1,no,Insulin,37.87878787878788,0.07942075901877323,0.012248718033079196,0.0035140664983589593,0.11383389922730028,0.010054669815887684
C1,no,Insulin,38.38383838383839,0.07942075901876562,0.012248718032979897,0.00351406649831337,0.1138338992272246,0.01005466981580688
C1,no,Insulin,38.88888888888889,0.07942075901875802,0.012248718032880596,0.00351406649826778,0.11383389922714893,0.010054669815726077
C1,no,Insulin,39.3939393939394,0.07942075901875041,0.012248718032781295,0.0035140664982221902,0.11383389922707325,0.010054669815645274
C1,no,Insulin,39.8989898989899,0.07942075901874282,0.012248718032681996,0.0035140664981766004,0.11383389922699759,0.01005466981556447
C1,no,Insulin,40.40404040404041,0.07942075901873522,0.012248718032582696,0.0035140664981310105,0.11383389922692191,0.010054669815483667
C1,no,Insulin,40.909090909090914,0.07942075901872761,0.012248718032483397,0.0035140664980854207,0.11383389922684624,0.010054669815402864
C1,no,Insulin,41.41414141414142,0.07942075901872,0.012248718032384096,0.003514066498039831,0.11383389922677056,0.01005466981532206
C1,no,Insulin,41.919191919191924,0.07942075901871241,0.012248718032284797,0.003514066497994241,0.11383389922669489,0.010054669815241257
C1,no,Insulin,42.42424242424243,0.07942075901870481,0.012248718032185496,0.003514066497948651,0.11383389922661921,0.010054669815160453
C1,no,Insulin,42.929292929292934,0.0794207590186972,0.012248718032086197,0.0035140664979030614,0.11383389922654354,0.01005466981507965
C1,no,Insulin,43.43434343434344,0.07942075901868961,0.012248718031986896,0.0035140664978574715,0.11383389922646786,0.010054669814998847
C1,no,Insulin,43.939393939393945,0.07942075901868201,0.012248718031887595,0.0035140664978118817,0.11383389922639219,0.010054669814918043
C1,no,Insulin,44.44444444444445,0.0794207590186744,0.012248718031788296,0.003514066497766292,0.11383389922631651,0.01005466981483724
C1,no,Insulin,44.949494949494955,0.0794207590186668,0.012248718031688996,0.003514066497720702,0.11383389922624083,0.010054669814756436
C1,no,Insulin,45.45454545454546,0.0794207590186592,0.012248718031589697,0.003514066497675112,0.11383389922616516,0.010054669814675633
C1,no,Insulin,45.959595959595966,0.0794207590186516,0.012248718031490396,0.0035140664976295224,0.11383389922608948,0.01005466981459483
C1,no,Insulin,46.46464646464647,0.079420759018644,0.012248718031391097,0.0035140664975839325,0.11383389922601382,0.010054669814514026
C1,no,Insulin,46.969696969696976,0.07942075901863639,0.012248718031291796,0.0035140664975383427,0.11383389922593815,0.010054669814433223
C1,no,Insulin,47.47474747474748,0.0794207590186288,0.012248718031192497,0.003514066497492753,0.11383389922586247,0.01005466981435242
C1,no,Insulin,47.979797979797986,0.0794207590186212,0.012248718031093196,0.003514066497447163,0.1138338992257868,0.010054669814271616
C1,no,Insulin,48.484848484848484,0.07942075901861359,0.012248718030993897,0.003514066497401573,0.11383389922571112,0.010054669814190812
C1,no,Insulin,48.98989898989899,0.079420759018606,0.012248718030894596,0.0035140664973559834,0.11383389922563544,0.010054669814110009
C1,no,Insulin,49.494949494949495,0.0794207590185984,0.012248718030795296,0.0035140664973103935,0.11383389922555977,0.010054669814029206
C1,no,Insulin,50.0,0.07942075901859079,0.012248718030695997,0.0035140664972648037,0.11383389922548409,0.010054669813948402
