,,,Slide ID,CycB,UbcH10,Cdc20,CycD,CycA,CycE,cdh1,E2F,Rb,p27
,,,Antibody Name,CycB,UbcH10,Cdc20,CycD,CycA,CycE,cdh1,E2F,Rb,p27
,,,HUGO ID,CycB,UbcH10,Cdc20,CycD,CycA,CycE,cdh1,E2F,Rb,p27
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,3.8681948424068766,0.5079134677878602,0.053434224008830675,0.22010691079728226,0.19370851160790778,0.18322218543652438,0.2771634027788689,0.7313322860492986,0.4425658874193118,0.5127805930570152,0.0476180762030192
C1,no,Insulin,4.011461318051576,0.5078764596766097,0.05304494862001674,0.22010188316036106,0.1928402426915912,0.18211572943612864,0.2758501834640822,0.7316463846498261,0.44244640533431334,0.5145610377444078,0.047553279929389465
C1,no,Insulin,4.154727793696275,0.5078426757017096,0.05269758579439964,0.22009618232542458,0.19209390610620694,0.1811804525176086,0.2747198350065062,0.7319165289818301,0.4423438954593307,0.5161142635886902,0.047512809639801
C1,no,Insulin,4.297994269340974,0.5078123289874541,0.05238783946449429,0.22009023894889948,0.19145216397714632,0.1803893533423171,0.2737467348568059,0.7321486518036323,0.44225542526397554,0.5174681421730793,0.04749093731529075
C1,no,Insulin,4.441260744985673,0.5077853916662701,0.052111818412688596,0.22008435120475545,0.19090019974360664,0.17971976734517092,0.2729088694172274,0.7323479543540206,0.4421786799762568,0.5186473385589851,0.047483097036672535
C1,no,Insulin,4.584527220630372,0.5077616970007072,0.05186600387431043,0.22007871544649746,0.19042532954624775,0.17915264523939275,0.27218731632907306,0.7325189782725996,0.44211181488183554,0.5196736450291022,0.047485658430885216
C1,no,Insulin,4.7277936962750715,0.507740989514839,0.05164721908794294,0.22007345274471338,0.1900167029538978,0.17867200140459846,0.2715658288578268,0.7326656750464554,0.4420533579678774,0.5205662780763064,0.047495761734969145
C1,no,Insulin,4.871060171919771,0.5077229860001725,0.05145260022926866,0.22006862734609411,0.18966501306037026,0.17826438106068904,0.271030438098535,0.7327914704721288,0.4420021114186488,0.5213421587646903,0.04751115624810697
C1,no,Insulin,5.014326647564469,0.5077073977299985,0.051279569241744614,0.22006426212603078,0.18936227682982257,0.1779184623077889,0.27056913813494704,0.7328993251361279,0.44195709137269573,0.5220161613297989,0.047530086789231055
C1,no,Insulin,5.1575931232091685,0.5076939411279094,0.05112580811789139,0.22006035616426298,0.1891016436700008,0.17762471586327994,0.2701716098015859,0.7329917934534217,0.4419174839571524,0.5226013454103865,0.047551198104914955
C1,no,Insulin,5.300859598853868,0.507682348261063,0.050989235166445136,0.22005689360537084,0.18887723172835577,0.17737511643463377,0.269828982368197,0.7330710751420364,0.44188260836478427,0.5231091620114097,0.047573455529590976
C1,no,Insulin,5.444126074498567,0.5076723791427394,0.050867983240811064,0.22005384357632451,0.18868398695772493,0.1771628960245107,0.2695336274963019,0.7331390587669248,0.44185188367499767,0.5235496347221763,0.04759607844135779
C1,no,Insulin,5.587392550143266,0.5076638157249644,0.050760379146597444,0.22005117046546405,0.1885175660611163,0.17698234705062738,0.2692789849625896,0.7331973656026441,0.4418248130978917,0.5239315313080353,0.047618489718052305
C1,no,Insulin,5.730659025787965,0.5076564657253457,0.05066492507623824,0.2200488401950536,0.1883742345411812,0.1768286510395038,0.26905941120762894,0.7332473852041588,0.44180096717026757,0.5242625116757134,0.04764027224214371
C1,no,Insulin,5.873925501432664,0.5076501602639301,0.05058028140516626,0.22004681463008627,0.18825078082688576,0.17669773805206657,0.26887005090616345,0.733290307778928,0.4417799706832467,0.5245492603236037,0.04766113490616784
