,,,Slide ID,f,a,g,e,b,d,c
,,,Antibody Name,f,a,g,e,b,d,c
,,,HUGO ID,f,a,g,e,b,d,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,14.646464646464647,0.024677173486237988,0.20685887839001554,0.1380908603893628,0.21949918999505494,0.1275413639974087,0.2146077714935892,0.12604962107063747
C1,no,Insulin,15.151515151515152,0.0246771727023501,0.2068588783895619,0.13809086030796722,0.21949919007884247,0.12754135462945962,0.21460777149470095,0.12604959006967537
C1,no,Insulin,15.656565656565657,0.02467717227084326,0.20685887839116704,0.13809086026115402,0.21949919013073385,0.127541349472507,0.21460777149461935,0.1260495719227713
C1,no,Insulin,16.161616161616163,0.024677172030429524,0.20685887839303135,0.13809086023775605,0.2194991901561738,0.12754134659474056,0.2146077714941067,0.1260495611438883
C1,no,Insulin,16.666666666666668,0.024677171893430213,0.20685887839347997,0.13809086022698247,0.21949919016594913,0.12754134495162184,0.21460777149378796,0.12604955464403844
C1,no,Insulin,17.171717171717173,0.024677171815018276,0.2068588783924538,0.13809086022134778,0.2194991901700453,0.12754134400989678,0.21460777149358579,0.1260495507232717
C1,no,Insulin,17.67676767676768,0.02467717177076889,0.2068588783913079,0.13809086021777175,0.2194991901730577,0.12754134347823226,0.21460777149339297,0.12604954837483784
C1,no,Insulin,18.181818181818183,0.02467717174604449,0.20685887839110062,0.13809086021555125,0.21949919017552813,0.12754134318174037,0.21460777149333887,0.12604954697305285
C1,no,Insulin,18.68686868686869,0.024677171732146813,0.20685887839163444,0.13809086021440564,0.21949919017699024,0.12754134301592118,0.21460777149347682,0.12604954613491184
C1,no,Insulin,19.191919191919194,0.02467717172426766,0.2068588783920971,0.13809086021391154,0.21949919017750913,0.1275413429221619,0.21460777149363774,0.12604954563261345
C1,no,Insulin,19.6969696969697,0.02467717171930565,0.2068588783922325,0.13809086021365571,0.21949919017765468,0.1275413428628481,0.21460777149370325,0.12604954530158646
C1,no,Insulin,20.202020202020204,0.02467717171331266,0.20685887839288308,0.13809086021333347,0.219499190178013,0.1275413427920731,0.2146077714939398,0.12604954491630563
C1,no,Insulin,20.70707070707071,0.024677171708963497,0.20685887839330297,0.13809086021309944,0.21949919017826874,0.12754134274059728,0.2146077714940896,0.1260495446310663
C1,no,Insulin,21.212121212121215,0.024677171706258164,0.20685887839349215,0.13809086021295364,0.21949919017842187,0.12754134270842057,0.2146077714941526,0.1260495444458684
C1,no,Insulin,21.71717171717172,0.02467717170519666,0.20685887839345066,0.13809086021289607,0.21949919017847244,0.12754134269554307,0.21460777149412885,0.126049544360712
C1,no,Insulin,22.222222222222225,0.02467717170577898,0.20685887839317846,0.1380908602129267,0.21949919017842043,0.12754134270196468,0.21460777149401833,0.12604954437559707
C1,no,Insulin,22.72727272727273,0.024677171708005135,0.20685887839267558,0.13809086021304562,0.2194991901782658,0.12754134272768547,0.21460777149382101,0.1260495444905236
C1,no,Insulin,23.232323232323235,0.024677171708327002,0.2068588783925126,0.1380908602130613,0.2194991901782362,0.1275413427312149,0.21460777149375607,0.12604954449733297
C1,no,Insulin,23.73737373737374,0.02467717170809869,0.2068588783924718,0.13809086021304687,0.2194991901782447,0.1275413427283874,0.21460777149373986,0.12604954447546676
C1,no,Insulin,24.242424242424242,0.02467717170822606,0.20685887839240746,0.13809086021305117,0.21949919017823327,0.12754134272979592,0.21460777149371643,0.12604954447806985
C1,no,Insulin,24.747474747474747,0.02467717170870911,0.20685887839231962,0.1380908602130742,0.21949919017820185,0.1275413427354404,0.2146077714936858,0.1260495445051422
C1,no,Insulin,25.252525252525253,0.024677171709547845,0.2068588783922082,0.13809086021311598,0.21949919017815048,0.1275413427453209,0.21460777149364793,0.1260495445566838
C1,no,Insulin,25.757575757575758,0.024677171710742265,0.2068588783920733,0.1380908602131765,0.21949919017807915,0.12754134275943735,0.21460777149360286,0.12604954463269466
C1,no,Insulin,26.262626262626263,0.024677171712136466,0.20685887839179368,0.13809086021324804,0.2194991901779815,0.12754134277566057,0.21460777149350244,0.12604954470386223
C1,no,Insulin,26.767676767676768,0.024677171712402194,0.20685887839179634,0.13809086021325934,0.21949919017797104,0.1275413427788747,0.2146077714935059,0.12604954472674998
C1,no,Insulin,27.272727272727273,0.024677171712667922,0.206858878391799,0.13809086021327063,0.21949919017796057,0.1275413427820888,0.21460777149350937,0.1260495447496377
C1,no,Insulin,27.77777777777778,0.02467717171293365,0.2068588783918017,0.13809086021328193,0.2194991901779501,0.12754134278530296,0.21460777149351284,0.12604954477252545
C1,no,Insulin,28.282828282828284,0.02467717171319938,0.20685887839180436,0.1380908602132932,0.21949919017793965,0.1275413427885171,0.2146077714935163,0.1260495447954132
C1,no,Insulin,28.78787878787879,0.024677171713465104,0.20685887839180703,0.1380908602133045,0.21949919017792918,0.1275413427917312,0.21460777149351978,0.1260495448183009
C1,no,Insulin,29.292929292929294,0.024677171713724407,0.20685887839180964,0.13809086021331554,0.21949919017791897,0.12754134279486762,0.21460777149352317,0.12604954484063732
C1,no,Insulin,29.7979797979798,0.02467717171373089,0.2068588783918097,0.13809086021331576,0.21949919017791877,0.12754134279494603,0.21460777149352323,0.1260495448412922
C1,no,Insulin,30.303030303030305,0.02467717171373738,0.20685887839180975,0.13809086021331599,0.21949919017791858,0.12754134279502444,0.2146077714935233,0.12604954484194705
C1,no,Insulin,30.80808080808081,0.024677171713743864,0.20685887839180983,0.13809086021331624,0.21949919017791839,0.12754134279510285,0.21460777149352336,0.12604954484260192
C1,no,Insulin,31.313131313131315,0.02467717171375035,0.20685887839180989,0.13809086021331646,0.2194991901779182,0.12754134279518126,0.21460777149352342,0.12604954484325678
