,,,Slide ID,a,c,b,d
,,,Antibody Name,a,c,b,d
,,,HUGO ID,a,c,b,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,9.090909090909092,0.0017102608507339823,0.0016006059909571694,2.793729883403977e-06,3.406997653576306e-05
C1,no,Insulin,9.595959595959597,0.0013040599890497403,0.0012137430638377942,1.5493551145558774e-06,2.1436327928918574e-05
C1,no,Insulin,10.101010101010102,0.0009962959613407495,0.0009220133233477537,8.63823694907531e-07,1.3535070043285257e-05
C1,no,Insulin,10.606060606060607,0.0007627026898448532,0.0007015993888208122,4.839051573181328e-07,8.576553064440095e-06
C1,no,Insulin,11.111111111111112,0.0005850608446560616,0.0005347747348104784,2.7257617104523024e-07,5.454338018140227e-06
C1,no,Insulin,11.616161616161618,0.0004497234392774828,0.00040830459181713947,1.5427615266758065e-07,3.48127493238948e-06
C1,no,Insulin,12.121212121212121,0.00034639498005517073,0.00031226738758205073,8.767687330724814e-08,2.229630004623681e-06
C1,no,Insulin,12.626262626262626,0.0002673343994254213,0.00023921908498154672,5.010005957802708e-08,1.4329817677274758e-06
C1,no,Insulin,13.131313131313131,0.00020676252196713893,0.0001835785112251529,2.8732470390222768e-08,9.243607517607331e-07
C1,no,Insulin,13.636363636363637,0.00016022542469182511,0.00014112361165978098,1.6540748993630082e-08,5.981246342982841e-07
C1,no,Insulin,14.141414141414142,0.00012437572666427297,0.00010866528943260335,9.582429999370272e-09,3.8828131270844414e-07
C1,no,Insulin,14.646464646464647,9.676588762731772e-05,8.382207362218785e-05,5.562872740561076e-09,2.530197754978852e-07
C1,no,Insulin,15.151515151515152,7.540496415249208e-05,6.476961357858553e-05,3.2515333128277615e-09,1.6539903111957907e-07
C1,no,Insulin,15.656565656565657,5.890142372286166e-05,5.0139683544005735e-05,1.906538064441511e-09,1.0845421482454652e-07
C1,no,Insulin,16.161616161616163,4.6079154846630497e-05,3.8880521394931225e-05,1.119854829707399e-09,7.1355111640706e-08
C1,no,Insulin,16.666666666666668,3.613039237463565e-05,3.0207778033187112e-05,6.633273230977062e-10,4.712955251855619e-08
