NON $ % + - . 0
#NON	c	e	d	a	b	f
19.191919191919194	0.07286799714278856	0.22434488168471756	0.23236580312986557	0.24241908074481597	0.2320924547023207	0.0337217225196513
19.6969696969697	0.07286799523332062	0.224344882176174	0.23236580312877023	0.2424190807437972	0.2320924547015114	0.033721721459013296
20.202020202020204	0.07286799405218634	0.22434488251474838	0.23236580312824842	0.24241908074331173	0.23209245470116116	0.03372172079055081
20.70707070707071	0.07286799333257793	0.22434488276905196	0.23236580312806593	0.24241908074314186	0.2320924547010754	0.033721720366611085
21.212121212121215	0.07286799270238696	0.22434488297005728	0.23236580312789723	0.24241908074298488	0.23209245470097944	0.03372172000302395
21.71717171717172	0.07286799212168968	0.22434488311749168	0.23236580312771868	0.24241908074281873	0.23209245470085277	0.0337217196812251
22.222222222222225	0.07286799172592263	0.22434488321465335	0.23236580312760313	0.24241908074271126	0.23209245470075907	0.0337217194634027
22.72727272727273	0.07286799151508581	0.22434488326154228	0.2323658031275506	0.24241908074266247	0.23209245470069836	0.03372171934955675
23.232323232323235	0.07286799148917923	0.2243448832581585	0.23236580312756108	0.24241908074267232	0.2320924547006706	0.033721719339687255
23.73737373737374	0.07286799157048904	0.22434488322665896	0.23236580312760632	0.24241908074271457	0.23209245470066434	0.03372171938963752
24.242424242424242	0.07286799147760518	0.22434488324727656	0.23236580312758412	0.24241908074269394	0.2320924547006378	0.033721719339511534
24.747474747474747	0.07286799144120985	0.22434488325424146	0.23236580312757824	0.2424190807426885	0.2320924547006252	0.033721719320381954
25.252525252525253	0.07286799146130304	0.2243448832475536	0.23236580312758873	0.24241908074269825	0.23209245470062656	0.03372171933224878
25.757575757575758	0.07286799153788476	0.2243448832272131	0.23236580312761554	0.2424190807427232	0.23209245470064185	0.033721719375112015
26.262626262626263	0.07286799167095499	0.22434488319321985	0.2323658031276587	0.24241908074276336	0.23209245470067108	0.03372171944897165
26.767676767676768	0.07286799167548866	0.22434488318840906	0.23236580312767344	0.2424190807427771	0.2320924547006676	0.033721719453174044
