NON $ % + - . 0 1 2 3 4 5 6 7 8
#NON	m	i	l	g	f	d	k	h	a	n	e	j	c	b
8.080808080808081	0.08094622678419579	0.1655039757247767	0.025823341480540503	0.12428046421603327	0.010368884945062539	0.1290586874814136	0.19937884946882842	0.019673027179959245	0.1387807295783594	0.2359949033115186	0.010353065353344066	0.1983222182648828	0.021080579911586773	0.14901962616272846
8.585858585858587	0.08093639824931291	0.1655025020232126	0.025819759604845727	0.12428479295270939	0.010366795887084796	0.1290282921092181	0.1993763776876711	0.019671725510790564	0.1387738311589845	0.2360002881313661	0.010351098441939481	0.19832049792687417	0.02107973418653733	0.14895463430800238
9.090909090909092	0.08093156066785896	0.16550238512832288	0.02581799621315429	0.12428720603719515	0.010365780852208769	0.12901144211404464	0.19937518193184567	0.01967108373219862	0.13877057533382609	0.23600327051725012	0.01035013958276428	0.1983196676820711	0.02107931835086987	0.14892029697279918
9.595959595959597	0.08092917544925614	0.16550268156322423	0.025817129023009353	0.12428854291616445	0.010365287604151882	0.12900209686504696	0.1993746047038033	0.019670768038104264	0.13876907746148162	0.23600491249754768	0.010349672218518237	0.19831926775837913	0.021079114444411327	0.14890224601736674
10.101010101010102	0.08092800578713523	0.16550303112183576	0.025816702831423576	0.12428927963326249	0.01036504774079509	0.1289969103662982	0.19937432647971642	0.01967061299261219	0.13876841200855433	0.23600581193221995	0.01034944432616887	0.19831907551038205	0.021079014656893696	0.1488927985593129
10.606060606060607	0.08092742879404015	0.16550331955131606	0.02581649360884978	0.12428968365286042	0.010364931091397018	0.12899403021516023	0.19937419263132808	0.019670537008721234	0.13876813155315543	0.23600630240701337	0.010349333232034465	0.19831898324703523	0.021078965943908942	0.1488878743752341
11.111111111111112	0.08092714614637092	0.1655035274885214	0.025816391021416946	0.12428990423504875	0.010364874371936847	0.12899242992784432	0.1993741283512123	0.01967049985421663	0.1387680233376133	0.23600656878977297	0.010349279099973765	0.1983189390407107	0.021078942217019985	0.14888531756083712
11.616161616161618	0.08092700755804186	0.16550366700538646	0.02581634066450977	0.12429002434833429	0.010364846729758345	0.1289915391422523	0.19937409745349735	0.0196704816774836	0.13876798831064663	0.23600671314010857	0.010349252671811564	0.19831891785750877	0.02107893065538822	0.1488839924838323
12.121212121212121	0.08092693927866144	0.1655037566284304	0.02581631599620229	0.12429008953512251	0.010364833277863148	0.12899104292356595	0.19937408264116274	0.019670472811221258	0.13876798222691317	0.23600679113241635	0.010349239790500179	0.19831890772447924	0.02107892503855219	0.14888330794720114
12.626262626262626	0.08092690597574818	0.1655038125364998	0.025816303950994178	0.12429012479694412	0.010364826749166202	0.12899076631803547	0.1993740755687038	0.01967046850345052	0.13876798600711224	0.23600683314659052	0.010349233530100062	0.19831890289868284	0.021078922320485482	0.1488829556373009
13.131313131313131	0.08092688991578477	0.1655038466638976	0.025816298179946035	0.12429014367539302	0.010364823640543967	0.12899061291853728	0.19937407226586332	0.01967046645217503	0.13876799211490257	0.23600685554737136	0.010349230545206502	0.19831890065130553	0.02107892103207156	0.14888277691278046
13.636363636363637	0.08092688231920596	0.16550386688126187	0.025816295449701425	0.12429015364396888	0.010364822177820242	0.12899052862956434	0.19937407074311778	0.019670465488372237	0.13876799754767105	0.23600686733165846	0.01034922913920463	0.19831889961828167	0.021078920429329333	0.14888268752504225
14.141414141414142	0.0809268784638394	0.1655038786686321	0.02581629404191359	0.12429015906653462	0.010364821423243055	0.12899048110698996	0.19937406996342036	0.01967046499330939	0.13876800136317877	0.23600687373006712	0.01034922841418978	0.1983188990897395	0.021078920119990654	0.14888264050940764
14.646464646464647	0.08092687647826811	0.16550388549469802	0.025816293309891224	0.12429016202172641	0.01036482103056006	0.12899045425530029	0.19937406955995404	0.019670464736685784	0.13876800389709773	0.23600687721171995	0.010349228037071154	0.19831889881628337	0.021078919959744723	0.1488826156694109
15.151515151515152	0.08092687544362782	0.16550388945772754	0.02581629294280065	0.12429016362477495	0.010364820834464819	0.12899043912553698	0.19937406936125357	0.019670464608556856	0.13876800556121682	0.23600687909638154	0.010349227848597117	0.1983188986818188	0.021078919879990898	0.14888260272058765
15.656565656565657	0.08092687488763016	0.1655038917549701	0.025816292758499605	0.12429016449759146	0.01036482073650505	0.12899043056325765	0.19937406926349718	0.019670464544530742	0.13876800662620317	0.23600688012050536	0.010349227754351122	0.19831889861581714	0.021078919840267676	0.14888259594554662
16.161616161616163	0.08092687461332927	0.16550389307624766	0.025816292664434207	0.12429016497250006	0.010364820686537643	0.12899042571157368	0.199374069214198	0.019670464512015862	0.13876800729057795	0.23600688067681938	0.010349227706286632	0.19831889858260512	0.021078919820122884	0.14888259239290602
16.666666666666668	0.0809268745049333	0.16550389383112835	0.025816292616732857	0.12429016522946823	0.01036482066118599	0.128990422970446	0.19937406918948428	0.019670464495616484	0.13876800769882172	0.23600688097734013	0.010349227681912357	0.19831889856598647	0.021078919809979228	0.14888259054371614
17.171717171717173	0.08092687445945143	0.1655038942606988	0.025816292592821366	0.12429016536819312	0.010364820648511207	0.1289904214233667	0.19937406917729608	0.019670464487433606	0.13876800794672692	0.23600688113932983	0.010349227669722664	0.1983188985577931	0.021078919804933895	0.14888258958459488
17.67676767676768	0.08092687441840651	0.165503894504199	0.025816292580831717	0.124290165443065	0.01036482064217951	0.12899042054973003	0.19937406917128353	0.019670464483347534	0.13876800809555268	0.2360068812266444	0.010349227663630037	0.1983188985537491	0.021078919802421926	0.14888258908677046
18.181818181818183	0.08092687438000735	0.16550389464207096	0.025816292574798994	0.12429016548350348	0.01036482063899795	0.1289904200551281	0.19937406916830167	0.01967046448130347	0.138768008184373	0.2360068812737411	0.010349227660568845	0.19831889855174975	0.021078919801166766	0.14888258882846403
18.68686868686869	0.08092687435002528	0.16550389479969904	0.025816292567415033	0.12429016553101777	0.010364820635104546	0.12899041948969728	0.19937406916462144	0.01967046447879098	0.1387680082829238	0.23600688132912484	0.010349227656821709	0.1983188985492714	0.021078919799624087	0.1488825885176321
19.191919191919194	0.08092687433105046	0.16550389491075665	0.025816292562393626	0.12429016556401568	0.010364820632457639	0.1289904190910116	0.1993740691621295	0.01967046447708519	0.13876800835352085	0.2360068813675725	0.010349227654274337	0.19831889854759513	0.021078919798577195	0.1488825883043615
19.6969696969697	0.08092687432308286	0.16550389497524381	0.02581629255973477	0.12429016558249721	0.01036482063105723	0.12899041885907112	0.1993740691608258	0.019670464476186103	0.13876800839616418	0.23600688138908407	0.010349227652926727	0.19831889854672094	0.02107891979802609	0.14888258818865224
20.202020202020204	0.08092687432612251	0.16550389499316054	0.02581629255943847	0.12429016558646239	0.010364820630903318	0.12899041879387577	0.1993740691607104	0.019670464476093715	0.13876800841085377	0.23600688139365955	0.010349227652778882	0.1983188985466489	0.02107891979797077	0.14888258817050432
20.70707070707071	0.08092687434016939	0.1655038949645068	0.02581629256150472	0.12429016557591119	0.010364820631995904	0.1289904188954256	0.19937406916178327	0.01967046447680803	0.1387680083975896	0.2360068813812989	0.0103492276538308	0.1983188985473789	0.021078919798411238	0.14888258824991776
