NON $ % + - . 0
#NON	d	a	f	b	c	e
11.616161616161618	0.0009330648807010211	0.3741405772256429	0.0012806532211565842	0.016731805878296185	0.22727831886329042	0.18085392196918965
12.121212121212121	0.0009175827468510582	0.3741203037833854	0.0012595372629685448	0.016572513752318097	0.22727226708475076	0.18093939342120766
12.626262626262626	0.0009049393641285724	0.37410655282686117	0.0012422957616992545	0.01644152602180693	0.2272681622214312	0.18100955669210714
13.131313131313131	0.0008945901347209874	0.3740972255976817	0.0012281843268975015	0.016333681400768303	0.22726537774534863	0.18106723569230462
13.636363636363637	0.0008861022350440808	0.3740909001094056	0.0012166120250698379	0.016244812591769447	0.22726348939272095	0.18111470694804063
14.141414141414142	0.0008791295493570529	0.3740866096769033	0.001207106278668361	0.01617151918689357	0.22726220854584475	0.18115381692702945
14.646464646464647	0.0008733938881236687	0.3740836994831454	0.0011992874236745497	0.016111030769028582	0.2272613397383019	0.18118606545094945
15.151515151515152	0.0008686703519767297	0.3740817248286429	0.001192848613395614	0.01606108074747502	0.22726075022230077	0.1812126758834527
15.656565656565657	0.0008647763663089649	0.3740803837262708	0.001187540848032583	0.016019813754391574	0.22726034984400673	0.18123464804027198
16.161616161616163	0.000861564340828385	0.37407947566222505	0.0011831627692472874	0.015985706030830205	0.2272600787377878	0.18125279795762567
16.666666666666668	0.000858913706397287	0.37407886117274897	0.001179549745890105	0.015957501125457664	0.22725989528049723	0.18126779573218346
17.171717171717173	0.0008567243493102099	0.37407844240907107	0.0011765654639188583	0.015934176153920877	0.22725977027496955	0.18128019433498913
17.67676767676768	0.0008549144660254335	0.3740781570480163	0.0011740989101674108	0.01591489794170041	0.22725968508653352	0.1812904466587935
18.181818181818183	0.0008534186239201525	0.3740779648458741	0.001172060529444894	0.01589895744519668	0.22725962769896588	0.18129892425849692
18.68686868686869	0.0008521826728401663	0.3740778353380349	0.0011703759625832527	0.015885756989057528	0.22725958903458607	0.1813059368324211
19.191919191919194	0.0008511607116122012	0.37407774729207516	0.0011689829791531887	0.015874831454544765	0.22725956275482279	0.18131173855787713
19.6969696969697	0.0008503149878557725	0.374077687351457	0.0011678304873934742	0.015865799464633904	0.22725954485948446	0.18131653860200253
20.202020202020204	0.000849615361740373	0.374077646774081	0.0011668770899292472	0.01585832387064777	0.2272595327412681	0.1813205108301979
20.70707070707071	0.000849036800941089	0.37407761936804895	0.0011660884839949587	0.01585212964164204	0.22725952456006773	0.18132379862059078
21.212121212121215	0.0008485580176058108	0.3740776007596396	0.001165435856847172	0.01584700113977295	0.22725951900842017	0.18132652017650472
21.71717171717172	0.0008481615248828115	0.3740775880018791	0.0011648954399694268	0.01584275514581478	0.22725951520196455	0.18132877391911018
22.222222222222225	0.0008478331111025843	0.37407757935144037	0.0011644480189524592	0.01583924800316221	0.22725951261570246	0.18133063878158967
22.72727272727273	0.0008475613444461543	0.3740775735954816	0.001164077823863026	0.015836347824623568	0.22725951089199556	0.18133218165175471
23.232323232323235	0.0008473367530717876	0.3740775697644088	0.0011637717009232785	0.015833940957177283	0.22725950974868678	0.18133345885048047
23.73737373737374	0.0008471510634844848	0.37407756717642693	0.0011635184694287713	0.015831943990264833	0.22725950898060945	0.181334516306191
24.242424242424242	0.0008469972314873131	0.37407756540189807	0.0011633087612260974	0.01583029353216389	0.22725950845317208	0.18133539156073805
24.747474747474747	0.0008468696572202436	0.3740775641736016	0.0011631349860403283	0.015828931764802136	0.22725950808472767	0.18133611599513605
25.252525252525253	0.0008467639529990227	0.37407756334053016	0.0011629910730298473	0.015827807014395033	0.2272595078319648	0.18133671551572836
25.757575757575758	0.000846676657388349	0.37407756278875454	0.001162872091118798	0.015826871288891188	0.22725950766680447	0.18133721205160572
26.262626262626263	0.0008466045872215951	0.3740775624223149	0.00116277373393105	0.01582609221946106	0.22725950756078955	0.18133762334283152
26.767676767676768	0.0008465448601829429	0.3740775621738247	0.0011626922621348012	0.015825448646350628	0.2272595074890435	0.18133796377250352
27.272727272727273	0.000846495338376067	0.37407756200179665	0.001162624725435799	0.015824915758338116	0.22725950743929102	0.18133824588814812
27.77777777777778	0.0008464541952064132	0.3740775618804322	0.001162568708216324	0.015824477770327444	0.22725950740165915	0.18133847929520625
28.282828282828284	0.0008464201227435313	0.3740775617963137	0.0011625223240335366	0.01582411536615629	0.22725950737525757	0.18133867252641742
28.78787878787879	0.0008463918717121354	0.37407756173650797	0.0011624838783414824	0.015823815569470732	0.2272595073558509	0.18133883260204642
29.292929292929294	0.0008463685562034199	0.3740775616990585	0.0011624521262357257	0.015823566965341644	0.22725950734390715	0.18133896495777987
29.7979797979798	0.0008463492784454516	0.3740775616748303	0.0011624258573300571	0.015823360610926547	0.227259507336487	0.18133907455858156
30.303030303030305	0.0008463333621143872	0.3740775616608552	0.001162404151970946	0.015823189367442776	0.22725950733267397	0.18133916522858562
30.80808080808081	0.0008463201922264897	0.37407756165256545	0.0011623861915777366	0.015823047649542506	0.22725950733053799	0.18133924025796574
31.313131313131315	0.0008463092441275354	0.37407756164766975	0.0011623712468104657	0.015822929103804485	0.22725950732978947	0.18133930278182828
31.81818181818182	0.0008463001656062737	0.374077561644401	0.0011623588695585444	0.015822831592557506	0.2272595073289899	0.18133935446551772
32.323232323232325	0.0008462926182745382	0.3740775616416852	0.0011623485938994057	0.015822751247216757	0.2272595073279396	0.1813393972836516
32.82828282828283	0.0008462863246673794	0.37407756163921796	0.001162340022170119	0.015822684094425523	0.22725950732708458	0.1813394330207106
33.333333333333336	0.0008462811792515452	0.37407756163782346	0.0011623330198171074	0.015822629478777734	0.22725950732636221	0.18133946217893873
33.83838383838384	0.0008462768532365955	0.37407756163580774	0.0011623271343338692	0.0158225836510052	0.22725950732546168	0.18133948667496202
34.343434343434346	0.0008462733107975415	0.3740775616346285	0.0011623223112031845	0.015822545934759496	0.2272595073249564	0.18133950677305147
34.84848484848485	0.0008462704306930863	0.3740775616344009	0.0011623183842009927	0.015822514979970368	0.2272595073249165	0.1813395231733468
35.35353535353536	0.0008462680305224326	0.3740775616340818	0.001162315112390198	0.0158224892247855	0.22725950732482408	0.18133953683221057
35.85858585858586	0.0008462660864066118	0.37407756163446204	0.001162312460114562	0.015822468253065245	0.22725950732501932	0.18133954791864992
36.36363636363637	0.0008462644790405456	0.3740775616349835	0.0011623102662073612	0.015822450860251424	0.22725950732527456	0.18133955709588828
36.86868686868687	0.0008462631562554797	0.3740775616355502	0.0011623084615882513	0.015822436590841968	0.22725950732550546	0.18133956463927395
37.37373737373738	0.0008462620670709364	0.3740775616361157	0.0011623069771425584	0.015822424917269252	0.22725950732568778	0.18133957083489663
37.87878787878788	0.000846261144729762	0.374077561636808	0.001162305717972749	0.015822414923297664	0.22725950732597042	0.18133957610392168
38.38383838383839	0.0008462603785637857	0.37407756163732714	0.0011623046731220259	0.01582240667856961	0.22725950732615433	0.18133958046899165
38.88888888888889	0.0008462597569528464	0.3740775616374984	0.0011623038278194345	0.015822400113413383	0.2272595073261496	0.18133958398482347
39.3939393939394	0.0008462592252114234	0.37407756163759576	0.001162303105004773	0.015822394511698305	0.22725950732612307	0.181339586989398
39.8989898989899	0.0008462587694822633	0.37407756163765243	0.0011623024851624734	0.015822389692593086	0.22725950732610375	0.18133958956821
40.40404040404041	0.0008462584023227757	0.3740775616375794	0.0011623019857331706	0.0158223858075302	0.22725950732605063	0.18133959164631425
40.909090909090914	0.000846258124340624	0.374077561637405	0.0011623016071306454	0.015822382841755415	0.2272595073259842	0.1813395932246442
41.41414141414142	0.0008462578673778128	0.37407756163717987	0.0011623012576817277	0.015822380127204886	0.22725950732588973	0.18133959467806654
