NON $ % + - .
#NON	d	a	e	b	c
25.757575757575758	0.012391186214659277	0.011839173739511592	0.18091683720153037	0.2631025837712267	0.016113350327681804
26.262626262626263	0.012391186214573021	0.011839173739446363	0.18091683719870522	0.2631025837722678	0.01611335032723457
26.767676767676768	0.012391186214486764	0.011839173739381132	0.18091683719588006	0.263102583773309	0.01611335032678734
27.272727272727273	0.012391186214400506	0.011839173739315902	0.1809168371930549	0.2631025837743501	0.016113350326340106
27.77777777777778	0.01239118621431425	0.011839173739250673	0.18091683719022977	0.2631025837753912	0.01611335032589287
28.282828282828284	0.012391186214227993	0.011839173739185442	0.18091683718740462	0.2631025837764323	0.016113350325445638
28.78787878787879	0.012391186214141736	0.011839173739120211	0.18091683718457946	0.2631025837774734	0.016113350324998405
29.292929292929294	0.01239118621405548	0.011839173739054982	0.1809168371817543	0.2631025837785146	0.016113350324551173
29.7979797979798	0.012391186213969223	0.011839173738989751	0.18091683717892915	0.2631025837795557	0.01611335032410394
30.303030303030305	0.012391186213882965	0.01183917373892452	0.180916837176104	0.2631025837805968	0.016113350323656704
30.80808080808081	0.01239118621379671	0.011839173738859291	0.18091683717327883	0.2631025837816379	0.01611335032320947
31.313131313131315	0.012391186213710452	0.01183917373879406	0.18091683717045368	0.2631025837826791	0.01611335032276224
31.81818181818182	0.012391186213624197	0.01183917373872883	0.18091683716762852	0.2631025837837202	0.016113350322315007
32.323232323232325	0.01239118621353794	0.0118391737386636	0.18091683716480336	0.2631025837847613	0.01611335032186777
32.82828282828283	0.012391186213451682	0.01183917373859837	0.1809168371619782	0.2631025837858024	0.016113350321420538
33.333333333333336	0.012391186213365426	0.01183917373853314	0.18091683715915305	0.2631025837868436	0.016113350320973305
33.83838383838384	0.012391186213279169	0.01183917373846791	0.1809168371563279	0.2631025837878847	0.016113350320526073
34.343434343434346	0.012391186213192911	0.011839173738402679	0.18091683715350274	0.2631025837889258	0.01611335032007884
34.84848484848485	0.012391186213106656	0.01183917373833745	0.18091683715067758	0.2631025837899669	0.016113350319631604
35.35353535353536	0.012391186213020398	0.011839173738272219	0.18091683714785242	0.2631025837910081	0.016113350319184372
