NON $ % + - .
#NON	b	d	c	a	e
16.666666666666668	0.2695859734844116	0.1527270188361812	0.005815725788286362	0.18874620103123438	0.09188049092921503
17.171717171717173	0.26958734607468166	0.15272684119017388	0.00581395379490687	0.18874596523866433	0.09187698784448613
17.67676767676768	0.26958836249875917	0.15272672201396956	0.005812579525373622	0.18874580696426865	0.09187439136446293
18.181818181818183	0.26958911207591085	0.1527266422621723	0.005811513801779134	0.18874570086215794	0.09187246683178099
18.68686868686869	0.26958967021681873	0.15272658895207777	0.005810687386186965	0.18874563010708195	0.09187104014177613
19.191919191919194	0.26959008429487624	0.15272655325821127	0.005810046604109016	0.18874558273624997	0.09186998239931263
19.6969696969697	0.26959039113764066	0.1527265293573653	0.005809549801376181	0.1887455510124892	0.0918691981213317
20.202020202020204	0.26959061843478177	0.1527265133529713	0.005809164652053489	0.18874552976683606	0.09186861656017481
20.70707070707071	0.26959078699636324	0.1527265026321832	0.0058088660522163495	0.1887455155332646	0.09186818522088186
21.212121212121215	0.26959091232255883	0.15272649541717828	0.005808634074230436	0.1887455059533614	0.09186786436918133
21.71717171717172	0.2695910051455047	0.15272649060093657	0.005808454378403343	0.18874549955805484	0.0918676266696252
22.222222222222225	0.26959107284953643	0.15272648748828999	0.005808316619847976	0.18874549542464028	0.09186745325441184
22.72727272727273	0.2695911233244275	0.15272648536659308	0.00580820952742114	0.18874549260718856	0.09186732394819001
23.232323232323235	0.2695911614184449	0.15272648384696877	0.005808125781956491	0.18874549058944734	0.09186722635171088
23.73737373737374	0.26959119036266754	0.15272648271434017	0.0058080601638008985	0.1887454890858046	0.09186715219957714
24.242424242424242	0.2695912119174159	0.15272648193331426	0.00580800925943234	0.1887454880489661	0.09186709697854388
24.747474747474747	0.26959122819743814	0.15272648144562254	0.005807968993304768	0.18874548740124217	0.09186705526453331
25.252525252525253	0.26959123894380593	0.15272648125382332	0.005807939870705104	0.18874548714608025	0.09186702772100117
25.757575757575758	0.2695912473762349	0.1527264811425679	0.00580791627537803	0.18874548699752391	0.09186700609432251
26.262626262626263	0.2695912536866442	0.15272648107053283	0.005807897827423912	0.18874548690107085	0.09186698989765743
26.767676767676768	0.26959125816862506	0.15272648102648054	0.005807883900467864	0.18874548684193937	0.09186697838177939
27.272727272727273	0.26959126145761153	0.15272648099121405	0.005807873134356398	0.18874548679490014	0.09186696992465802
27.77777777777778	0.2695912638011427	0.1527264809626699	0.005807864982335218	0.18874548675719646	0.0918669638954581
28.282828282828284	0.2695912655818976	0.1527264809385689	0.005807858596316267	0.18874548672575617	0.0918669593191247
28.78787878787879	0.26959126691702706	0.1527264809193288	0.005807853660687481	0.18874548670095453	0.09186695589689796
29.292929292929294	0.2695912679485138	0.15272648090553528	0.005807849788895726	0.18874548668333974	0.09186695326666915
29.7979797979798	0.26959126873660577	0.15272648089628485	0.005807846774125495	0.18874548667154467	0.09186695127064722
30.303030303030305	0.2695912693357314	0.15272648089074295	0.0058078444291524015	0.18874548666431096	0.09186694976619009
30.80808080808081	0.2695912697892269	0.15272648088745105	0.005807842601557443	0.18874548665973676	0.09186694863459059
31.313131313131315	0.26959127012613565	0.15272648088544477	0.005807841189310858	0.18874548665656957	0.09186694779635453
31.81818181818182	0.2695912703781241	0.15272648088405916	0.005807840084747506	0.18874548665409988	0.09186694716666857
32.323232323232325	0.2695912705602789	0.15272648088297947	0.005807839236563159	0.18874548665199287	0.09186694670513333
32.82828282828283	0.26959127069141364	0.1527264808820823	0.005807838579526471	0.18874548665025379	0.0918669463624623
33.333333333333336	0.26959127078476747	0.15272648088128082	0.005807838067734258	0.18874548664888627	0.09186694610397268
33.83838383838384	0.26959127084866674	0.15272648088060234	0.00580783767169348	0.188745486647967	0.09186694591033231
34.343434343434346	0.269591270892181	0.15272648088007673	0.005807837359278639	0.1887454866475794	0.09186694576048358
34.84848484848485	0.2695912709187128	0.15272648087969712	0.005807837117899408	0.18874548664765486	0.0918669456475798
35.35353535353536	0.2695912709338945	0.15272648087945212	0.00580783692671405	0.18874548664807966	0.09186694556028988
35.85858585858586	0.26959127096312235	0.15272648087909288	0.0058078367100406585	0.1887454866479013	0.09186694545892002
36.36363636363637	0.2695912710027615	0.1527264808786551	0.005807836478702605	0.18874548664725635	0.09186694534914601
36.86868686868687	0.2695912710377333	0.15272648087828694	0.005807836277597995	0.18874548664671115	0.0918669452545125
