NON $ % + -
#NON	c	a	b	d
23.73737373737374	0.2491428591474363	0.24825514030558596	0.24469926813491605	0.04760056821692105
24.242424242424242	0.24914285914863743	0.2482551403077473	0.24469926813592985	0.047600568217567356
24.747474747474747	0.24914285914983852	0.24825514030990867	0.24469926813694362	0.04760056821821365
25.252525252525253	0.24914285915103965	0.24825514031207002	0.24469926813795742	0.047600568218859954
25.757575757575758	0.24914285915224074	0.24825514031423135	0.2446992681389712	0.04760056821950625
26.262626262626263	0.24914285915344186	0.2482551403163927	0.244699268139985	0.047600568220152545
26.767676767676768	0.24914285915464296	0.24825514031855406	0.24469926814099877	0.04760056822079885
27.272727272727273	0.24914285915584408	0.2482551403207154	0.24469926814201254	0.04760056822144514
27.77777777777778	0.24914285915704518	0.24825514032287674	0.24469926814302634	0.047600568222091445
28.282828282828284	0.2491428591582463	0.2482551403250381	0.2446992681440401	0.04760056822273774
28.78787878787879	0.2491428591594474	0.24825514032719945	0.2446992681450539	0.047600568223384036
29.292929292929294	0.24914285916064852	0.2482551403293608	0.24469926814606768	0.04760056822403034
29.7979797979798	0.2491428591618496	0.24825514033152213	0.24469926814708146	0.047600568224676634
30.303030303030305	0.24914285916305073	0.24825514033368348	0.24469926814809526	0.04760056822532294
30.80808080808081	0.24914285916425183	0.24825514033584484	0.24469926814910903	0.04760056822596923
31.313131313131315	0.24914285916545295	0.2482551403380062	0.24469926815012283	0.047600568226615535
31.81818181818182	0.24914285916665405	0.24825514034016755	0.2446992681511366	0.04760056822726183
32.323232323232325	0.24914285916785517	0.24825514034232887	0.2446992681521504	0.047600568227908126
32.82828282828283	0.24914285916905626	0.24825514034449023	0.24469926815316417	0.04760056822855443
33.333333333333336	0.24914285917025739	0.24825514034665158	0.24469926815417795	0.047600568229200724
33.83838383838384	0.24914285917145848	0.24825514034881294	0.24469926815519175	0.047600568229847026
34.343434343434346	0.2491428591726596	0.24825514035097426	0.24469926815620552	0.04760056823049332
34.84848484848485	0.2491428591738607	0.24825514035313562	0.24469926815721932	0.047600568231139624
35.35353535353536	0.24914285917506182	0.24825514035529697	0.2446992681582331	0.04760056823178592
35.85858585858586	0.24914285917626292	0.24825514035745833	0.2446992681592469	0.047600568232432215
36.36363636363637	0.24914285917746404	0.24825514035961965	0.24469926816026066	0.04760056823307852
36.86868686868687	0.24914285917866513	0.248255140361781	0.24469926816127444	0.04760056823372481
37.37373737373738	0.24914285917986626	0.24825514036394236	0.24469926816228824	0.047600568234371116
37.87878787878788	0.24914285918106735	0.24825514036610372	0.244699268163302	0.04760056823501741
38.38383838383839	0.24914285918226847	0.24825514036826507	0.2446992681643158	0.047600568235663714
38.88888888888889	0.24914285918346957	0.2482551403704264	0.24469926816532958	0.04760056823631001
39.3939393939394	0.2491428591846707	0.24825514037258775	0.24469926816634335	0.047600568236956305
