,,,Slide ID,c,b,d,a
,,,Antibody Name,c,b,d,a
,,,HUGO ID,c,b,d,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,30.80808080808081,0.006153343942146424,0.000272305698836599,0.018735050353653544,0.04956686601146943
C1,no,Insulin,31.313131313131315,0.006153325250683126,0.0002723044885986425,0.018735013501881444,0.0495667924202922
C1,no,Insulin,31.81818181818182,0.006153310276287108,0.000272303519575303,0.018734983982188824,0.04956673342764998
C1,no,Insulin,32.323232323232325,0.006153298300798675,0.00027230274481457285,0.01873496037196645,0.04956668623460096
C1,no,Insulin,32.82828282828283,0.006153288526202608,0.0002723021121190165,0.018734941063718993,0.04956664772117009
C1,no,Insulin,33.333333333333336,0.006153280790946324,0.00027230161178607397,0.01873492577965117,0.04956661721738181
C1,no,Insulin,33.83838383838384,0.006153274468265019,0.00027230120241502763,0.01873491328363961,0.04956659231192902
C1,no,Insulin,34.343434343434346,0.006153269272708927,0.00027230086556689263,0.01873490301760368,0.049566571879688354
C1,no,Insulin,34.84848484848485,0.0061532650771802515,0.00027230059350038865,0.01873489472808118,0.04956655538445792
C1,no,Insulin,35.35353535353536,0.0061532615996588175,0.0002723003681398152,0.018734887879955857,0.049566541711118774
C1,no,Insulin,35.85858585858586,0.006153258768565175,0.00027230018450751864,0.01873488230991119,0.04956653059273877
C1,no,Insulin,36.36363636363637,0.006153256458622074,0.0002723000348730864,0.018734877767941246,0.049566521507616174
C1,no,Insulin,36.86868686868687,0.0061532545897952755,0.0002722999141035101,0.018734874088931906,0.04956651413424779
C1,no,Insulin,37.37373737373738,0.0061532530916579,0.0002722998173441618,0.018734871141273708,0.0495665082199851
C1,no,Insulin,37.87878787878788,0.00615325188667048,0.0002722997394481038,0.018734868757713904,0.049566503463208934
C1,no,Insulin,38.38383838383839,0.006153250944125888,0.00027229967857361536,0.018734866886983666,0.049566499736089335
C1,no,Insulin,38.88888888888889,0.006153250194068982,0.000272299630060877,0.018734865396630187,0.0495664967750386
C1,no,Insulin,39.3939393939394,0.006153249604511492,0.00027229959179551173,0.01873486422289759,0.04956649445699717
