,,,Slide ID,a,e,b,c,d
,,,Antibody Name,a,e,b,c,d
,,,HUGO ID,a,e,b,c,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,12.121212121212121,0.2144969612712153,0.0038907608036690467,0.007673796770379705,0.2240909093992932,0.005650592730626562
C1,no,Insulin,12.626262626262626,0.2144925989025506,0.003848468821301942,0.007615659295560872,0.22408575030874298,0.005585490673597583
C1,no,Insulin,13.131313131313131,0.21448972489864668,0.003816238351854068,0.007571157170811282,0.22408235025668036,0.005535760712422012
C1,no,Insulin,13.636363636363637,0.214487831497276,0.003791648655578581,0.00753709350410904,0.22408010971171952,0.005497755987141812
C1,no,Insulin,14.141414141414142,0.21448658340080787,0.0037728712232419108,0.007511019328735199,0.22407863250717083,0.00546869961629605
C1,no,Insulin,14.646464646464647,0.21448576080514473,0.0037585224799406842,0.007491052328646672,0.2240776587530611,0.00544647656768159
C1,no,Insulin,15.151515151515152,0.21448521870795567,0.0037475521161829868,0.0074757615031382915,0.22407701696151575,0.0054294750041938905
C1,no,Insulin,15.656565656565657,0.21448486195130065,0.0037391629388538986,0.007464059841681419,0.2240765945564766,0.005416467583189266
C1,no,Insulin,16.161616161616163,0.21448462669010532,0.0037327450177168093,0.007455103050822811,0.22407631598484515,0.005406513396655279
C1,no,Insulin,16.666666666666668,0.21448447121420433,0.0037278321488118053,0.007448234849841436,0.2240761318771507,0.005398891832083559
C1,no,Insulin,17.171717171717173,0.21448436916584881,0.003724075635539539,0.007442977654526694,0.22407601103063693,0.005393063080048938
C1,no,Insulin,17.67676767676768,0.21448430176747316,0.0037212000119370707,0.007438961912971064,0.224075931214724,0.005388600606888393
C1,no,Insulin,18.181818181818183,0.21448425723299006,0.003718998576687901,0.007435886220246996,0.2240758784738251,0.005385184058852718
C1,no,Insulin,18.68686868686869,0.21448422786489554,0.0037173129558447627,0.007433523050345771,0.22407584369296077,0.005382567833453012
C1,no,Insulin,19.191919191919194,0.2144842084198369,0.003716019644370432,0.007431713663591838,0.22407582066354587,0.005380560396668517
C1,no,Insulin,19.6969696969697,0.21448419564758023,0.003715030005435058,0.007430329611372946,0.22407580553667808,0.005379024245409427
C1,no,Insulin,20.202020202020204,0.21448418740764544,0.0037142777484656902,0.007429275986924018,0.22407579577753436,0.005377856526066968
C1,no,Insulin,20.70707070707071,0.2144841818479803,0.0037136987312817744,0.00742846448576779,0.2240757891928025,0.005376957707906914
C1,no,Insulin,21.212121212121215,0.21448417811099824,0.003713254384620144,0.00742784293509838,0.2240757847668036,0.005376267930467609
C1,no,Insulin,21.71717171717172,0.2144841756862949,0.0037129144976545013,0.007427368819811586,0.22407578189498786,0.005375740299930161
C1,no,Insulin,22.222222222222225,0.21448417411843904,0.0037126545123291783,0.0074270055688630396,0.22407578003798287,0.005375336700079709
C1,no,Insulin,22.72727272727273,0.2144841730998921,0.0037124563496199765,0.007426725937436276,0.22407577883158397,0.005375029070302279
C1,no,Insulin,23.232323232323235,0.21448417237389375,0.003712303127002012,0.007426507521805245,0.22407577797171283,0.005374791205971233
C1,no,Insulin,23.73737373737374,0.21448417193552086,0.0037121861130831914,0.007426347355624984,0.2240757774524967,0.005374609550006166
C1,no,Insulin,24.242424242424242,0.21448417164366293,0.0037120965196366417,0.0074262222323645535,0.22407577710681587,0.005374470461827661
C1,no,Insulin,24.747474747474747,0.21448417145115237,0.0037120278411526637,0.007426126392034446,0.22407577687880303,0.005374363842345888
C1,no,Insulin,25.252525252525253,0.2144841713242566,0.003711975226248234,0.007426052756939854,0.22407577672850534,0.005374282160368393
C1,no,Insulin,25.757575757575758,0.21448417124089766,0.003711934978235015,0.007425996431746938,0.2240757766297734,0.005374219677164653
C1,no,Insulin,26.262626262626263,0.21448417118506893,0.0037119036989013425,0.007425952670720932,0.22407577656364872,0.005374171117299442
C1,no,Insulin,26.767676767676768,0.21448417115126125,0.0037118799753025587,0.007425919498592603,0.22407577652360613,0.0053741342872812995
C1,no,Insulin,27.272727272727273,0.21448417113372667,0.0037118624579898724,0.007425895038018562,0.22407577650283766,0.0053741070921945995
C1,no,Insulin,27.77777777777778,0.21448417112320833,0.003711848973742075,0.007425876265629199,0.2240757764903794,0.005374086158280302
C1,no,Insulin,28.282828282828284,0.21448417111768245,0.003711838978952407,0.00742586244815568,0.22407577648383425,0.005374070641622945
C1,no,Insulin,28.78787878787879,0.21448417111196663,0.003711831070173261,0.007425851695867806,0.2240757764770642,0.005374058363456852
C1,no,Insulin,29.292929292929294,0.2144841711057223,0.0037118250257355736,0.007425843678536789,0.22407577646966825,0.0053740489796468985
C1,no,Insulin,29.7979797979798,0.21448417109873996,0.003711820178498504,0.007425837348736564,0.22407577646139834,0.005374041454462452
