,,,Slide ID,d,b,c,a
,,,Antibody Name,d,b,c,a
,,,HUGO ID,d,b,c,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,20.202020202020204,0.20945939075190392,0.20882736055974166,0.15098061253953382,0.2100133902970351
C1,no,Insulin,20.70707070707071,0.20945933591471705,0.20882731179834685,0.15098058276059398,0.21001336044073343
C1,no,Insulin,21.212121212121215,0.2094592994754164,0.20882727939639004,0.15098056297228596,0.21001334060152366
C1,no,Insulin,21.71717171717172,0.20945927428899638,0.20882725700038351,0.15098054929536564,0.2100133268890536
C1,no,Insulin,22.222222222222225,0.20945925691090989,0.20882724154747362,0.15098053985926668,0.21001331742775728
C1,no,Insulin,22.72727272727273,0.20945924462901722,0.20882723062609324,0.15098053319098323,0.21001331074086985
C1,no,Insulin,23.232323232323235,0.20945923578419978,0.20882722276106083,0.15098052838895815,0.21001330592513104
C1,no,Insulin,23.73737373737374,0.2094592295668431,0.20882721723248712,0.1509805250132934,0.21001330253984438
C1,no,Insulin,24.242424242424242,0.20945922519914173,0.20882721334873888,0.15098052264143128,0.21001330016167935
C1,no,Insulin,24.747474747474747,0.2094592221120571,0.20882721060375484,0.1509805209646135,0.2100132984808842
C1,no,Insulin,25.252525252525253,0.2094592199864209,0.20882720871368873,0.15098051980974414,0.2100132973236768
C1,no,Insulin,25.757575757575758,0.20945921848781895,0.20882720738113555,0.15098051899557954,0.21001329650790382
C1,no,Insulin,26.262626262626263,0.20945921742974105,0.20882720644025937,0.15098051842094382,0.21001329593193496
C1,no,Insulin,26.767676767676768,0.20945921669386008,0.20882720578585806,0.1509805180215831,0.21001329553130416
C1,no,Insulin,27.272727272727273,0.2094592161710711,0.20882720532094898,0.15098051773806256,0.2100132952466121
C1,no,Insulin,27.77777777777778,0.20945921580446855,0.2088272049949433,0.15098051753930938,0.21001329504692434
C1,no,Insulin,28.282828282828284,0.20945921546192012,0.20882720469032273,0.15098051735359375,0.21001329486035145
C1,no,Insulin,28.78787878787879,0.20945921509631515,0.20882720436517943,0.1509805171554122,0.2100132946612484
C1,no,Insulin,29.292929292929294,0.2094592148019526,0.20882720410339803,0.15098051699581372,0.2100132945009477
C1,no,Insulin,29.7979797979798,0.2094592145788325,0.20882720390497858,0.1509805168747984,0.21001329437944927
C1,no,Insulin,30.303030303030305,0.20945921442695478,0.20882720376992103,0.15098051679236618,0.2100132942967532
C1,no,Insulin,30.80808080808081,0.20945921434631953,0.2088272036982254,0.15098051674851712,0.21001329425285944
C1,no,Insulin,31.313131313131315,0.20945921433692669,0.2088272036898917,0.15098051674325114,0.21001329424776802
C1,no,Insulin,31.81818181818182,0.20945921439877627,0.20882720374491992,0.1509805167765683,0.2100132942814789
C1,no,Insulin,32.323232323232325,0.20945921450162272,0.20882720383640893,0.15098051683209923,0.21001329433751734
C1,no,Insulin,32.82828282828283,0.20945921445471724,0.2088272037947021,0.15098051680660796,0.21001329431198199
C1,no,Insulin,33.333333333333336,0.20945921442671994,0.20882720376980984,0.15098051679137578,0.21001329429674243
C1,no,Insulin,33.83838383838384,0.20945921441763082,0.20882720376173217,0.15098051678640267,0.2100132942917986
C1,no,Insulin,34.343434343434346,0.20945921442744989,0.20882720377046907,0.1509805167916886,0.21001329429715054
C1,no,Insulin,34.84848484848485,0.20945921445617716,0.20882720379602054,0.15098051680723365,0.21001329431279828
C1,no,Insulin,35.35353535353536,0.20945921450381258,0.20882720383838657,0.15098051683303776,0.21001329433874172
C1,no,Insulin,35.85858585858586,0.2094592145703562,0.2088272038975672,0.15098051686910097,0.21001329437498095
C1,no,Insulin,36.36363636363637,0.209459214655808,0.2088272039735624,0.15098051691542322,0.21001329442151595
C1,no,Insulin,36.86868686868687,0.20945921467850062,0.2088272039937608,0.15098051692758124,0.2100132944338926
C1,no,Insulin,37.37373737373738,0.2094592147043169,0.20882720401671678,0.15098051694160416,0.21001329444794767
C1,no,Insulin,37.87878787878788,0.20945921473013315,0.20882720403967278,0.1509805169556271,0.21001329446200273
C1,no,Insulin,38.38383838383839,0.20945921475594942,0.20882720406262875,0.15098051696965,0.2100132944760578
C1,no,Insulin,38.88888888888889,0.20945921478176568,0.20882720408558472,0.15098051698367293,0.21001329449011286
C1,no,Insulin,39.3939393939394,0.20945921480758198,0.2088272041085407,0.15098051699769585,0.21001329450416792
C1,no,Insulin,39.8989898989899,0.20945921483339824,0.20882720413149666,0.15098051701171877,0.21001329451822298
C1,no,Insulin,40.40404040404041,0.2094592148592145,0.20882720415445266,0.15098051702574172,0.21001329453227804
C1,no,Insulin,40.909090909090914,0.20945921487303115,0.20882720416673853,0.1509805170332466,0.21001329453980022
C1,no,Insulin,41.41414141414142,0.20945921487384966,0.20882720416746633,0.15098051703369114,0.21001329454024587
C1,no,Insulin,41.919191919191924,0.20945921487466818,0.20882720416819417,0.15098051703413568,0.21001329454069148
C1,no,Insulin,42.42424242424243,0.20945921487548666,0.20882720416892198,0.1509805170345802,0.2100132945411371
C1,no,Insulin,42.929292929292934,0.20945921487630517,0.2088272041696498,0.15098051703502474,0.21001329454158274
C1,no,Insulin,43.43434343434344,0.20945921487712368,0.20882720417037764,0.15098051703546927,0.21001329454202836
C1,no,Insulin,43.939393939393945,0.2094592148779422,0.20882720417110545,0.1509805170359138,0.210013294542474
C1,no,Insulin,44.44444444444445,0.2094592148787607,0.20882720417183329,0.15098051703635834,0.21001329454291962
C1,no,Insulin,44.949494949494955,0.2094592148795792,0.2088272041725611,0.15098051703680285,0.21001329454336526
C1,no,Insulin,45.45454545454546,0.2094592148803977,0.20882720417328893,0.15098051703724738,0.21001329454381087
C1,no,Insulin,45.959595959595966,0.20945921488121622,0.20882720417401676,0.1509805170376919,0.21001329454425652
C1,no,Insulin,46.46464646464647,0.20945921488203473,0.20882720417474457,0.15098051703813645,0.21001329454470213
C1,no,Insulin,46.969696969696976,0.20945921488285324,0.2088272041754724,0.15098051703858098,0.21001329454514778
C1,no,Insulin,47.47474747474748,0.20945921488367172,0.20882720417620024,0.1509805170390255,0.2100132945455934
C1,no,Insulin,47.979797979797986,0.20945921488449024,0.20882720417692804,0.15098051703947005,0.21001329454603904
C1,no,Insulin,48.484848484848484,0.20945921488530875,0.20882720417765588,0.15098051703991458,0.21001329454648465
C1,no,Insulin,48.98989898989899,0.20945921488612726,0.20882720417838369,0.15098051704035909,0.2100132945469303
C1,no,Insulin,49.494949494949495,0.20945921488694577,0.20882720417911152,0.15098051704080362,0.2100132945473759
C1,no,Insulin,50.0,0.20945921488776426,0.20882720417983935,0.15098051704124815,0.21001329454782153
