0,Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
4,Ecoli_12_4.sif,12,KM3,REVEAL,100,95,1,90,8,45,0.1111111111,0.0217391304,0.6319444444,0.4700532387,-0.1153675504
4,Ecoli_13_4.sif,13,KM3,REVEAL,100,701,2,122,9,36,0.1818181818,0.0526315789,0.7337278107,0.4919646444,-0.0271980429
4,Ecoli_14_4.sif,14,KM3,REVEAL,100,1385,2,132,12,50,0.1428571429,0.0384615385,0.6836734694,0.4775641026,-0.0769230769
5,Ecoli_10_5.sif,10,KM3,REVEAL,100,10,1,55,5,39,0.1666666667,0.025,0.56,0.4708333333,-0.1203324787
5,Ecoli_11_5.sif,11,KM3,REVEAL,100,36,5,70,5,41,0.5,0.1086956522,0.6198347107,0.5210144928,0.0740963756
5,Ecoli_12_5.sif,12,KM3,REVEAL,100,108,3,77,9,55,0.25,0.0517241379,0.5555555556,0.4735364876,-0.0939210882
5,Ecoli_13_5.sif,13,KM3,REVEAL,100,731,4,113,9,43,0.3076923077,0.085106383,0.6923076923,0.5056679456,0.0190612131
5,Ecoli_14_5.sif,14,KM3,REVEAL,100,1389,6,125,7,58,0.4615384615,0.09375,0.6683673469,0.5203598485,0.0767333694
6,Ecoli_10_6.sif,10,KM3,REVEAL,100,10,5,46,5,44,0.5,0.1020408163,0.51,0.5020008003,0.0066680004
6,Ecoli_11_6.sif,11,KM3,REVEAL,100,36,5,60,5,51,0.5,0.0892857143,0.5371900826,0.5061813187,0.0223872285
6,Ecoli_12_6.sif,12,KM3,REVEAL,100,78,4,68,6,66,0.4,0.0571428571,0.5,0.488030888,-0.0470656874
6,Ecoli_13_6.sif,13,KM3,REVEAL,100,727,1,106,7,55,0.125,0.0178571429,0.6331360947,0.4779551201,-0.0977266556
6,Ecoli_14_6.sif,14,KM3,REVEAL,100,1379,3,113,7,73,0.3,0.0394736842,0.5918367347,0.4905701754,-0.0417613525
7,Ecoli_10_7.sif,10,KM3,REVEAL,100,11,3,39,5,53,0.375,0.0535714286,0.42,0.4699675325,-0.1099012056
7,Ecoli_11_7.sif,11,KM3,REVEAL,100,36,5,50,6,60,0.4545454545,0.0769230769,0.4545454545,0.4848901099,-0.0524142418
7,Ecoli_12_7.sif,12,KM3,REVEAL,100,85,6,57,5,76,0.5454545455,0.0731707317,0.4375,0.4962627852,-0.01393345
7,Ecoli_13_7.sif,13,KM3,REVEAL,100,795,4,97,7,61,0.3636363636,0.0615384615,0.5976331361,0.4971153846,-0.0113780116
7,Ecoli_14_7.sif,14,KM3,REVEAL,100,1428,8,102,5,81,0.6153846154,0.0898876404,0.5612244898,0.5215793342,0.0863490788
8,Ecoli_10_8.sif,10,KM3,REVEAL,100,11,6,33,3,58,0.6666666667,0.09375,0.39,0.5052083333,0.0174714139
8,Ecoli_11_8.sif,11,KM3,REVEAL,100,38,7,45,4,65,0.6363636364,0.0972222222,0.4297520661,0.5077947846,0.0266198569
8,Ecoli_12_8.sif,12,KM3,REVEAL,100,100,6,45,5,88,0.5454545455,0.0638297872,0.3541666667,0.4819148936,-0.0648302699
8,Ecoli_13_8.sif,13,KM3,REVEAL,100,425,7,91,4,67,0.6363636364,0.0945945946,0.5798816568,0.5262446657,0.1055659396
8,Ecoli_14_8.sif,14,KM3,REVEAL,100,1218,5,86,8,97,0.3846153846,0.0490196078,0.4642857143,0.4819566124,-0.0724460757
9,Ecoli_10_9.sif,10,KM3,REVEAL,100,11,8,26,1,65,0.8888888889,0.1095890411,0.34,0.536276002,0.1125513671
9,Ecoli_12_9.sif,12,KM3,REVEAL,100,97,6,33,5,100,0.5454545455,0.0566037736,0.2708333333,0.4625124131,-0.124405634
9,Ecoli_11_9.sif,12,KM3,REVEAL,100,106,7,61,5,71,0.5833333333,0.0897435897,0.4722222222,0.506993007,0.0252136453
9,Ecoli_13_9.sif,13,KM3,REVEAL,100,431,6,81,5,77,0.5454545455,0.0722891566,0.5147928994,0.5070748109,0.0286753162
9,Ecoli_14_9.sif,14,KM3,REVEAL,100,1255,4,74,7,111,0.3636363636,0.0347826087,0.3979591837,0.4741814278,-0.11047689
,,,,,,,,,,,,,,,
,Mean_Nodes,11.9555555556,,,,,,,,,,,,,
,Mean_Runtime,413.6444444444,,,,,,,,,,,,,
,Mean_BACC,0.4983261686,,,,,,,,,,,,,
,Mean_MCC,-0.0080059805,,,,,,,,,,,,,
,Mean_ACC,0.618644613,,,,,,,,,,,,,
,Mean_Precision,0.3424058657,,,,,,,,,,,,,
,Mean_Recall,0.0732855863,,,,,,,,,,,,,
