,,,Slide ID,b,c,a,e,d
,,,Antibody Name,b,c,a,e,d
,,,HUGO ID,b,c,a,e,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,15.656565656565657,0.15982181482891222,0.14208592476946336,0.08557164614258037,0.019578440982573185,0.18620070594757693
C1,no,Insulin,16.161616161616163,0.15982189668988125,0.14208603594480904,0.0855717055898091,0.01957846125457408,0.18620067306125496
C1,no,Insulin,16.666666666666668,0.15982194570728056,0.14208610879850161,0.0855717445634635,0.019578474868702907,0.1862006518182709
C1,no,Insulin,17.171717171717173,0.15982198004987197,0.142086156776503,0.08557177022353102,0.019578483683022792,0.18620063769148867
C1,no,Insulin,17.67676767676768,0.15982200265169613,0.14208618842481308,0.08557178715041135,0.0195784895012974,0.18620062837373955
C1,no,Insulin,18.181818181818183,0.15982201761373108,0.14208620938670957,0.08557179836185938,0.019578493355555334,0.18620062220155448
C1,no,Insulin,18.68686868686869,0.1598220274418625,0.14208622316859804,0.08557180573317033,0.019578495890290402,0.1862006181435413
C1,no,Insulin,19.191919191919194,0.15982203394833688,0.1420862323065867,0.08557181062073213,0.019578497571668275,0.18620061545334812
C1,no,Insulin,19.6969696969697,0.15982203810820583,0.14208623816776592,0.0855718137557284,0.019578498651114412,0.18620061372854713
C1,no,Insulin,20.202020202020204,0.15982204080574963,0.14208624199423395,0.08557181580249579,0.019578499357188677,0.18620061260362952
C1,no,Insulin,20.70707070707071,0.15982204256188637,0.14208624451986293,0.08557181715355339,0.01957849982504533,0.18620061186274536
C1,no,Insulin,21.212121212121215,0.15982204372669753,0.14208624622545837,0.08557181806602869,0.019578500142574447,0.1862006113638808
C1,no,Insulin,21.71717171717172,0.1598220446616672,0.1420862475775362,0.08557181878932417,0.019578500393424687,0.18620061096766508
C1,no,Insulin,22.222222222222225,0.15982204547834156,0.1420862487308625,0.08557181940621643,0.01957850060597229,0.18620061062839444
C1,no,Insulin,22.72727272727273,0.15982204606283393,0.14208624952336876,0.08557181983001005,0.019578500750283716,0.18620061039374342
C1,no,Insulin,23.232323232323235,0.15982204641514425,0.142086249955055,0.08557182006070506,0.019578500826358976,0.186200610263712
C1,no,Insulin,23.73737373737374,0.15982204653527257,0.14208625002592123,0.08557182009830144,0.019578500834198063,0.18620061023830023
C1,no,Insulin,24.242424242424242,0.15982204677563114,0.14208625033829486,0.08557182026529953,0.019578500890335096,0.18620061014516062
C1,no,Insulin,24.747474747474747,0.15982204691470459,0.1420862505135716,0.08557182035898563,0.019578500921520352,0.18620061009262542
C1,no,Insulin,25.252525252525253,0.15982204695090804,0.14208625054904273,0.08557182037790943,0.019578500927229764,0.1862006100814697
C1,no,Insulin,25.757575757575758,0.1598220468842415,0.1420862504447082,0.08557182032207095,0.019578500907463332,0.1862006101116935
C1,no,Insulin,26.262626262626263,0.15982204700047936,0.14208625057402477,0.085571820391131,0.019578500929453665,0.18620061007204616
C1,no,Insulin,26.767676767676768,0.15982204690534413,0.1420862504461243,0.0855718203227395,0.01957850090622381,0.18620061010996988
C1,no,Insulin,27.272727272727273,0.15982204681020887,0.14208625031822386,0.085571820254348,0.019578500882993954,0.1862006101478936
C1,no,Insulin,27.77777777777778,0.15982204671507363,0.1420862501903234,0.08557182018595648,0.0195785008597641,0.1862006101858173
C1,no,Insulin,28.282828282828284,0.15982204662190172,0.14208625006505546,0.08557182011897263,0.01957850083701198,0.18620061022296014
C1,no,Insulin,28.78787878787879,0.15982204661410787,0.14208625005426495,0.08557182011320164,0.01957850083503482,0.18620061022614448
C1,no,Insulin,29.292929292929294,0.15982204660631402,0.14208625004347442,0.08557182010743065,0.019578500833057663,0.18620061022932885
C1,no,Insulin,29.7979797979798,0.15982204659852017,0.1420862500326839,0.08557182010165967,0.019578500831080505,0.1862006102325132
C1,no,Insulin,30.303030303030305,0.15982204659072632,0.1420862500218934,0.08557182009588869,0.019578500829103347,0.18620061023569753
C1,no,Insulin,30.80808080808081,0.15982204658293248,0.1420862500111029,0.0855718200901177,0.01957850082712619,0.1862006102388819
C1,no,Insulin,31.313131313131315,0.15982204657513863,0.14208625000031236,0.08557182008434672,0.01957850082514903,0.18620061024206624
C1,no,Insulin,31.81818181818182,0.15982204656734478,0.14208624998952185,0.08557182007857574,0.019578500823171873,0.18620061024525061
C1,no,Insulin,32.323232323232325,0.15982204655955093,0.14208624997873134,0.08557182007280476,0.019578500821194715,0.18620061024843496
C1,no,Insulin,32.82828282828283,0.15982204655175708,0.14208624996794084,0.08557182006703376,0.019578500819217557,0.1862006102516193
C1,no,Insulin,33.333333333333336,0.15982204654396323,0.1420862499571503,0.08557182006126278,0.019578500817240396,0.18620061025480367
C1,no,Insulin,33.83838383838384,0.1598220465361694,0.1420862499463598,0.0855718200554918,0.019578500815263238,0.186200610257988
C1,no,Insulin,34.343434343434346,0.15982204652837556,0.1420862499355693,0.0855718200497208,0.01957850081328608,0.18620061026117238
C1,no,Insulin,34.84848484848485,0.1598220465205817,0.14208624992477878,0.08557182004394982,0.01957850081130892,0.18620061026435672
C1,no,Insulin,35.35353535353536,0.15982204651278786,0.14208624991398824,0.08557182003817884,0.019578500809331763,0.18620061026754106
C1,no,Insulin,35.85858585858586,0.15982204650499401,0.14208624990319774,0.08557182003240786,0.019578500807354605,0.18620061027072543
