,,,Slide ID,c,e,f,g,d,a,b
,,,Antibody Name,c,e,f,g,d,a,b
,,,HUGO ID,c,e,f,g,d,a,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,20.202020202020204,0.21020052266949113,0.2503852511762049,0.42095391855568864,0.33556089212697315,0.19489653893479308,0.7280807741874638,0.21701357338338528
C1,no,Insulin,20.70707070707071,0.2102005225682992,0.25038525120021415,0.4209539185561374,0.3355608920894022,0.19489653890657652,0.7280807741889321,0.21701357338313093
C1,no,Insulin,21.212121212121215,0.21020052240578063,0.2503852512397328,0.420953918556838,0.3355608920324778,0.194896538863849,0.7280807741909893,0.21701357338283764
C1,no,Insulin,21.71717171717172,0.21020052237909734,0.2503852512432007,0.42095391855699527,0.33556089201241374,0.1948965388487132,0.7280807741922677,0.21701357338241156
C1,no,Insulin,22.222222222222225,0.21020052232589956,0.2503852512574072,0.42095391855722714,0.3355608919982479,0.19489653883810834,0.7280807741925527,0.21701357338248883
C1,no,Insulin,22.72727272727273,0.21020052227270178,0.25038525127161365,0.42095391855745906,0.3355608919840821,0.1948965388275035,0.7280807741928378,0.2170135733825661
C1,no,Insulin,23.232323232323235,0.210200522219504,0.2503852512858201,0.42095391855769093,0.33556089196991634,0.19489653881689864,0.7280807741931228,0.21701357338264338
C1,no,Insulin,23.73737373737374,0.21020052216630622,0.2503852513000266,0.4209539185579228,0.3355608919557505,0.19489653880629382,0.7280807741934078,0.21701357338272065
C1,no,Insulin,24.242424242424242,0.21020052215675328,0.25038525130258904,0.42095391855796327,0.3355608919532513,0.19489653880442334,0.7280807741934561,0.21701357338273475
C1,no,Insulin,24.747474747474747,0.21020052215506363,0.2503852513030537,0.42095391855796926,0.33556089195285405,0.1948965388041265,0.7280807741934618,0.21701357338273747
C1,no,Insulin,25.252525252525253,0.21020052215337395,0.25038525130351835,0.42095391855797526,0.33556089195245675,0.19489653880382965,0.7280807741934676,0.21701357338274022
