,,,Slide ID,b,f,e,a,c,d
,,,Antibody Name,b,f,e,a,c,d
,,,HUGO ID,b,f,e,a,c,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,36.36363636363637,0.09320037050723111,0.1871176505752999,0.31146175761281675,0.05534961026890661,0.6185029765871249,0.38545934420735484
C1,no,Insulin,36.86868686868687,0.09320037050827337,0.1871176505774686,0.3114617576130906,0.05534961026943947,0.6185029765881648,0.3854593442075835
C1,no,Insulin,37.37373737373738,0.09320037050931565,0.18711765057963728,0.31146175761336437,0.05534961026997234,0.6185029765892046,0.38545934420781214
C1,no,Insulin,37.87878787878788,0.09320037051035791,0.187117650581806,0.31146175761363815,0.0553496102705052,0.6185029765902443,0.3854593442080408
C1,no,Insulin,38.38383838383839,0.09320037051140018,0.18711765058397467,0.3114617576139119,0.05534961027103806,0.6185029765912842,0.3854593442082694
C1,no,Insulin,38.88888888888889,0.09320037051244245,0.18711765058614335,0.31146175761418576,0.055349610271570926,0.618502976592324,0.38545934420849803
C1,no,Insulin,39.3939393939394,0.0932003705128672,0.18711765058702745,0.3114617576142971,0.055349610271788086,0.6185029765927473,0.38545934420859096
C1,no,Insulin,39.8989898989899,0.0932003705128804,0.18711765058705543,0.31146175761430017,0.05534961027179487,0.61850297659276,0.3854593442085935
C1,no,Insulin,40.40404040404041,0.09320037051289361,0.18711765058708343,0.3114617576143032,0.05534961027180165,0.6185029765927726,0.3854593442085961
C1,no,Insulin,40.909090909090914,0.0932003705129068,0.18711765058711144,0.3114617576143063,0.05534961027180843,0.6185029765927852,0.3854593442085987
C1,no,Insulin,41.41414141414142,0.09320037051292002,0.18711765058713944,0.31146175761430933,0.05534961027181521,0.6185029765927978,0.38545934420860123
C1,no,Insulin,41.919191919191924,0.09320037051293321,0.18711765058716745,0.3114617576143124,0.05534961027182199,0.6185029765928104,0.3854593442086038
C1,no,Insulin,42.42424242424243,0.09320037051294643,0.18711765058719546,0.31146175761431544,0.05534961027182877,0.618502976592823,0.38545934420860634
C1,no,Insulin,42.929292929292934,0.09320037051295964,0.18711765058722346,0.3114617576143185,0.055349610271835555,0.6185029765928357,0.3854593442086089
C1,no,Insulin,43.43434343434344,0.09320037051297284,0.18711765058725147,0.31146175761432154,0.055349610271842334,0.6185029765928483,0.38545934420861144
C1,no,Insulin,43.939393939393945,0.09320037051298605,0.18711765058727947,0.31146175761432465,0.05534961027184911,0.6185029765928609,0.385459344208614
C1,no,Insulin,44.44444444444445,0.09320037051299924,0.18711765058730745,0.3114617576143277,0.05534961027185589,0.6185029765928735,0.3854593442086166
C1,no,Insulin,44.949494949494955,0.09320037051301246,0.18711765058733545,0.31146175761433076,0.05534961027186267,0.6185029765928861,0.38545934420861916
C1,no,Insulin,45.45454545454546,0.09320037051302565,0.18711765058736346,0.3114617576143338,0.05534961027186946,0.6185029765928988,0.3854593442086217
C1,no,Insulin,45.959595959595966,0.09320037051303887,0.18711765058739147,0.31146175761433686,0.05534961027187624,0.6185029765929113,0.38545934420862427
C1,no,Insulin,46.46464646464647,0.09320037051305208,0.18711765058741947,0.3114617576143399,0.05534961027188302,0.618502976592924,0.3854593442086268
C1,no,Insulin,46.969696969696976,0.09320037051306528,0.18711765058744748,0.31146175761434297,0.055349610271889796,0.6185029765929365,0.3854593442086294
