NON $ % + - .
#NON	b	a	d	c	e
19.6969696969697	0.03176571729277324	0.16382036536683092	0.12304503389952628	0.11191823781184314	0.1324609987613992
20.202020202020204	0.03176571729060675	0.1638203653689879	0.12304503389530812	0.11191823789966547	0.13246099875603504
20.70707070707071	0.031765717287347305	0.16382036537202782	0.12304503388875619	0.11191823801561143	0.13246099874771755
21.212121212121215	0.03176571728642617	0.1638203653730769	0.12304503388711613	0.11191823806354982	0.13246099874562037
21.71717171717172	0.03176571728550504	0.16382036537412598	0.12304503388547607	0.11191823811148821	0.13246099874352318
22.222222222222225	0.03176571728458392	0.16382036537517505	0.123045033883836	0.1119182381594266	0.13246099874142597
22.72727272727273	0.03176571728366279	0.16382036537622413	0.12304503388219595	0.11191823820736499	0.1324609987393288
23.232323232323235	0.03176571728354839	0.1638203653763567	0.1230450338819941	0.11191823821351042	0.1324609987390704
23.73737373737374	0.03176571728352274	0.1638203653763884	0.12304503388195048	0.11191823821505811	0.13246099873901432
24.242424242424242	0.03176571728349709	0.1638203653764201	0.12304503388190685	0.11191823821660579	0.13246099873895825
24.747474747474747	0.03176571728347145	0.1638203653764518	0.12304503388186323	0.11191823821815348	0.13246099873890216
25.252525252525253	0.0317657172834458	0.16382036537648353	0.12304503388181962	0.11191823821970118	0.1324609987388461
25.757575757575758	0.03176571728342015	0.16382036537651523	0.12304503388177598	0.11191823822124886	0.13246099873879003
26.262626262626263	0.0317657172833945	0.16382036537654696	0.12304503388173237	0.11191823822279655	0.13246099873873393
26.767676767676768	0.031765717283368855	0.16382036537657865	0.12304503388168873	0.11191823822434424	0.13246099873867787
27.272727272727273	0.03176571728334321	0.16382036537661038	0.12304503388164512	0.11191823822589192	0.13246099873862177
27.77777777777778	0.031765717283317556	0.16382036537664207	0.1230450338816015	0.11191823822743961	0.1324609987385657
28.282828282828284	0.03176571728329191	0.1638203653766738	0.12304503388155787	0.11191823822898729	0.1324609987385096
28.78787878787879	0.031765717283266263	0.16382036537670552	0.12304503388151425	0.11191823823053498	0.13246099873845354
29.292929292929294	0.03176571728324062	0.16382036537673722	0.12304503388147063	0.11191823823208268	0.13246099873839745
29.7979797979798	0.03176571728321497	0.16382036537676894	0.123045033881427	0.11191823823363035	0.13246099873834138
30.303030303030305	0.03176571728318932	0.16382036537680064	0.12304503388138338	0.11191823823517805	0.13246099873828532
