,,,Slide ID,e,d,c,b,a
,,,Antibody Name,e,d,c,b,a
,,,HUGO ID,e,d,c,b,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,13.636363636363637,0.2545392468996011,0.20838910474758118,0.1261307298195318,0.1586981733950306,0.2057395055771409
C1,no,Insulin,14.141414141414142,0.2545392469040409,0.2083891047494707,0.1261307297542689,0.15869817337188352,0.20573950558108808
C1,no,Insulin,14.646464646464647,0.25453924690848073,0.20838910475136022,0.12613072968900596,0.15869817334873645,0.20573950558503523
C1,no,Insulin,15.151515151515152,0.25453924690903595,0.2083891047516812,0.12613072968240785,0.15869817334650077,0.20573950558552412
C1,no,Insulin,15.656565656565657,0.25453924690928703,0.20838910475187936,0.1261307296804044,0.15869817334590286,0.20573950558574217
C1,no,Insulin,16.161616161616163,0.25453924690953805,0.20838910475207753,0.12613072967840097,0.15869817334530495,0.2057395055859602
C1,no,Insulin,16.666666666666668,0.25453924690978913,0.20838910475227568,0.12613072967639755,0.15869817334470704,0.20573950558617823
C1,no,Insulin,17.171717171717173,0.2545392469100402,0.20838910475247382,0.12613072967439412,0.15869817334410913,0.20573950558639628
C1,no,Insulin,17.67676767676768,0.25453924691029123,0.20838910475267197,0.12613072967239067,0.15869817334351125,0.20573950558661433
C1,no,Insulin,18.181818181818183,0.2545392469105423,0.20838910475287015,0.12613072967038724,0.15869817334291333,0.20573950558683235
C1,no,Insulin,18.68686868686869,0.2545392469107933,0.2083891047530683,0.12613072966838382,0.15869817334231542,0.2057395055870504
C1,no,Insulin,19.191919191919194,0.2545392469110444,0.20838910475326644,0.1261307296663804,0.1586981733417175,0.20573950558726845
C1,no,Insulin,19.6969696969697,0.2545392469112954,0.20838910475346462,0.12613072966437694,0.1586981733411196,0.2057395055874865
C1,no,Insulin,20.202020202020204,0.2545392469115465,0.20838910475366276,0.12613072966237351,0.15869817334052172,0.20573950558770454
C1,no,Insulin,20.70707070707071,0.2545392469117976,0.2083891047538609,0.1261307296603701,0.1586981733399238,0.20573950558792256
C1,no,Insulin,21.212121212121215,0.2545392469120486,0.20838910475405908,0.12613072965836666,0.1586981733393259,0.2057395055881406
C1,no,Insulin,21.71717171717172,0.2545392469122997,0.20838910475425723,0.1261307296563632,0.158698173338728,0.20573950558835866
C1,no,Insulin,22.222222222222225,0.2545392469125507,0.20838910475445538,0.12613072965435979,0.15869817333813008,0.2057395055885767
C1,no,Insulin,22.72727272727273,0.2545392469128018,0.20838910475465355,0.12613072965235636,0.1586981733375322,0.20573950558879472
C1,no,Insulin,23.232323232323235,0.2545392469130528,0.2083891047548517,0.12613072965035294,0.15869817333693428,0.20573950558901277
C1,no,Insulin,23.73737373737374,0.2545392469133039,0.20838910475504985,0.12613072964834948,0.15869817333633637,0.20573950558923082
C1,no,Insulin,24.242424242424242,0.25453924691355495,0.208389104755248,0.12613072964634606,0.15869817333573846,0.20573950558944887
C1,no,Insulin,24.747474747474747,0.25453924691380597,0.20838910475544617,0.12613072964434263,0.15869817333514055,0.20573950558966692
C1,no,Insulin,25.252525252525253,0.25453924691405705,0.20838910475564432,0.1261307296423392,0.15869817333454264,0.20573950558988494
C1,no,Insulin,25.757575757575758,0.25453924691430807,0.20838910475584246,0.12613072964033578,0.15869817333394476,0.20573950559010298
C1,no,Insulin,26.262626262626263,0.25453924691455915,0.20838910475604064,0.12613072963833233,0.15869817333334685,0.20573950559032103
C1,no,Insulin,26.767676767676768,0.25453924691481017,0.20838910475623879,0.1261307296363289,0.15869817333274894,0.20573950559053908
C1,no,Insulin,27.272727272727273,0.25453924691506125,0.20838910475643693,0.12613072963432548,0.15869817333215103,0.20573950559075713
C1,no,Insulin,27.77777777777778,0.25453924691531227,0.2083891047566351,0.12613072963232205,0.15869817333155312,0.20573950559097515
C1,no,Insulin,28.282828282828284,0.25453924691556334,0.20838910475683325,0.1261307296303186,0.15869817333095523,0.2057395055911932
C1,no,Insulin,28.78787878787879,0.2545392469158144,0.2083891047570314,0.12613072962831517,0.15869817333035732,0.20573950559141124
