,,,Slide ID,G4,G3,G11,G6,G5,G7,G2,G1,G10,G8,G9
,,,Antibody Name,G4,G3,G11,G6,G5,G7,G2,G1,G10,G8,G9
,,,HUGO ID,G4,G3,G11,G6,G5,G7,G2,G1,G10,G8,G9
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,14.141414141414142,0.00639577843277688,0.1305188032945119,0.24099838960326825,0.00384631709267536,0.20874882755611432,0.00796787934104951,0.16296831441889312,0.1034830071802926,0.24823114607366606,0.01073452169223612,0.00509404193623174
C1,no,Insulin,14.646464646464647,0.00639609906140684,0.13052130209659615,0.2409983884552895,0.0038465432870146824,0.2087473238308163,0.007968333149216668,0.16297020228319334,0.1034830060235834,0.2482333870769589,0.010734975378120236,0.005094336165231811
C1,no,Insulin,15.151515151515152,0.006396323635200722,0.1305230454160087,0.24099838785768216,0.003846701805149567,0.20874627495724796,0.007968651564922444,0.1629715190789659,0.10348300544290863,0.2482349516339021,0.010735294964654465,0.005094542516625277
C1,no,Insulin,15.656565656565657,0.00639648070900311,0.13052426084321725,0.24099838752882713,0.0038468127234057526,0.2087455437613644,0.007968874496874912,0.16297243740768957,0.10348300512116972,0.2482360408747151,0.010735518826206823,0.0050946869418113765
C1,no,Insulin,16.161616161616163,0.006396590606868539,0.13052510873509382,0.24099838735645424,0.0038468903373549148,0.2087450337325203,0.007969030558407779,0.16297307796488442,0.10348300495803123,0.24823680142218174,0.010735673106731132,0.005094788047742247
C1,no,Insulin,16.666666666666668,0.006396667428512901,0.1305257002700049,0.24099838726448858,0.0038469446251936383,0.2087446779346997,0.007969139779929425,0.16297352482233904,0.10348300487243954,0.24823733201897896,0.010735782589156263,0.005094858773369157
C1,no,Insulin,17.171717171717173,0.006396721279939978,0.13052611412832923,0.24099838721561295,0.003846982681861223,0.2087444290205678,0.00796921637355965,0.16297383748765631,0.10348300482792264,0.24823770309385887,0.010735858734484844,0.005094908370411053
C1,no,Insulin,17.67676767676768,0.006396758920827861,0.1305264029653196,0.24099838719000558,0.0038470092882071805,0.20874425530798674,0.007969269940982002,0.1629740556860451,0.10348300480515081,0.24823796216482483,0.010735912012035899,0.005094943051728234
C1,no,Insulin,18.181818181818183,0.006396785407951934,0.13052660597199403,0.24099838717702976,0.0038470280203731296,0.208744133220007,0.007969307662735438,0.16297420904800838,0.10348300479397174,0.24823814420821555,0.010735949881118347,0.005094967465769022
C1,no,Insulin,18.68686868686869,0.006396803502555795,0.13052674448576046,0.2409983871718137,0.003847040826779559,0.2087440499212046,0.007969333455783694,0.16297431369127574,0.10348300478982521,0.24823826837909943,0.010735976149923495,0.005094984151584297
C1,no,Insulin,19.191919191919194,0.006396815961848934,0.13052683980381302,0.24099838716951372,0.0038470496521620947,0.20874399260035015,0.007969351230413087,0.16297438570247055,0.10348300478815246,0.2482383538049178,0.010735994574001886,0.0050949956445095436
C1,no,Insulin,19.6969696969697,0.0063968247313948125,0.130526906905651,0.24099838716739833,0.003847055867151017,0.20874395224718512,0.007969363745366727,0.16297443639543663,0.10348300478636874,0.2482384139522442,0.010736007694982721,0.0050950037343543845
C1,no,Insulin,20.202020202020204,0.0063968309273315475,0.13052695433965117,0.2409983871652782,0.003847060261845039,0.208743923721049,0.007969372591834775,0.16297447222747632,0.10348300478438077,0.24823845649588597,0.010736017148412724,0.00509500945030987
C1,no,Insulin,20.70707070707071,0.006396835173833104,0.13052698687821593,0.24099838716334654,0.0038470632789600633,0.20874390415228536,0.007969378661567876,0.1629744968039209,0.10348300478244916,0.24823848571761334,0.010736023892552847,0.005095013368435054
C1,no,Insulin,21.212121212121215,0.006396838179423885,0.13052700993599867,0.240998387162083,0.0038470654219203326,0.20874389028531953,0.007969382968642802,0.16297451421599274,0.10348300478117,0.24823850647107298,0.010736029065899875,0.005095016143043119
C1,no,Insulin,21.71717171717172,0.006396840275844226,0.1305270260622023,0.2409983871615008,0.0038470669278595194,0.208743880587237,0.007969385989673953,0.16297452639061108,0.10348300478060554,0.24823852103458047,0.010736033285053521,0.005095018080570262
C1,no,Insulin,22.222222222222225,0.006396841836858064,0.13052703805085028,0.24099838716134406,0.0038470680463158144,0.20874387337773967,0.007969388235732537,0.16297453544218962,0.10348300478051088,0.24823853186899275,0.010736036281911648,0.005095019523053138
C1,no,Insulin,22.72727272727273,0.006396843072437497,0.13052704735100515,0.24099838716120084,0.0038470688912542084,0.20874386778524462,0.00796938995555234,0.1629745424704911,0.10348300478041962,0.24823854020066713,0.01073603647097476,0.005095020657960617
C1,no,Insulin,23.232323232323235,0.006396843895410471,0.13052705339501705,0.24099838716126032,0.003847069422678882,0.2087438641511566,0.007969391056425221,0.16297454704341938,0.10348300478054531,0.2482385455644115,0.010736034906892173,0.005095021408721702
