NON $ % + - . 0 1
#NON	e	a	d	c	g	b	f
36.36363636363637	0.3061677975760634	0.2519199590031282	0.18893905196590968	0.31047147516376733	0.24032192289676954	0.18884697524959276	0.3609158283977744
36.86868686868687	0.30616779757606094	0.25191995900212333	0.18893905196659025	0.3104714751637656	0.24032192289673	0.1888469752495739	0.3609158283977748
37.37373737373738	0.30616779757605844	0.25191995900111847	0.18893905196727082	0.3104714751637639	0.24032192289669047	0.18884697524955502	0.36091582839777525
37.87878787878788	0.30616779757605594	0.2519199590001136	0.18893905196795138	0.31047147516376217	0.2403219228966509	0.18884697524953614	0.36091582839777564
38.38383838383839	0.3061677975760535	0.25191995899910874	0.18893905196863195	0.31047147516376045	0.24032192289661136	0.18884697524951727	0.36091582839777603
38.88888888888889	0.306167797576051	0.2519199589981039	0.18893905196931254	0.3104714751637588	0.2403219228965718	0.1888469752494984	0.3609158283977764
39.3939393939394	0.3061677975760485	0.251919958997099	0.1889390519699931	0.31047147516375706	0.2403219228965323	0.18884697524947952	0.36091582839777686
39.8989898989899	0.30616779757604606	0.25191995899609415	0.18893905197067368	0.31047147516375534	0.24032192289649273	0.18884697524946065	0.36091582839777725
40.40404040404041	0.30616779757604357	0.2519199589950893	0.18893905197135424	0.3104714751637536	0.24032192289645318	0.18884697524944175	0.36091582839777764
40.909090909090914	0.3061677975760411	0.2519199589940844	0.18893905197203484	0.3104714751637519	0.24032192289641363	0.18884697524942287	0.360915828397778
41.41414141414142	0.3061677975760386	0.25191995899307956	0.1889390519727154	0.3104714751637502	0.24032192289637408	0.188846975249404	0.36091582839777847
41.919191919191924	0.3061677975760361	0.2519199589920747	0.18893905197339597	0.31047147516374846	0.24032192289633456	0.18884697524938512	0.36091582839777886
42.42424242424243	0.3061677975760337	0.25191995899106984	0.18893905197407654	0.31047147516374674	0.240321922896295	0.18884697524936625	0.36091582839777925
42.929292929292934	0.3061677975760312	0.251919958990065	0.18893905197475713	0.310471475163745	0.24032192289625545	0.18884697524934738	0.36091582839777964
43.43434343434344	0.3061677975760287	0.2519199589890601	0.1889390519754377	0.31047147516374335	0.2403219228962159	0.1888469752493285	0.3609158283977801
43.939393939393945	0.30616779757602625	0.25191995898805525	0.18893905197611827	0.31047147516374163	0.24032192289617638	0.18884697524930963	0.36091582839778047
44.44444444444445	0.30616779757602514	0.25191995898760533	0.18893905197642302	0.31047147516374085	0.24032192289615867	0.18884697524930116	0.3609158283977806
44.949494949494955	0.3061677975760251	0.2519199589875974	0.1889390519764285	0.31047147516374085	0.2403219228961584	0.18884697524930102	0.3609158283977806
45.45454545454546	0.3061677975760251	0.25191995898758945	0.18893905197643396	0.31047147516374085	0.2403219228961581	0.18884697524930089	0.36091582839778064
45.959595959595966	0.3061677975760251	0.2519199589875815	0.18893905197643943	0.3104714751637408	0.2403219228961578	0.18884697524930075	0.36091582839778064
46.46464646464647	0.3061677975760251	0.2519199589875736	0.1889390519764449	0.3104714751637408	0.24032192289615753	0.1888469752493006	0.36091582839778064
46.969696969696976	0.3061677975760251	0.25191995898756564	0.1889390519764504	0.3104714751637408	0.24032192289615725	0.1888469752493005	0.36091582839778064
47.47474747474748	0.3061677975760251	0.2519199589875577	0.18893905197645586	0.3104714751637408	0.24032192289615698	0.18884697524930036	0.36091582839778064
47.979797979797986	0.306167797576025	0.25191995898754976	0.18893905197646133	0.3104714751637408	0.24032192289615667	0.18884697524930022	0.36091582839778064
48.484848484848484	0.306167797576025	0.2519199589875418	0.1889390519764668	0.3104714751637408	0.2403219228961564	0.18884697524930008	0.36091582839778064
48.98989898989899	0.306167797576025	0.2519199589875339	0.18893905197647226	0.3104714751637408	0.24032192289615611	0.18884697524929994	0.36091582839778064
49.494949494949495	0.306167797576025	0.25191995898752595	0.18893905197647773	0.3104714751637408	0.2403219228961558	0.1888469752492998	0.36091582839778064
50.0	0.306167797576025	0.251919958987518	0.1889390519764832	0.3104714751637408	0.24032192289615553	0.18884697524929966	0.36091582839778064
