,,,Slide ID,c,d,e,a,f,b
,,,Antibody Name,c,d,e,a,f,b
,,,HUGO ID,c,d,e,a,f,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,15.656565656565657,0.24789143968842026,0.21832924957401098,0.18786506681602866,0.21265343874844428,0.22550740478482442,0.15210392506898335
C1,no,Insulin,16.161616161616163,0.2478907188617723,0.218328826493695,0.18786506698695507,0.21265343868136755,0.22550740479161652,0.1521036137220322
C1,no,Insulin,16.666666666666668,0.2478902433082499,0.21832854807961075,0.18786506681909435,0.21265343863102554,0.2255074047470848,0.1521034087898176
C1,no,Insulin,17.171717171717173,0.24788992841072482,0.21832836422818633,0.18786506650909007,0.21265343860015265,0.22550740468564642,0.1521032734262115
C1,no,Insulin,17.67676767676768,0.2478897200770258,0.2183282428844347,0.18786506655961946,0.21265343860236843,0.22550740469563813,0.15210318412237905
C1,no,Insulin,18.181818181818183,0.24788958024614394,0.21832816140289207,0.1878650671248482,0.21265343862342023,0.22550740479696688,0.15210312424572087
C1,no,Insulin,18.68686868686869,0.24788948391402527,0.21832810526606652,0.18786506760054136,0.2126534386368551,0.22550740488029467,0.15210308301219003
C1,no,Insulin,19.191919191919194,0.24788942516274953,0.21832807108038887,0.18786506776123751,0.21265343863423553,0.22550740490534565,0.1521030578867231
C1,no,Insulin,19.6969696969697,0.24788938373608138,0.21832804721157884,0.18786506673183148,0.2126534385854269,0.2255074047177282,0.15210304014922083
C1,no,Insulin,20.202020202020204,0.247889353887548,0.2183280300630192,0.1878650657831347,0.21265343854162236,0.22550740454537782,0.15210302736896564
C1,no,Insulin,20.70707070707071,0.24788933166352017,0.21832801719423586,0.187865065853315,0.21265343854455995,0.22550740455802087,0.15210301790964306
C1,no,Insulin,21.212121212121215,0.2478893199232527,0.2183280103699177,0.18786506626341185,0.21265343856400584,0.22550740463281466,0.15210301295436063
C1,no,Insulin,21.71717171717172,0.24788931039896792,0.21832800484624892,0.18786506648247253,0.21265343857435048,0.22550740467275418,0.1521030089249448
C1,no,Insulin,22.222222222222225,0.24788930499091813,0.21832800171354028,0.18786506663253041,0.2126534385814799,0.2255074047001349,0.15210300664379703
C1,no,Insulin,22.72727272727273,0.24788929813990984,0.21832799774149503,0.18786506688007076,0.21265343859327224,0.2255074047453139,0.15210300376080416
C1,no,Insulin,23.232323232323235,0.24788929991325656,0.2183279987755148,0.18786506687203036,0.2126534385929473,0.22550740474387543,0.15210300452036346
C1,no,Insulin,23.73737373737374,0.24788930168660328,0.21832799980953455,0.18786506686398993,0.21265343859262234,0.22550740474243694,0.1521030052799228
C1,no,Insulin,24.242424242424242,0.24788930285656754,0.21832800049104908,0.18786506685972665,0.21265343859245436,0.22550740474167608,0.15210300578072747
C1,no,Insulin,24.747474747474747,0.24788930359141575,0.21832800091836224,0.18786506685818713,0.21265343859239957,0.2255074047414038,0.15210300609493696
C1,no,Insulin,25.252525252525253,0.247889304326264,0.21832800134567537,0.18786506685664764,0.21265343859234478,0.2255074047411315,0.15210300640914642
C1,no,Insulin,25.757575757575758,0.24788930499698364,0.21832800173564143,0.18786506685529358,0.21265343859229693,0.22550740474089218,0.15210300669590332
C1,no,Insulin,26.262626262626263,0.24788930530135683,0.21832800191225527,0.187865066854999,0.21265343859228877,0.22550740474084105,0.1521030068258321
C1,no,Insulin,26.767676767676768,0.24788930560573003,0.21832800208886907,0.18786506685470447,0.2126534385922806,0.2255074047407899,0.15210300695576093
C1,no,Insulin,27.272727272727273,0.2478893059101032,0.21832800226548288,0.1878650668544099,0.21265343859227245,0.22550740474073877,0.15210300708568972
C1,no,Insulin,27.77777777777778,0.2478893060278072,0.21832800233373775,0.18786506685431523,0.21265343859227,0.22550740474072242,0.15210300713590613
C1,no,Insulin,28.282828282828284,0.24788930607180704,0.21832800235920832,0.18786506685429946,0.21265343859226984,0.22550740474071979,0.15210300715464894
C1,no,Insulin,28.78787878787879,0.24788930611580684,0.2183280023846789,0.18786506685428372,0.21265343859226965,0.22550740474071715,0.15210300717339179
C1,no,Insulin,29.292929292929294,0.24788930615980667,0.21832800241014946,0.18786506685426796,0.21265343859226948,0.2255074047407145,0.15210300719213463
C1,no,Insulin,29.7979797979798,0.2478893062038065,0.21832800243562003,0.18786506685425222,0.21265343859226932,0.22550740474071188,0.15210300721087747
C1,no,Insulin,30.303030303030305,0.2478893062478063,0.21832800246109058,0.18786506685423648,0.21265343859226915,0.22550740474070924,0.1521030072296203
C1,no,Insulin,30.80808080808081,0.24788930629180614,0.21832800248656115,0.18786506685422072,0.21265343859226896,0.22550740474070663,0.15210300724836315
C1,no,Insulin,31.313131313131315,0.24788930633580597,0.21832800251203172,0.18786506685420498,0.2126534385922688,0.225507404740704,0.15210300726710596
C1,no,Insulin,31.81818181818182,0.2478893063798058,0.21832800253750229,0.18786506685418922,0.21265343859226862,0.22550740474070136,0.1521030072858488
C1,no,Insulin,32.323232323232325,0.2478893064238056,0.21832800256297286,0.18786506685417348,0.21265343859226846,0.22550740474069872,0.15210300730459164
C1,no,Insulin,32.82828282828283,0.24788930646780544,0.2183280025884434,0.18786506685415771,0.2126534385922683,0.22550740474069608,0.15210300732333448
C1,no,Insulin,33.333333333333336,0.24788930651180527,0.21832800261391397,0.18786506685414198,0.2126534385922681,0.22550740474069347,0.15210300734207732
C1,no,Insulin,33.83838383838384,0.24788930655580507,0.21832800263938454,0.1878650668541262,0.21265343859226793,0.22550740474069084,0.15210300736082016
C1,no,Insulin,34.343434343434346,0.2478893065998049,0.2183280026648551,0.18786506685411047,0.21265343859226776,0.2255074047406882,0.152103007379563
C1,no,Insulin,34.84848484848485,0.24788930662996866,0.21832800268231375,0.1878650668541002,0.21265343859226765,0.2255074047406865,0.15210300739241023
C1,no,Insulin,35.35353535353536,0.24788930663632627,0.21832800268598718,0.18786506685409937,0.21265343859226768,0.22550740474068637,0.15210300739511365
C1,no,Insulin,35.85858585858586,0.24788930664268388,0.21832800268966063,0.18786506685409854,0.2126534385922677,0.22550740474068623,0.15210300739781707
C1,no,Insulin,36.36363636363637,0.24788930664904146,0.21832800269333405,0.1878650668540977,0.2126534385922677,0.22550740474068612,0.1521030074005205
C1,no,Insulin,36.86868686868687,0.24788930665539907,0.21832800269700747,0.18786506685409687,0.21265343859226774,0.22550740474068598,0.1521030074032239
