NON $ % + - . 0 1
#NON	g	e	c	f	d	a	b
10.101010101010102	0.1389329645000558	0.07869629138414728	0.022591597955690653	0.037197659131704065	0.1611045928771043	0.06708655693763349	0.10049255855021932
10.606060606060607	0.1388376897267902	0.07866565594207485	0.022575543275948566	0.03715767634049665	0.1610375213576587	0.06703567460564987	0.1004224664138069
11.111111111111112	0.13876864870240854	0.07864344516026045	0.02256390141938934	0.03712871567839671	0.16098886330892895	0.06699880316829838	0.1003716709688208
11.616161616161618	0.13871861596657245	0.07862734226823148	0.022555456464115376	0.037107734132539885	0.16095356318806459	0.06697208979919315	0.10033486646181781
12.121212121212121	0.13868235164854134	0.07861566808227842	0.022549336216139658	0.03709253094300341	0.1609279670005242	0.06695272422910016	0.10030818459422583
12.626262626262626	0.13865606923028592	0.07860720627847244	0.022544897274079656	0.03708151354453608	0.16090940459865338	0.06693869152524863	0.10028884976241137
13.131313131313131	0.1386370192823434	0.07860107198580438	0.02254168024489832	0.03707352910902963	0.16089594781925487	0.0669285192565663	0.10027483377888279
13.636363636363637	0.13862321383126527	0.07859662596339738	0.022539347681557617	0.037067743105521925	0.16088619149747288	0.06692114869306166	0.10026467780675058
14.141414141414142	0.13861320689947623	0.0785934030736838	0.022537656907329947	0.037063549365725375	0.16087911881106795	0.06691580587123279	0.10025731584988232
14.646464646464647	0.13860595314147525	0.07859106654938387	0.02253643121018247	0.037060509578579634	0.16087399127235766	0.06691193307485065	0.10025197938808787
15.151515151515152	0.13860069502274527	0.07858937294809064	0.02253554265120722	0.03705830614712254	0.16087027408649007	0.06690912574999602	0.10024811107315014
15.656565656565657	0.1385968812547772	0.07858814447226953	0.022534898150187853	0.03705670800832055	0.16086757781568825	0.06690708956070496	0.100245305325322
16.161616161616163	0.13859411534807034	0.07858725405044822	0.022534430645653435	0.03705554894440378	0.16086562233814206	0.06690561277952636	0.10024327047226457
16.666666666666668	0.13859211545057054	0.07858661074067178	0.022534092532202527	0.03705471087977859	0.16086420830573034	0.06690454501321269	0.1002417992204565
17.171717171717173	0.13859066512406948	0.07858614304577145	0.02253384749582677	0.037054103223837905	0.1608631827012035	0.06690377076639083	0.10024073224926061
17.67676767676768	0.13858961261130412	0.07858580216893733	0.022533669871425695	0.03705366228517277	0.1608624385392089	0.06690320882678924	0.10023995778152243
18.181818181818183	0.13858884992408338	0.07858555663980464	0.022533540898754874	0.03705334261456002	0.160861899381964	0.06690280153952903	0.10023939665585004
18.68686868686869	0.13858829753425125	0.07858538261153201	0.022533446920975007	0.03705311094145664	0.16086150850241868	0.0669025067505754	0.10023899071910045
