NON $ % + -
#NON	c	a	d	b
13.758389261744966	0.010867938581797654	0.013257839207216193	0.06579776246571001	0.06342016146209502
14.093959731543626	0.010864443770930163	0.013253958089802894	0.06578320886334264	0.06340866536563895
14.429530201342283	0.010861573677497073	0.013250770635099753	0.06577125591370787	0.06339922278236229
14.76510067114094	0.010859216298116012	0.013248152513439512	0.06576143768761383	0.06339146611276196
15.100671140939598	0.010857279843336145	0.013246001824410028	0.06575337216393588	0.06338509375597896
15.436241610738255	0.010855689232328622	0.013244235207120281	0.06574674675779443	0.0633798588168442
15.771812080536913	0.010854383470320401	0.013242784933575252	0.0657413075647737	0.06337556083481041
16.107382550335572	0.010853310982380486	0.013241593733739837	0.06573684006456888	0.063372030710506
16.44295302013423	0.010852429909630971	0.013240615123540944	0.06573317007068391	0.06336913104824997
16.778523489932887	0.01085170611833114	0.01323981119851755	0.06573015526228847	0.0633667491592386
17.114093959731544	0.010851111535519743	0.013239150787320563	0.06572767835570055	0.06336479181742909
17.449664429530202	0.01085062312065549	0.013238608309688704	0.06572564308930799	0.06336318250131497
17.78523489932886	0.010850222454609025	0.013238163311608772	0.06572397268265995	0.06336186045457187
18.120805369127517	0.01084989336588344	0.01323779782322436	0.0657226003790718	0.06336077388170361
18.456375838926174	0.01084962306489989	0.013237497617835207	0.06572147369916638	0.0633598825549213
18.79194630872483	0.010849400698066478	0.013237250599179285	0.06572054857330512	0.06335915341135406
19.12751677852349	0.010849217679974757	0.01323704721422537	0.06571978949590278	0.06335855876355172
19.46308724832215	0.010849066534449253	0.0132368791530624	0.0657191648919334	0.06335807291441693
19.798657718120808	0.010848943419961498	0.013236742277232625	0.06571865522828005	0.06335767502097026
20.134228187919465	0.010848842391351211	0.013236630062272247	0.06571823358249454	0.06335734050899318
20.469798657718123	0.010848759968965026	0.013236538697081128	0.06571788510616496	0.0633570573218206
20.80536912751678	0.010848691991062427	0.013236463289715115	0.06571759946792075	0.06335682791457897
21.140939597315437	0.010848635848492931	0.013236400918828325	0.06571736588233967	0.0633566437759125
21.476510067114095	0.010848589802465372	0.013236349796123219	0.0657171734574737	0.06335649079850145
21.812080536912752	0.010848551958682085	0.013236307773957914	0.06571701547565041	0.06335636545696507
22.14765100671141	0.010848520857557786	0.013236273232852643	0.06571688579956528	0.06335626281191524
22.483221476510067	0.010848495221959012	0.013236244760015269	0.0657167789565993	0.0633561783078258
22.818791946308725	0.010848474043452513	0.013236221236075728	0.06571669072754772	0.06335610858308773
23.154362416107382	0.010848456801885087	0.013236202083669204	0.06571661893580565	0.06335605190301866
23.48993288590604	0.01084844262997788	0.013236186340176927	0.06571655995083915	0.06335600537214375
23.8255033557047	0.010848431017368421	0.013236173439425212	0.06571651162792698	0.06335596726740458
