NON $ % + - . 0 1 2 3 4 5 6
#NON	b	k	f	c	l	i	j	d	a	h	e	g
10.40268456375839	0.20431479545128858	0.12137771690943082	0.10721428194144701	0.18854942596059882	0.20133714123065263	0.16328221281054187	0.19031919541116946	0.056581796829386986	0.09905556364047861	0.22165455023828345	0.18415655566912645	0.15845605984201283
10.738255033557047	0.2043147427906926	0.12137769422905353	0.10721283657665015	0.18854936335170944	0.2013371382662266	0.1632821111122601	0.19031910190611223	0.056581771075823746	0.09905549942223833	0.22165454618783936	0.18415650982921003	0.15845605655654044
11.073825503355705	0.20431470778796262	0.12137768109936126	0.10721181633203117	0.18854932173678335	0.20133713669691902	0.16328204352936304	0.19031903976752565	0.05658175408977348	0.09905545664750932	0.22165454403306017	0.1841564793581597	0.1584560548078748
11.409395973154362	0.2043146840797102	0.12137767274820083	0.1072110909067968	0.1885492935475577	0.20133713566899097	0.1632819977617203	0.19031899768663185	0.05658174259914555	0.09905542769742064	0.22165454263139847	0.18415645867241046	0.15845605367139817
11.74496644295302	0.20431466831244224	0.12137766766734052	0.10721058041397426	0.18854927479986286	0.2013371350372816	0.1632819673112196	0.19031896968942802	0.05658173497034578	0.09905540843892262	0.22165454177541336	0.18415644490947689	0.1584560529779834
12.080536912751679	0.20431465778497807	0.12137766475970069	0.1072102192277315	0.1885492622851344	0.20133713472864054	0.16328194696700046	0.19031895098456847	0.05658172990854341	0.09905539553527032	0.2216545413506709	0.1841564357794676	0.15845605263326296
12.416107382550337	0.20431465079422453	0.12137766325533392	0.10720996422428088	0.18854925397867695	0.20133713464731987	0.16328193346427242	0.19031893856954518	0.056581726588513515	0.09905538691874964	0.22165454122272846	0.18415642981176383	0.15845605252766803
12.751677852348994	0.20431464606622163	0.12137766229574101	0.1072097835683513	0.18854924836053444	0.20133713459035082	0.1632819243488776	0.19031893018794563	0.05658172434800234	0.09905538110443401	0.2216545411337956	0.18415642578511401	0.15845605245423436
13.087248322147651	0.20431464277948555	0.12137766146191638	0.10720965451135807	0.18854924445043558	0.20133713446748502	0.1632819180239699	0.19031892437202227	0.05658172276796038	0.09905537711312778	0.2216545409717734	0.1841564228870487	0.15845605232341628
13.422818791946309	0.20431464053128698	0.12137766084486717	0.10720956215483225	0.18854924177049928	0.20133713434073813	0.16328191368864758	0.19031892038604503	0.05658172167039925	0.09905537440847356	0.22165454081558056	0.1841564207508395	0.158456052198801
13.758389261744966	0.20431463911066797	0.12137766053020638	0.10720949870862703	0.18854924007571053	0.2013371342771136	0.16328191092961636	0.19031891784996058	0.056581720975386114	0.09905537268478486	0.22165454074073448	0.18415641931718227	0.1584560521397202
14.093959731543626	0.20431463815001094	0.12137766043400065	0.10720945228965444	0.18854923893466533	0.20133713428697014	0.16328190904293868	0.19031891611614585	0.056581720515687106	0.09905537147484157	0.22165454075069563	0.1841564184156654	0.1584560521474965
14.429530201342283	0.20431463757233792	0.12137766045049549	0.10720942095423476	0.1885492382547917	0.20133713432941913	0.1632819078908005	0.19031891505761625	0.056581720245908546	0.09905537071054443	0.22165454079524888	0.18415641798305518	0.1584560521819681
14.76510067114094	0.20431463719939416	0.12137766045316829	0.10720939919733782	0.18854923782030789	0.2013371343510484	0.16328190714827429	0.19031891437521856	0.05658172007151581	0.09905537021731792	0.2216545408135783	0.18415641783564296	0.15845605219524414
15.100671140939598	0.20431463695641322	0.12137766042733657	0.10720938440094693	0.18854923753933484	0.20133713434729658	0.16328190667724676	0.19031891394190456	0.05658171995728617	0.09905536991323043	0.22165454080337446	0.18415641786082845	0.15845605218604933
15.436241610738255	0.20431463676876324	0.12137766037604664	0.10720937378901679	0.1885492373195454	0.20133713432213002	0.16328190633856263	0.190318913629729	0.056581719870036726	0.09905536971183039	0.22165454077323066	0.18415641792804877	0.15845605216192285
