NON $ % + - . 0 1 2 3 4 5
#NON	g	d	i	c	a	e	f	j	h	k	b
5.704697986577181	0.11083088439298529	0.16883081777972855	0.19717895306354807	0.09239841752049234	0.04718137550865526	0.1802929776042285	0.04319739879977242	0.038948236506751534	0.036258180683515044	0.2582001506698307	0.21513295938036828
6.0402684563758395	0.110768480217985	0.16884827638165478	0.19712362866337324	0.092378598068918	0.04717155743330098	0.18033257160255997	0.043085142741482584	0.03893897123622761	0.036250936123955455	0.25812151827330454	0.2152081309363137
6.375838926174497	0.11073005906878615	0.16885889289782502	0.19709057164971064	0.09236709473113686	0.04716589997475654	0.18035763352058712	0.04301349839187861	0.038933674850142944	0.03624669559365421	0.2580729490483972	0.21525905703403167
6.7114093959731544	0.11070656388364067	0.1688653315810734	0.1970709526441325	0.09236047069195247	0.047162672668823555	0.1803733931178026	0.04296783160976102	0.03893068031976846	0.03624424156753295	0.25804317435428437	0.21529336642255995
7.046979865771813	0.11069229038868567	0.1688692248849897	0.19705938944932294	0.09235669199985518	0.04716085216240018	0.1803832431305022	0.042938757439488946	0.03892900849786415	0.03624283818623593	0.25802505276266563	0.21531636724724795
7.38255033557047	0.11068367324900326	0.16887157159837382	0.19705261994191872	0.09235455903298588	0.047159840109687975	0.18038936617637752	0.04292026705726352	0.03892809005063057	0.03624204703991742	0.2580140980632489	0.21533172052998537
7.718120805369128	0.11067850802764119	0.1688729797890394	0.19704869478365605	0.09235337100824205	0.04715928622360099	0.18039315171131967	0.04290852262948891	0.038927595061298975	0.0362416070933836	0.2580075258923413	0.21534192868327545
8.053691275167786	0.11067542997215585	0.1688738219519121	0.19704643113161988	0.09235272159823942	0.047158990789217335	0.1803954799816907	0.04290107080400657	0.03892733590437364	0.03624136840448853	0.25800360767743946	0.21534869172681376
8.389261744966444	0.11067361219107931	0.16887432291455565	0.19704514734515208	0.09235237112304544	0.047158836408032215	0.18039690504265793	0.04289634682375392	0.03892720414022805	0.03624124069492373	0.25800129368170627	0.2153531582867965
8.724832214765101	0.11067254439366257	0.1688746196225213	0.19704442178653295	0.09235218930642564	0.04715875965614131	0.1803977727052738	0.042893355536281	0.03892714115898101	0.03624117530363497	0.2579999348292338	0.21535609935416705
9.060402684563758	0.11067192402201073	0.1688747942664354	0.19704402111967287	0.09235209742705963	0.047158723211377825	0.18039829826047193	0.04289146304799744	0.038927113239837975	0.036241142808033644	0.25799914602556306	0.21535803053891003
9.395973154362416	0.11067156628075762	0.16887489654315743	0.1970438017618746	0.092352053773144	0.04715870807901365	0.18039861497684873	0.042890267190101826	0.038927103152888436	0.03624112817032697	0.2579986916964142	0.21535929528826317
9.731543624161075	0.11067136213836264	0.16887495605941466	0.19704368475290318	0.09235203485678362	0.04715870302403126	0.1803988049924226	0.04288951147437075	0.0389271011573888	0.03624112227831716	0.2579984328951762	0.21536012220494039
10.067114093959733	0.11067124677034447	0.16887499051006952	0.19704362387925062	0.09235202814381795	0.04715870257812127	0.18039891859506546	0.04288903351092914	0.038927102545173495	0.03624112061494998	0.25799828698149185	0.21536066255441966
10.40268456375839	0.11067118443087115	0.16887500974881378	0.1970435947572762	0.09235202740606208	0.04715870409120958	0.180398984550674	0.04288873676974026	0.03892710512414802	0.03624112093022858	0.2579982084103766	0.21536100976168673
10.738255033557047	0.11067114943107616	0.16887502092496223	0.19704358048297985	0.09235202858322436	0.04715870590203821	0.1803990241677153	0.04288854739068404	0.038927107578091265	0.03624112177269461	0.2579981644718067	0.2153612374005904
11.073825503355705	0.11067112896603455	0.1688750276635197	0.19704357311867812	0.0923520300457858	0.047158707427696935	0.180399048629447	0.04288842439943005	0.038927109501774096	0.03624112258917775	0.2579981388816021	0.21536138814320085
11.409395973154362	0.110671117713571	0.16887503156283118	0.19704357011844545	0.09235203166676177	0.04715870877197018	0.18039906341389553	0.042888344747754034	0.03892711108403063	0.03624112338886507	0.25799812490011614	0.21536148838848385
11.74496644295302	0.11067111407347588	0.16887503311971494	0.19704357083745258	0.09235203348972039	0.04715871001566345	0.18039907029999622	0.04288830050788292	0.038927112434024885	0.03624112420850701	0.25799812050699467	0.21536154749910436
12.080536912751679	0.11067111230499525	0.1688750340091423	0.1970435719417051	0.09235203492848722	0.04715871096062851	0.18039907457221638	0.04288827071568671	0.038927113446585004	0.036241124841846065	0.25799811843166376	0.21536158821929702
12.416107382550337	0.11067111187626506	0.16887503439661714	0.1970435731307156	0.09235203597753963	0.04715871160867283	0.1803990767673402	0.04288825279549289	0.038927114132825916	0.0362411252845667	0.25799811800971084	0.21536161355318692
12.751677852348994	0.11067111200922179	0.16887503453556196	0.19704357412972823	0.09235203673088846	0.047158712044744776	0.18039907783343778	0.042888242058859265	0.03892711458966547	0.036241125587602875	0.2579981182656086	0.21536162926992755
13.087248322147651	0.11067111220762114	0.16887503459404427	0.19704357481132379	0.092352037245211	0.04715871234073502	0.18039907841933206	0.04288823527087545	0.03892711489468272	0.03624112579581486	0.2579981185758841	0.21536163940873715
13.422818791946309	0.11067111235386322	0.16887503462985873	0.19704357525077562	0.09235203756614224	0.04715871254081456	0.18039907878511696	0.04288823083054868	0.038927115096397236	0.03624112593781935	0.25799811879936574	0.21536164609650732
13.758389261744966	0.11067111246400889	0.16887503465375475	0.19704357556038085	0.09235203774838784	0.04715871266949559	0.18039907901900992	0.0428882279279869	0.038927115224721504	0.03624112602942663	0.2579981189639613	0.21536165049107875
14.093959731543626	0.11067111257170256	0.16887503466315534	0.19704357581865756	0.09235203785500572	0.047158712744142774	0.1803990791540592	0.04288822606239486	0.03892711530193989	0.03624112608190993	0.25799811911804754	0.21536165334875312
14.429530201342283	0.11067111266442123	0.16887503466005663	0.19704357601516792	0.09235203794389109	0.04715871278343348	0.18039907922173404	0.04288822487448352	0.03892711534765064	0.0362411261083395	0.2579981192475944	0.2153616552035172
14.76510067114094	0.11067111271725226	0.168875034652588	0.1970435761104998	0.09235203803277103	0.047158712810748155	0.1803990792538614	0.04288822412028782	0.03892711537999291	0.036241126126573826	0.25799811932104977	0.2153616564099523
15.100671140939598	0.11067111273847671	0.16887503464756548	0.19704357612539897	0.09235203810220735	0.04715871284012952	0.18039907927097507	0.04288822364295799	0.038927115408589466	0.036241126147754266	0.25799811935062017	0.21536165719534087
15.436241610738255	0.11067111277703418	0.16887503464013767	0.1970435761925891	0.09235203816682937	0.04715871285449236	0.1803990792862028	0.04288822316338448	0.03892711542781737	0.03624112615681701	0.25799811940378214	0.2153616579719656
15.771812080536913	0.11067111281420461	0.16887503463394338	0.19704357625922087	0.09235203821367206	0.04715871286424438	0.1803990792974219	0.04288822277950183	0.038927115441912664	0.03624112616274718	0.257998119454788	0.21536165859430065
16.107382550335572	0.11067111284344715	0.16887503463025397	0.19704357630682845	0.09235203823820537	0.04715871287302212	0.18039907930389074	0.042888222525528874	0.03892711545235543	0.03624112616868422	0.25799811949464146	0.21536165901149856
16.44295302013423	0.11067111286476176	0.1688750346290695	0.19704357633541184	0.0923520382404293	0.04715871288082556	0.18039907930560925	0.042888222401465614	0.038927115459145664	0.036241126174628116	0.25799811952334245	0.21536165922355938
16.778523489932887	0.11067111287814849	0.16887503463038991	0.19704357634497105	0.09235203822034384	0.047158712887654705	0.18039907930257745	0.04288822240731205	0.038927115462283376	0.03624112618057888	0.257998119540891	0.21536165923048306
17.114093959731544	0.11067111288773276	0.16887503463185052	0.19704357634926503	0.09235203820041571	0.04715871289316198	0.1803990792992085	0.04288822243324124	0.03892711546430519	0.03624112618551194	0.25799811955331803	0.21536165920327868
17.449664429530202	0.11067111289752801	0.1688750346311508	0.19704357636167888	0.09235203820250111	0.04715871289700927	0.1803990792997957	0.04288822237241057	0.03892711546767882	0.036241126188430575	0.25799811956649066	0.21536165930830847
17.78523489932886	0.11067111290277501	0.16887503463101874	0.1970435763663401	0.09235203820068218	0.04715871289959753	0.18039907929924795	0.04288822235151775	0.03892711546947797	0.03624112619051674	0.2579981195734514	0.21536165934829432
18.120805369127517	0.11067111290347374	0.16887503463145434	0.19704357636324868	0.09235203819495894	0.047158712900926755	0.1803990792975652	0.04288822237056277	0.038927115469702636	0.03624112619177043	0.2579981195742004	0.21536165932323617
18.456375838926174	0.11067111289962422	0.16887503463245765	0.1970435763524046	0.09235203818533136	0.047158712900996956	0.1803990792947475	0.04288822242954564	0.03892711546835283	0.03624112619219164	0.2579981195687375	0.21536165923313408
18.79194630872483	0.11067111289122647	0.1688750346340286	0.1970435763338079	0.09235203817179946	0.04715871289980813	0.18039907929079482	0.042888222528466344	0.038927115465428534	0.03624112619178039	0.25799811955706287	0.21536165907798802
19.12751677852349	0.11067111289918762	0.1688750346340939	0.19704357633827804	0.09235203816514444	0.04715871290425212	0.1803990792886188	0.04288822251525347	0.038927115468011635	0.036241126195496645	0.25799811956748536	0.21536165911201424
19.46308724832215	0.11067111289298012	0.1688750346347302	0.1970435763293566	0.09235203816233133	0.047158712902307394	0.18039907928805637	0.04288822255607342	0.03892711546603749	0.03624112619408843	0.25799811955910446	0.2153616590434162
19.798657718120808	0.11067111288677264	0.16887503463536652	0.19704357632043512	0.0923520381595182	0.04715871290036267	0.18039907928749394	0.04288822259689337	0.038927115464063355	0.036241126192680224	0.2579981195507236	0.21536165897481815
20.134228187919465	0.11067111288056515	0.1688750346360028	0.19704357631151367	0.09235203815670508	0.04715871289841795	0.1803990792869315	0.042888222637713316	0.03892711546208921	0.03624112619127201	0.25799811954234275	0.21536165890622014
20.469798657718123	0.11067111287435767	0.1688750346366391	0.19704357630259223	0.09235203815389195	0.04715871289647323	0.18039907928636909	0.04288822267853327	0.03892711546011507	0.0362411261898638	0.2579981195339619	0.2153616588376221
20.80536912751678	0.11067111287156702	0.1688750346369305	0.19704357629861194	0.09235203815262186	0.04715871289559972	0.1803990792861391	0.042888222696780255	0.038927115459229555	0.036241126189230914	0.2579981195301959	0.21536165880688868
21.140939597315437	0.11067111287130368	0.16887503463696674	0.19704357629828645	0.0923520381524931	0.04715871289551855	0.18039907928615506	0.042888222698331	0.03892711545914925	0.03624112618917151	0.2579981195298435	0.21536165880416205
21.476510067114095	0.11067111287104034	0.16887503463700299	0.19704357629796093	0.09235203815236434	0.047158712895437375	0.18039907928617102	0.04288822269988175	0.03892711545906894	0.03624112618911211	0.257998119529491	0.21536165880143543
21.812080536912752	0.110671112870777	0.16887503463703923	0.19704357629763541	0.09235203815223558	0.047158712895356204	0.18039907928618698	0.042888222701432506	0.03892711545898863	0.03624112618905271	0.2579981195291385	0.2153616587987088
22.14765100671141	0.11067111287051365	0.16887503463707548	0.1970435762973099	0.09235203815210682	0.04715871289527503	0.18039907928620294	0.04288822270298325	0.038927115458908326	0.03624112618899331	0.257998119528786	0.21536165879598218
22.483221476510067	0.11067111287025032	0.16887503463711176	0.1970435762969844	0.09235203815197807	0.04715871289519386	0.1803990792862189	0.042888222704534004	0.038927115458828015	0.03624112618893391	0.2579981195284335	0.21536165879325556
22.818791946308725	0.11067111286998697	0.168875034637148	0.1970435762966589	0.09235203815184931	0.04715871289511269	0.18039907928623486	0.04288822270608476	0.03892711545874771	0.036241126188874505	0.257998119528081	0.21536165879052893
23.154362416107382	0.11067111286972363	0.16887503463718426	0.19704357629633337	0.09235203815172055	0.04715871289503152	0.18039907928625082	0.0428882227076355	0.0389271154586674	0.03624112618881511	0.2579981195277285	0.2153616587878023
23.48993288590604	0.11067111286946028	0.1688750346372205	0.19704357629600788	0.09235203815159179	0.04715871289495035	0.18039907928626675	0.042888222709186255	0.0389271154585871	0.036241126188755704	0.25799811952737606	0.21536165878507568
23.8255033557047	0.11067111286919695	0.16887503463725675	0.19704357629568237	0.09235203815146303	0.04715871289486918	0.1803990792862827	0.04288822271073701	0.038927115458506786	0.03624112618869631	0.25799811952702356	0.21536165878234906
24.161073825503358	0.11067111286893361	0.168875034637293	0.19704357629535685	0.09235203815133428	0.047158712894788	0.18039907928629867	0.04288822271228776	0.03892711545842648	0.0362411261886369	0.25799811952667107	0.21536165877962243
24.496644295302016	0.11067111286867026	0.16887503463732925	0.19704357629503133	0.0923520381512055	0.04715871289470683	0.18039907928631463	0.042888222713838506	0.03892711545834617	0.0362411261885775	0.25799811952631857	0.2153616587768958
24.832214765100673	0.11067111286840692	0.1688750346373655	0.19704357629470584	0.09235203815107675	0.04715871289462566	0.1803990792863306	0.04288822271538926	0.03892711545826587	0.0362411261885181	0.2579981195259661	0.21536165877416918
25.16778523489933	0.11067111286814359	0.16887503463740178	0.19704357629438032	0.09235203815094799	0.047158712894544486	0.18039907928634655	0.04288822271694001	0.03892711545818556	0.0362411261884587	0.2579981195256136	0.21536165877144256
25.503355704697988	0.11067111286788024	0.16887503463743803	0.1970435762940548	0.09235203815081923	0.047158712894463314	0.1803990792863625	0.04288822271849076	0.038927115458105246	0.036241126188399295	0.25799811952526114	0.21536165876871594
25.838926174496645	0.1106711128676169	0.16887503463747428	0.19704357629372932	0.09235203815069047	0.04715871289438214	0.18039907928637847	0.04288822272004151	0.03892711545802494	0.0362411261883399	0.25799811952490864	0.2153616587659893
26.174496644295303	0.11067111286735355	0.16887503463751052	0.1970435762934038	0.09235203815056171	0.04715871289430097	0.18039907928639443	0.04288822272159226	0.03892711545794463	0.036241126188280494	0.25799811952455615	0.2153616587632627
26.51006711409396	0.11067111286709022	0.16887503463754677	0.19704357629307828	0.09235203815043296	0.0471587128942198	0.18039907928641039	0.04288822272314301	0.03892711545786433	0.0362411261882211	0.25799811952420365	0.21536165876053606
26.845637583892618	0.11067111286682688	0.16887503463758302	0.19704357629275276	0.0923520381503042	0.04715871289413863	0.18039907928642634	0.04288822272469376	0.03892711545778402	0.03624112618816169	0.25799811952385115	0.21536165875780944
